EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 09:15:00,554.7,18,9985,closed,2024-01-08 09:15:00,550.935,-67.7700000000018,-0.68
2024-03-01 09:15:00,467.8,21,9824,closed,2024-03-01 09:15:00,463.122,-98.23799999999994,-1.0
2024-03-28 09:15:00,455.0,21,9555,closed,2024-03-28 09:15:00,451.09349999999995,-82.03650000000107,-0.86
2024-04-16 09:15:00,447.65,22,9848,closed,2024-04-16 09:15:00,446.4405,-26.60899999999981,-0.27
2024-04-24 09:15:00,445.0,22,9790,closed,2024-04-24 09:15:00,440.55,-97.89999999999975,-1.0
2024-04-26 09:15:00,440.05,22,9681,closed,2024-04-26 09:15:00,437.8275,-48.89500000000055,-0.51
2024-04-30 09:15:00,442.4,22,9733,closed,2024-04-30 09:15:00,463.0725,454.7950000000003,4.67
2024-05-13 09:15:00,464.8,21,9761,closed,2024-05-13 09:15:00,460.152,-97.60800000000052,-1.0
2024-05-16 09:15:00,470.05,21,9871,closed,2024-05-16 09:15:00,467.03249999999997,-63.36750000000086,-0.64
2024-06-03 09:15:00,512.0,19,9728,closed,2024-06-03 09:15:00,507.32550000000003,-88.81549999999936,-0.91
2024-06-14 09:15:00,532.5,18,9585,closed,2024-06-14 09:15:00,532.521,0.37799999999924694,0.0
2024-06-27 09:15:00,555.5,17,9444,closed,2024-06-27 09:15:00,561.33,99.1100000000007,1.05
2024-07-24 09:15:00,561.25,17,9541,closed,2024-07-24 09:15:00,559.1025,-36.50750000000062,-0.38
2024-08-12 09:15:00,616.45,16,9863,closed,2024-08-12 09:15:00,610.2855000000001,-98.6319999999996,-1.0
2024-08-27 09:15:00,658.95,15,9884,closed,2024-08-28 09:15:00,660.9735,30.352499999998486,0.31
2024-09-02 09:15:00,654.0,15,9810,closed,2024-09-02 09:15:00,649.7865,-63.202499999999304,-0.64
2024-09-05 09:15:00,656.0,15,9840,closed,2024-09-05 09:15:00,649.4399999999999,-98.40000000000089,-1.0
2024-09-10 09:15:00,646.0,15,9690,closed,2024-09-10 09:15:00,645.9255,-1.1174999999991542,-0.01
2024-09-30 09:15:00,684.0,14,9576,closed,2024-09-30 09:15:00,682.2585,-24.38099999999963,-0.25
2024-10-08 09:15:00,615.25,16,9844,closed,2024-10-08 09:15:00,620.1855,78.96800000000076,0.8
2024-10-31 09:15:00,578.45,17,9834,closed,2024-10-31 09:15:00,572.913,-94.12900000000059,-0.96
2024-11-12 09:15:00,626.35,15,9395,closed,2024-11-12 09:15:00,623.6505000000001,-40.492499999999154,-0.43
2024-11-25 09:15:00,645.85,15,9688,closed,2024-11-25 09:15:00,640.134,-85.74000000000012,-0.89
2024-11-26 09:15:00,637.0,15,9555,closed,2024-11-26 09:15:00,647.163,152.44500000000016,1.6
2024-12-11 09:15:00,703.45,14,9848,closed,2024-12-11 09:15:00,700.92,-35.42000000000121,-0.36
2024-12-16 09:15:00,681.3,14,9538,closed,2024-12-16 09:15:00,685.278,55.69200000000092,0.58
