EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-23 09:15:00,171.7,58,9959,closed,2024-01-23 09:15:00,167.76149999999998,-228.43300000000028,-2.29
2024-01-30 09:15:00,184.2,54,9947,closed,2024-01-30 09:15:00,182.79649999999998,-75.78900000000044,-0.76
2024-02-15 09:15:00,185.65,53,9839,closed,2024-02-15 09:15:00,182.79649999999998,-151.23550000000134,-1.54
2024-02-19 09:15:00,174.8,56,9789,closed,2024-02-21 09:15:00,176.443,92.00800000000004,0.94
2024-03-13 09:15:00,161.8,61,9870,closed,2024-03-13 09:15:00,158.4495,-204.38050000000067,-2.07
2024-03-27 09:15:00,156.65,63,9869,closed,2024-04-02 09:15:00,178.6255,1384.4564999999989,14.03
2024-04-15 09:15:00,173.85,57,9909,closed,2024-04-18 09:15:00,174.3575,28.92749999999961,0.29
2024-05-02 09:15:00,199.55,50,9978,closed,2024-05-03 09:15:00,196.328,-161.10000000000042,-1.61
2024-05-08 09:15:00,192.5,52,10010,closed,2024-05-09 09:15:00,187.9375,-237.25,-2.37
2024-05-13 09:15:00,195.05,51,9948,closed,2024-05-13 09:15:00,190.023,-256.37700000000075,-2.58
2024-05-17 09:15:00,199.4,50,9970,closed,2024-05-22 09:15:00,211.6055,610.2750000000001,6.12
2024-06-18 09:15:00,249.75,40,9990,closed,2024-06-19 09:15:00,246.08899999999997,-146.4400000000012,-1.47
2024-06-24 09:15:00,235.35,42,9885,closed,2024-06-27 09:15:00,237.3105,82.34099999999984,0.83
2024-07-08 09:15:00,248.75,40,9950,closed,2024-07-09 09:15:00,242.015,-269.40000000000055,-2.71
2024-07-09 09:15:00,245.15,37,9071,closed,2024-07-10 09:15:00,240.26899999999998,-180.59700000000106,-1.99
2024-07-10 09:15:00,244.75,37,9056,closed,2024-07-11 09:15:00,243.276,-54.53799999999961,-0.6
2024-07-11 09:15:00,246.7,36,8881,closed,2024-07-11 09:15:00,243.276,-123.26399999999921,-1.39
2024-07-12 09:15:00,245.95,40,9838,closed,2024-07-18 09:15:00,245.50699999999998,-17.720000000000482,-0.18
2024-07-22 09:15:00,239.7,41,9828,closed,2024-07-23 09:15:00,234.0125,-233.1875,-2.37
2024-07-23 09:15:00,238.55,37,8826,closed,2024-07-23 09:15:00,232.509,-223.51700000000093,-2.53
2024-08-08 09:15:00,244.65,40,9786,closed,2024-08-08 09:15:00,237.844,-272.24000000000046,-2.78
2024-08-14 09:15:00,237.4,41,9733,closed,2024-08-22 09:15:00,237.9895,24.16949999999946,0.25
2024-08-16 09:15:00,236.25,37,8741,closed,2024-08-22 09:15:00,237.9895,64.36149999999972,0.74
2024-09-03 09:15:00,243.25,40,9730,closed,2024-09-04 09:15:00,237.941,-212.3599999999999,-2.18
2024-09-13 09:15:00,247.0,40,9880,closed,2024-09-18 09:15:00,247.738,29.519999999999982,0.3
2024-10-16 09:15:00,263.6,37,9753,closed,2024-10-17 09:15:00,258.02,-206.46000000000151,-2.12
2024-10-21 09:15:00,253.6,39,9890,closed,2024-10-21 09:15:00,246.47699999999998,-277.7970000000007,-2.81
2024-11-26 09:15:00,227.05,43,9763,closed,2024-12-03 09:15:00,238.814,505.8519999999992,5.18
2024-12-03 09:15:00,241.4,36,8690,closed,2024-12-04 09:15:00,236.195,-187.38000000000045,-2.16
2024-12-09 09:15:00,233.45,42,9805,closed,2024-12-12 09:15:00,230.278,-133.22399999999988,-1.36
2024-12-11 09:15:00,235.9,37,8728,closed,2024-12-12 09:15:00,230.1325,-213.39750000000046,-2.44
2024-12-20 09:15:00,220.25,44,9691,closed,2024-12-20 09:15:00,215.631,-203.236,-2.1
