EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-18 09:15:00,4460.0,2,8920,closed,2024-01-18 09:15:00,4399.822999999999,-120.35400000000118,-1.35
2024-01-23 09:15:00,4350.0,2,8700,closed,2024-01-23 09:15:00,4267.03,-165.9400000000005,-1.91
2024-01-24 09:15:00,4200.0,2,8400,closed,2024-01-25 09:15:00,4321.349999999999,242.6999999999989,2.89
2024-01-29 09:15:00,4384.95,2,8770,closed,2024-02-01 09:15:00,4276.245,-217.40999999999985,-2.48
2024-02-12 09:15:00,4309.0,2,8618,closed,2024-02-16 09:15:00,4539.599999999999,461.1999999999989,5.35
2024-03-01 09:15:00,4780.0,2,9560,closed,2024-03-06 09:15:00,4805.38,50.76000000000022,0.53
2024-05-31 09:15:00,6741.9,1,6742,closed,2024-06-03 09:15:00,6902.714,160.8140000000003,2.39
2024-06-28 09:15:00,6768.0,1,6768,closed,2024-07-02 09:15:00,6618.601,-149.39900000000034,-2.21
2024-07-05 09:15:00,6675.0,1,6675,closed,2024-07-09 09:15:00,6498.03,-176.97000000000025,-2.65
2024-07-11 09:15:00,6388.9,1,6389,closed,2024-07-18 09:15:00,6516.3145,127.41450000000077,1.99
2024-09-02 09:15:00,6839.95,1,6840,closed,2024-09-05 09:15:00,6635.576,-204.3739999999998,-2.99
2024-09-05 09:15:00,6723.75,1,6724,closed,2024-09-05 09:15:00,6537.460499999999,-186.28950000000077,-2.77
2024-09-23 09:15:00,6600.0,1,6600,closed,2024-10-01 09:15:00,6905.429999999999,305.4299999999994,4.63
2024-10-03 09:15:00,7202.3,1,7202,closed,2024-10-04 09:15:00,7207.099999999999,4.799999999999272,0.07
2024-11-12 09:15:00,6720.0,1,6720,closed,2024-11-12 09:15:00,6553.32,-166.6800000000003,-2.48
2024-11-21 09:15:00,6525.0,1,6525,closed,2024-12-19 09:15:00,7367.15,842.1499999999996,12.91
2024-11-26 09:15:00,6800.0,1,6800,closed,2024-12-19 09:15:00,7367.15,567.1499999999996,8.34
2024-12-12 09:15:00,7401.25,1,7401,closed,2024-12-19 09:15:00,7367.15,-34.100000000000364,-0.46
