TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,2977.75,3,0.0,8933.25,148997,37009,1241.64,3700.9
2024-01-01 15:29:00,close,2971.3,3,19.35,8913.9,0,0,0.0,0.0
2024-01-02 15:26:00,long,2929.7,3,0.0,8789.1,121383,31148,1011.52,3114.8
2024-01-03 15:26:00,short,2978.05,3,0.0,8934.15,221762,57939,1848.02,5793.9
2024-01-03 15:29:00,close,2985.7,3,-22.95,8957.1,0,0,0.0,0.0
2024-01-04 15:26:00,short,2996.55,3,0.0,8989.65,106623,26725,888.52,2672.5
2024-01-04 15:29:00,close,2991.5,3,15.15,8974.5,0,0,0.0,0.0
2024-01-09 15:26:00,short,3014.95,3,0.0,9044.85,180835,49669,1506.96,4966.9
2024-01-09 15:29:00,close,3017.0,3,-6.15,9051.0,0,0,0.0,0.0
2024-01-10 15:26:00,short,3082.8,2,0.0,6165.6,258312,35060,2152.6,3506.0
2024-01-10 15:29:00,close,3087.65,2,-9.7,6175.3,0,0,0.0,0.0
2024-01-15 15:26:00,short,3119.0,2,0.0,6238.0,197436,25486,1645.3,2548.6
2024-01-15 15:29:00,close,3114.3,2,9.4,6228.6,0,0,0.0,0.0
2024-01-16 15:26:00,short,3045.6,2,0.0,6091.2,222701,31575,1855.84,3157.5
2024-01-16 15:29:00,close,3050.0,2,-8.8,6100.0,0,0,0.0,0.0
2024-01-17 15:26:00,short,3057.8,2,0.0,6115.6,209415,30344,1745.12,3034.4
2024-01-17 15:29:00,close,3058.5,2,-1.4,6117.0,0,0,0.0,0.0
2024-01-19 15:26:00,short,3032.9,3,0.0,9098.7,296642,38176,2472.02,3817.6
2024-01-19 15:29:00,close,3035.0,3,-6.3,9105.0,0,0,0.0,0.0
2024-01-20 15:26:00,long,3048.15,2,0.0,6096.3,19755,6945,164.62,694.5
2024-01-23 15:26:00,short,2907.45,2,0.0,5814.9,345942,48466,2882.85,4846.6
2024-01-23 15:29:00,close,2921.9,2,-28.9,5843.8,0,0,0.0,0.0
2024-01-24 15:26:00,short,2909.95,2,0.0,5819.9,328128,54828,2734.4,5482.8
2024-01-24 15:29:00,close,2913.2,2,-6.5,5826.4,0,0,0.0,0.0
2024-01-25 15:26:00,long,2874.4,2,0.0,5748.8,385289,197205,3210.74,19720.5
2024-01-29 15:26:00,short,2893.0,2,0.0,5786.0,442918,103499,3690.98,10349.9
2024-01-29 15:29:00,close,2898.0,2,-10.0,5796.0,0,0,0.0,0.0
2024-01-31 15:26:00,short,2963.0,2,0.0,5926.0,296130,66397,2467.75,6639.7
2024-01-31 15:29:00,close,2965.0,2,-4.0,5930.0,0,0,0.0,0.0
2024-02-02 15:26:00,long,3144.8,2,0.0,6289.6,348889,111290,2907.41,11129.0
2024-02-05 15:26:00,long,3179.6,2,0.0,6359.2,890714,140037,7422.62,14003.7
2024-02-06 15:26:00,short,3135.7,2,0.0,6271.4,271120,44124,2259.33,4412.4
2024-02-06 15:29:00,close,3139.95,2,-8.5,6279.9,0,0,0.0,0.0
2024-02-07 15:26:00,short,3116.45,2,0.0,6232.9,120998,25799,1008.32,2579.9
2024-02-07 15:29:00,close,3118.0,2,-3.1,6236.0,0,0,0.0,0.0
2024-02-12 15:26:00,long,3066.1,2,0.0,6132.2,101351,18292,844.59,1829.2
2024-02-14 15:26:00,long,3095.15,1,0.0,3095.15,143282,35599,1194.02,3559.9
2024-02-15 15:26:00,long,3032.7,1,0.0,3032.7,135268,34485,1127.23,3448.5
2024-02-16 15:26:00,short,3047.0,1,0.0,3047.0,161151,23841,1342.92,2384.1
2024-02-16 15:29:00,close,3042.0,1,5.0,3042.0,0,0,0.0,0.0
2024-02-20 15:26:00,long,3113.5,1,0.0,3113.5,226784,36934,1889.87,3693.4
2024-02-21 15:26:00,short,3095.45,1,0.0,3095.45,171625,28060,1430.21,2806.0
2024-02-21 15:29:00,close,3092.65,1,2.8,3092.65,0,0,0.0,0.0
2024-02-22 15:26:00,long,3131.45,1,0.0,3131.45,114150,26032,951.25,2603.2
2024-02-26 15:26:00,long,3184.75,1,0.0,3184.75,121893,31631,1015.78,3163.1
2024-02-27 15:26:00,short,3178.8,1,0.0,3178.8,180211,38629,1501.76,3862.9
2024-02-27 15:29:00,close,3167.75,1,11.05,3167.75,0,0,0.0,0.0
2024-02-28 15:26:00,short,3120.0,1,0.0,3120.0,164076,21069,1367.3,2106.9
2024-02-28 15:29:00,close,3109.95,1,10.05,3109.95,0,0,0.0,0.0
2024-02-29 15:26:00,long,3159.6,1,0.0,3159.6,1561612,902405,13013.43,90240.5
2024-03-01 15:26:00,short,3155.2,1,0.0,3155.2,93353,13375,777.94,1337.5
2024-03-01 15:29:00,close,3156.4,1,-1.2,3156.4,0,0,0.0,0.0
2024-03-05 15:26:00,long,3189.75,1,0.0,3189.75,81336,40006,677.8,4000.6
2024-03-06 15:26:00,long,3080.7,1,0.0,3080.7,172785,32693,1439.88,3269.3
2024-03-07 15:26:00,short,3098.9,1,0.0,3098.9,106752,20464,889.6,2046.4
2024-03-07 15:29:00,close,3100.0,1,-1.1,3100.0,0,0,0.0,0.0
2024-03-11 15:26:00,short,3217.0,1,0.0,3217.0,1618777,237594,13489.81,23759.4
2024-03-11 15:29:00,close,3215.1,1,1.9,3215.1,0,0,0.0,0.0
2024-03-12 15:26:00,long,3243.3,1,0.0,3243.3,1118930,178631,9324.42,17863.1
2024-03-13 15:26:00,short,3109.95,1,0.0,3109.95,576570,115555,4804.75,11555.5
2024-03-13 15:29:00,close,3106.0,1,3.95,3106.0,0,0,0.0,0.0
2024-03-14 15:26:00,short,3174.9,1,0.0,3174.9,241086,60928,2009.05,6092.8
2024-03-14 15:29:00,close,3172.25,1,2.65,3172.25,0,0,0.0,0.0
2024-03-15 15:26:00,short,3202.0,1,0.0,3202.0,1022302,645038,8519.18,64503.8
2024-03-15 15:29:00,close,3173.95,1,28.05,3173.95,0,0,0.0,0.0
2024-03-20 15:26:00,long,3209.3,1,0.0,3209.3,352808,58901,2940.07,5890.1
2024-04-19 09:21:00,close,3447.4,3,1553.12,10342.22,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,2,798.51,6894.81,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,2,1146.01,6894.81,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,2,605.21,6894.81,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,2,535.61,6894.81,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,2,762.61,6894.81,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,352.25,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,414.7,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,333.9,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,315.95,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,262.65,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,287.8,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,257.65,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,366.7,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,204.1,3447.4,0,0,0.0,0.0
2024-04-19 09:21:00,close,3447.4,1,238.1,3447.4,0,0,0.0,0.0
2024-04-22 15:26:00,short,3706.35,2,0.0,7412.7,382471,114398,3187.26,11439.8
2024-04-22 15:29:00,close,3715.0,2,-17.3,7430.0,0,0,0.0,0.0
2024-04-23 15:26:00,short,3699.5,2,0.0,7399.0,144424,38949,1203.53,3894.9
2024-04-23 15:29:00,close,3711.55,2,-24.1,7423.1,0,0,0.0,0.0
2024-04-24 15:26:00,long,3743.9,2,0.0,7487.8,204592,78927,1704.93,7892.7
2024-04-25 15:26:00,long,3821.95,2,0.0,7643.9,290177,73432,2418.14,7343.2
2024-04-26 15:26:00,long,3934.5,2,0.0,7869.0,413078,72484,3442.32,7248.4
2024-04-29 15:26:00,short,3924.0,2,0.0,7848.0,247739,49861,2064.49,4986.1
2024-04-29 15:29:00,close,3930.0,2,-12.0,7860.0,0,0,0.0,0.0
2024-04-30 15:26:00,short,3980.25,2,0.0,7960.5,406753,93814,3389.61,9381.4
2024-04-30 15:29:00,close,3986.45,2,-12.4,7972.9,0,0,0.0,0.0
2024-05-02 15:26:00,long,4111.0,2,0.0,8222.0,349166,45241,2909.72,4524.1
2024-05-03 15:26:00,short,4019.9,1,0.0,4019.9,289778,69982,2414.82,6998.2
2024-05-03 15:29:00,close,4029.8,1,-9.9,4029.8,0,0,0.0,0.0
2024-05-06 15:26:00,long,4001.55,1,0.0,4001.55,116666,39152,972.22,3915.2
2024-05-07 15:26:00,long,3955.0,1,0.0,3955.0,227526,33476,1896.05,3347.6
2024-05-08 15:26:00,long,4081.75,1,0.0,4081.75,250727,61950,2089.39,6195.0
2024-05-09 15:26:00,short,4039.45,1,0.0,4039.45,283206,41120,2360.05,4112.0
