TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,133.0,75,0.0,9975.0,6126857,1335652,51057.14,133565.2
2024-01-01 15:29:00,close,133.0,75,0.0,9975.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,132.9,75,0.0,9967.5,7842428,1789087,65353.57,178908.7
2024-01-03 15:26:00,short,128.5,70,0.0,8995.0,10998604,3985351,91655.03,398535.1
2024-01-03 15:29:00,close,128.41,70,6.3,8988.7,0,0,0.0,0.0
2024-01-04 15:26:00,short,127.77,70,0.0,8943.9,11531469,3607465,96095.58,360746.5
2024-01-04 15:29:00,close,127.82,70,-3.5,8947.4,0,0,0.0,0.0
2024-01-05 15:26:00,long,127.09,70,0.0,8896.3,16971063,2941720,141425.52,294172.0
2024-01-08 15:26:00,long,125.62,64,0.0,8039.68,9280547,1843201,77337.89,184320.1
2024-01-09 15:26:00,long,127.28,57,0.0,7254.96,8336867,1253377,69473.89,125337.7
2024-01-10 15:26:00,long,127.62,51,0.0,6508.62,7983643,1723355,66530.36,172335.5
2024-01-11 15:26:00,long,128.45,46,0.0,5908.7,6078514,1057979,50654.28,105797.9
2024-01-12 15:26:00,short,128.75,41,0.0,5278.75,7611192,1636118,63426.6,163611.8
2024-01-12 15:29:00,close,128.89,41,-5.74,5284.49,0,0,0.0,0.0
2024-01-15 15:26:00,long,128.5,41,0.0,5268.5,10190741,1969598,84922.84,196959.8
2024-01-17 15:26:00,long,125.23,38,0.0,4758.74,20410703,3023127,170089.19,302312.7
2024-01-18 15:26:00,long,124.64,34,0.0,4237.76,11564632,3435013,96371.93,343501.3
2024-01-19 15:26:00,short,127.67,30,0.0,3830.1,8508529,1663571,70904.41,166357.1
2024-01-19 15:29:00,close,127.53,30,4.2,3825.9,0,0,0.0,0.0
2024-01-20 15:26:00,short,127.38,30,0.0,3821.4,4658590,744562,38821.58,74456.2
2024-01-20 15:29:00,close,127.28,30,3.0,3818.4,0,0,0.0,0.0
2024-01-23 15:26:00,short,123.47,31,0.0,3827.57,10893139,1638593,90776.16,163859.3
2024-01-23 15:29:00,close,123.57,31,-3.1,3830.67,0,0,0.0,0.0
2024-01-24 15:26:00,long,128.8,30,0.0,3864.0,15691308,2150558,130760.9,215055.8
2024-01-25 15:26:00,short,127.23,27,0.0,3435.21,18766156,4376306,156384.63,437630.6
2024-01-25 15:29:00,close,127.57,27,-9.18,3444.39,0,0,0.0,0.0
2024-01-29 15:26:00,long,128.55,27,0.0,3470.85,7220748,1143472,60172.9,114347.2
2024-01-30 15:26:00,long,128.21,24,0.0,3077.04,7944887,1660427,66207.39,166042.7
2024-01-31 15:26:00,short,129.28,22,0.0,2844.16,10047945,3964237,83732.88,396423.7
2024-01-31 15:29:00,close,129.33,22,-1.1,2845.26,0,0,0.0,0.0
2024-02-01 15:26:00,short,128.36,22,0.0,2823.92,8157977,2153175,67983.14,215317.5
2024-02-01 15:29:00,close,128.26,22,2.2,2821.72,0,0,0.0,0.0
2024-02-05 15:26:00,short,134.9,21,0.0,2832.9,22862231,2969509,190518.59,296950.9
2024-02-05 15:29:00,close,134.81,21,1.89,2831.01,0,0,0.0,0.0
2024-02-06 15:26:00,short,137.84,20,0.0,2756.8,24346178,7185220,202884.82,718522.0
2024-02-06 15:29:00,close,137.84,20,0.0,2756.8,0,0,0.0,0.0
2024-02-07 15:26:00,short,137.54,20,0.0,2750.8,12830507,1699021,106920.89,169902.1
2024-02-07 15:29:00,close,137.59,20,-1.0,2751.8,0,0,0.0,0.0
2024-02-08 15:26:00,long,137.1,20,0.0,2742.0,10001728,2156455,83347.73,215645.5
2024-02-09 15:26:00,short,134.66,19,0.0,2558.54,8156653,1618276,67972.11,161827.6
2024-02-09 15:29:00,close,134.46,19,3.8,2554.74,0,0,0.0,0.0
2024-02-12 15:26:00,long,131.09,19,0.0,2490.71,9452937,1549621,78774.48,154962.1
2024-02-14 15:26:00,short,134.51,17,0.0,2286.67,9587476,1395071,79895.63,139507.1
2024-02-14 15:29:00,close,134.71,17,-3.4,2290.07,0,0,0.0,0.0
2024-02-15 15:26:00,long,134.46,17,0.0,2285.82,10192735,2793011,84939.46,279301.1
2024-02-16 15:26:00,short,135.34,15,0.0,2030.1,6344043,1199035,52867.02,119903.5
2024-02-16 15:29:00,close,135.49,15,-2.25,2032.35,0,0,0.0,0.0
2024-02-19 15:26:00,short,135.2,15,0.0,2028.0,6009261,810663,50077.18,81066.3
2024-02-19 15:29:00,close,135.05,15,2.25,2025.75,0,0,0.0,0.0
2024-02-20 15:26:00,long,134.46,15,0.0,2016.9,8850116,1611062,73750.97,161106.2
2024-02-21 15:26:00,short,137.0,14,0.0,1918.0,20306911,3059263,169224.26,305926.3
2024-02-21 15:29:00,close,137.1,14,-1.4,1919.4,0,0,0.0,0.0
2024-02-22 15:26:00,long,139.06,13,0.0,1807.78,13656971,2437871,113808.09,243787.1
2024-02-23 15:26:00,long,138.62,12,0.0,1663.44,7029655,2243975,58580.46,224397.5
2024-02-26 15:26:00,long,135.93,11,0.0,1495.23,4797354,1565666,39977.95,156566.6
2024-02-27 15:26:00,long,137.4,10,0.0,1374.0,7447774,2081511,62064.78,208151.1
2024-02-28 15:26:00,short,133.78,9,0.0,1204.02,6253527,1243740,52112.72,124374.0
2024-02-28 15:29:00,close,133.78,9,0.0,1204.02,0,0,0.0,0.0
2024-02-29 15:26:00,long,134.61,9,0.0,1211.49,10408512,4544835,86737.6,454483.5
2024-03-01 15:26:00,long,143.6,8,0.0,1148.8,42515232,9299850,354293.6,929985.0
2024-03-04 15:26:00,long,146.0,7,0.0,1022.0,16128267,2317197,134402.22,231719.7
2024-03-05 15:26:00,long,145.02,6,0.0,870.12,9520543,2287979,79337.86,228797.9
2024-03-06 15:26:00,short,144.92,5,0.0,724.6,15169540,2723683,126412.83,272368.3
2024-03-06 15:29:00,close,144.72,5,1.0,723.6,0,0,0.0,0.0
2024-03-11 15:26:00,long,146.48,5,0.0,732.4,11669393,2936033,97244.94,293603.3
2024-03-12 15:26:00,short,145.26,5,0.0,726.3,9035641,1629226,75297.01,162922.6
2024-03-12 15:29:00,close,145.31,5,-0.25,726.55,0,0,0.0,0.0
2024-03-13 15:26:00,short,136.47,5,0.0,682.35,25444195,4192540,212034.96,419254.0
2024-03-13 14:19:00,close,136.81,75,293.17,10260.67,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,70,680.33,9576.63,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,64,716.1,8755.78,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,57,543.15,7798.11,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,51,468.64,6977.26,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,46,384.51,6293.21,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,41,340.67,5609.17,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,38,440.0,5198.74,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,34,413.75,4651.51,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,30,240.27,4104.27,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,27,222.99,3693.84,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,24,206.38,3283.42,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,20,-5.82,2736.18,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,19,108.66,2599.37,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,17,39.93,2325.75,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,15,35.23,2052.13,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,13,-29.26,1778.52,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,12,-21.73,1641.71,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,11,9.67,1504.9,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,10,-5.91,1368.09,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,9,19.79,1231.28,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,8,-54.33,1094.47,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,7,-64.34,957.66,0,0,0.0,0.0
2024-03-13 14:19:00,close,136.81,6,-49.27,820.85,0,0,0.0,0.0
2024-03-13 15:29:00,close,136.57,5,-0.5,682.85,0,0,0.0,0.0
2024-03-14 15:26:00,long,135.88,76,0.0,10326.88,13653100,3079855,113775.83,307985.5
2024-03-14 09:52:00,close,132.76,5,-68.61,663.8,0,0,0.0,0.0
2024-03-15 15:26:00,long,135.05,69,0.0,9318.45,19742651,6324500,164522.09,632450.0
2024-03-18 15:26:00,short,141.94,60,0.0,8516.4,45267538,6996935,377229.48,699693.5
2024-03-18 15:29:00,close,142.04,60,-6.0,8522.4,0,0,0.0,0.0
2024-03-19 15:26:00,long,141.89,60,0.0,8513.4,18289710,4079973,152414.25,407997.3
2024-03-20 15:26:00,short,138.42,55,0.0,7613.1,14734124,5038228,122784.37,503822.8
2024-03-20 15:29:00,close,138.62,55,-11.0,7624.1,0,0,0.0,0.0
2024-03-21 15:26:00,short,143.16,53,0.0,7587.48,18623022,4468906,155191.85,446890.6
2024-03-21 15:29:00,close,143.11,53,2.65,7584.83,0,0,0.0,0.0
2024-03-22 15:26:00,short,144.48,53,0.0,7657.44,16640526,3369860,138671.05,336986.0
2024-03-22 15:29:00,close,144.48,53,0.0,7657.44,0,0,0.0,0.0
2024-03-26 15:26:00,long,145.41,52,0.0,7561.32,7945766,1816148,66214.72,181614.8
2024-03-27 15:26:00,short,145.36,47,0.0,6831.92,13622794,2337721,113523.28,233772.1
2024-03-27 15:29:00,close,145.6,47,-11.28,6843.2,0,0,0.0,0.0
2024-03-28 15:26:00,long,149.27,46,0.0,6866.42,24088264,4269118,200735.53,426911.8
2024-04-01 15:26:00,short,155.47,40,0.0,6218.8,20537506,4509479,171145.88,450947.9
2024-04-01 15:29:00,close,155.57,40,-4.0,6222.8,0,0,0.0,0.0
2024-04-02 15:26:00,long,157.58,39,0.0,6145.62,19620051,3293137,163500.42,329313.7
2024-04-03 15:26:00,long,156.35,35,0.0,5472.25,13141178,3169582,109509.82,316958.2
2024-04-04 15:26:00,long,156.65,32,0.0,5012.8,16708517,2794549,139237.64,279454.9
2024-04-05 15:26:00,long,156.06,29,0.0,4525.74,7464271,1869280,62202.26,186928.0
2024-04-08 15:26:00,short,157.58,26,0.0,4097.08,10216234,2120229,85135.28,212022.9
2024-04-08 15:29:00,close,157.62,26,-1.04,4098.12,0,0,0.0,0.0
2024-04-09 15:26:00,long,158.75,25,0.0,3968.75,14013404,2329078,116778.37,232907.8
2024-04-10 15:26:00,long,157.82,23,0.0,3629.86,16175211,3712135,134793.42,371213.5
2024-04-12 15:26:00,long,156.21,21,0.0,3280.41,15529197,3341247,129409.98,334124.7
2024-04-15 15:26:00,short,153.91,19,0.0,2924.29,13001829,2394547,108348.58,239454.7
2024-04-15 15:29:00,close,153.96,19,-0.95,2925.24,0,0,0.0,0.0
2024-04-16 15:26:00,short,152.79,19,0.0,2903.01,8463275,1969567,70527.29,196956.7
2024-04-16 15:29:00,close,153.13,19,-6.46,2909.47,0,0,0.0,0.0
2024-04-19 15:26:00,long,154.89,19,0.0,2942.91,16595586,4179596,138296.55,417959.6
2024-04-22 15:26:00,short,154.59,17,0.0,2628.03,7744997,3839647,64541.64,383964.7
2024-04-22 15:29:00,close,154.89,17,-5.1,2633.13,0,0,0.0,0.0
2024-04-23 15:26:00,short,153.76,17,0.0,2613.92,8222877,2424103,68523.98,242410.3
2024-04-23 15:29:00,close,153.91,17,-2.55,2616.47,0,0,0.0,0.0
2024-04-24 15:26:00,long,158.5,17,0.0,2694.5,14129987,2784294,117749.89,278429.4
2024-04-25 15:26:00,short,160.21,15,0.0,2403.15,19317161,4808326,160976.34,480832.6
2024-04-25 15:29:00,close,159.87,15,5.1,2398.05,0,0,0.0,0.0
2024-04-26 15:26:00,long,158.7,15,0.0,2380.5,21154822,4478451,176290.18,447845.1
2024-04-29 15:26:00,long,160.21,13,0.0,2082.73,7929651,1795125,66080.42,179512.5
2024-04-30 15:26:00,long,157.82,12,0.0,1893.84,16450455,2642339,137087.12,264233.9
2024-05-02 15:26:00,long,160.12,11,0.0,1761.32,21895986,4057170,182466.55,405717.0
2024-05-03 15:26:00,short,158.89,10,0.0,1588.9,14701564,4326608,122513.03,432660.8
2024-05-03 15:29:00,close,159.19,10,-3.0,1591.9,0,0,0.0,0.0
2024-05-06 15:26:00,long,160.31,10,0.0,1603.1,11168504,1669056,93070.87,166905.6
2024-05-07 15:26:00,long,157.18,9,0.0,1414.62,10329252,2208154,86077.1,220815.4
2024-05-08 15:26:00,long,158.75,8,0.0,1270.0,6853289,1260278,57110.74,126027.8
2024-05-09 15:26:00,long,154.69,7,0.0,1082.83,9850249,1886066,82085.41,188606.6
2024-05-10 15:26:00,long,155.13,7,0.0,1085.91,11289571,1859421,94079.76,185942.1
2024-05-13 15:26:00,long,156.74,6,0.0,940.44,12220286,1952882,101835.72,195288.2
2024-05-15 15:26:00,short,158.41,5,0.0,792.05,8072058,2224939,67267.15,222493.9
2024-05-15 15:29:00,close,158.5,5,-0.45,792.5,0,0,0.0,0.0
2024-05-16 15:26:00,long,158.8,5,0.0,794.0,16320201,2108854,136001.67,210885.4
2024-05-17 15:26:00,short,160.12,5,0.0,800.6,9565234,1760736,79710.28,176073.6
2024-05-17 15:29:00,close,159.77,5,1.75,798.85,0,0,0.0,0.0
2024-05-21 15:26:00,long,167.05,4,0.0,668.2,26525140,3447289,221042.83,344728.9
2024-05-22 15:26:00,long,165.93,4,0.0,663.72,10846222,1439069,90385.18,143906.9
2024-05-24 15:26:00,short,167.05,4,0.0,668.2,13307164,1907785,110893.03,190778.5
2024-05-24 15:29:00,close,167.4,4,-1.4,669.6,0,0,0.0,0.0
2024-05-27 15:26:00,long,168.18,4,0.0,672.72,10516580,1436988,87638.17,143698.8
2024-05-28 15:26:00,long,167.45,3,0.0,502.35,11310184,2719197,94251.53,271919.7
2024-05-29 15:26:00,short,166.47,3,0.0,499.41,10227994,2701967,85233.28,270196.7
2024-05-29 15:29:00,close,166.52,3,-0.15,499.56,0,0,0.0,0.0
2024-05-30 15:26:00,long,157.33,3,0.0,471.99,32208509,7097187,268404.24,709718.7
2024-05-31 15:26:00,long,160.16,3,0.0,480.48,29666278,9512031,247218.98,951203.1
2024-06-04 12:01:00,close,153.12,76,1310.01,11636.89,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,69,1246.62,10565.07,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,60,673.62,9187.02,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,52,400.76,7962.08,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,46,176.96,7043.38,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,39,-174.06,5971.56,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,35,-113.16,5359.09,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,32,-113.06,4899.74,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,29,-85.35,4440.39,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,25,-140.83,3827.92,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,23,-108.17,3521.69,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,21,-64.95,3215.46,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,19,-33.69,2909.22,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,17,-91.51,2602.99,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,15,-83.75,2296.75,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,13,-92.21,1990.52,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,12,-56.44,1837.4,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,11,-77.03,1684.29,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,10,-71.93,1531.17,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,9,-36.57,1378.05,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,8,-45.06,1224.94,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,7,-11.01,1071.82,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,7,-14.09,1071.82,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,6,-21.74,918.7,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,5,-28.42,765.58,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,4,-55.73,612.47,0,0,0.0,0.0
2024-06-04 12:01:00,close,153.12,4,-51.25,612.47,0,0,0.0,0.0
2024-06-04 12:02:00,close,152.95,4,-60.94,611.78,0,0,0.0,0.0
2024-06-04 12:05:00,close,151.62,3,-47.48,454.87,0,0,0.0,0.0
2024-06-04 12:07:00,close,150.74,3,-19.77,452.22,0,0,0.0,0.0
2024-06-04 12:07:00,close,150.74,3,-28.26,452.22,0,0,0.0,0.0
2024-06-05 15:26:00,short,161.53,66,0.0,10660.98,19267552,2571300,160562.93,257130.0
2024-06-05 15:29:00,close,161.63,66,-6.6,10667.58,0,0,0.0,0.0
2024-06-06 15:26:00,short,164.86,64,0.0,10551.04,13272260,3049485,110602.17,304948.5
2024-06-06 15:29:00,close,164.71,64,9.6,10541.44,0,0,0.0,0.0
2024-06-07 15:26:00,long,171.01,62,0.0,10602.62,25916171,5428995,215968.09,542899.5
2024-06-10 15:26:00,short,172.4,55,0.0,9482.0,14264164,2294914,118868.03,229491.4
2024-06-10 15:29:00,close,172.82,55,-23.1,9505.1,0,0,0.0,0.0
2024-06-11 15:26:00,long,173.85,55,0.0,9561.75,13906843,2239118,115890.36,223911.8
2024-06-12 15:26:00,long,174.73,49,0.0,8561.77,7899736,1646003,65831.13,164600.3
2024-06-13 15:26:00,short,174.82,44,0.0,7692.08,10846396,2088521,90386.63,208852.1
2024-06-13 15:29:00,close,174.82,44,0.0,7692.08,0,0,0.0,0.0
2024-06-14 15:26:00,long,175.21,44,0.0,7709.24,10663739,2177277,88864.49,217727.7
2024-06-18 15:26:00,long,173.67,40,0.0,6946.8,11262297,2399154,93852.48,239915.4
2024-06-19 15:26:00,long,172.32,36,0.0,6203.52,6178084,1317910,51484.03,131791.0
2024-06-20 15:26:00,long,174.92,32,0.0,5597.44,10742519,1907816,89520.99,190781.6
