TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,short,712.0,14,0.0,9968.0,510595,76889,4254.96,7688.9
2024-01-02 15:29:00,close,712.0,14,0.0,9968.0,0,0,0.0,0.0
2024-01-03 15:26:00,long,710.05,14,0.0,9940.7,271101,53025,2259.18,5302.5
2024-01-04 15:26:00,short,708.75,12,0.0,8505.0,280782,68419,2339.85,6841.9
2024-01-04 15:29:00,close,708.0,12,9.0,8496.0,0,0,0.0,0.0
2024-01-05 15:26:00,long,714.0,12,0.0,8568.0,350182,77092,2918.18,7709.2
2024-01-08 15:26:00,long,710.4,11,0.0,7814.4,178755,78841,1489.62,7884.1
2024-01-09 15:26:00,short,712.85,10,0.0,7128.5,347318,47627,2894.32,4762.7
2024-01-09 15:29:00,close,712.0,10,8.5,7120.0,0,0,0.0,0.0
2024-01-10 15:26:00,short,707.8,10,0.0,7078.0,411571,52333,3429.76,5233.3
2024-01-10 15:29:00,close,709.0,10,-12.0,7090.0,0,0,0.0,0.0
2024-01-11 15:26:00,long,704.8,10,0.0,7048.0,192267,113912,1602.22,11391.2
2024-01-12 15:26:00,long,705.95,9,0.0,6353.55,67697,81147,564.14,8114.7
2024-01-15 15:26:00,long,718.2,8,0.0,5745.6,223328,100352,1861.07,10035.2
2024-01-16 15:26:00,long,708.0,7,0.0,4956.0,269773,35234,2248.11,3523.4
2024-01-17 15:26:00,short,709.4,6,0.0,4256.4,447604,89971,3730.03,8997.1
2024-01-17 15:29:00,close,711.0,6,-9.6,4266.0,0,0,0.0,0.0
2024-01-18 15:26:00,short,709.05,6,0.0,4254.3,129071,36478,1075.59,3647.8
2024-01-18 09:52:00,close,688.23,14,-305.51,9635.18,0,0,0.0,0.0
2024-01-18 09:52:00,close,688.23,12,-309.27,8258.73,0,0,0.0,0.0
2024-01-18 09:52:00,close,688.23,11,-243.9,7570.5,0,0,0.0,0.0
2024-01-18 09:52:00,close,688.23,10,-165.73,6882.28,0,0,0.0,0.0
2024-01-18 09:52:00,close,688.23,9,-159.5,6194.05,0,0,0.0,0.0
2024-01-18 15:29:00,close,710.4,6,-8.1,4262.4,0,0,0.0,0.0
2024-01-19 15:26:00,short,719.5,12,0.0,8634.0,232613,43916,1938.44,4391.6
2024-01-19 15:29:00,close,721.0,12,-18.0,8652.0,0,0,0.0,0.0
2024-01-20 15:26:00,short,702.05,12,0.0,8424.6,128031,27610,1066.92,2761.0
2024-01-20 15:29:00,close,707.9,12,-70.2,8494.8,0,0,0.0,0.0
2024-01-23 15:26:00,short,728.1,12,0.0,8737.2,997227,149101,8310.22,14910.1
2024-01-23 15:29:00,close,729.0,12,-10.8,8748.0,0,0,0.0,0.0
2024-01-24 15:26:00,long,753.15,11,0.0,8284.65,506017,120380,4216.81,12038.0
2024-01-25 15:26:00,long,737.55,10,0.0,7375.5,275390,50221,2294.92,5022.1
2024-01-29 15:26:00,short,748.95,9,0.0,6740.55,124562,47746,1038.02,4774.6
2024-01-29 15:29:00,close,749.0,9,-0.45,6741.0,0,0,0.0,0.0
2024-01-30 15:26:00,long,755.6,9,0.0,6800.4,254766,48694,2123.05,4869.4
2024-01-31 15:26:00,long,761.05,8,0.0,6088.4,244851,67898,2040.42,6789.8
2024-02-01 15:26:00,long,760.15,7,0.0,5321.05,86239,27591,718.66,2759.1
2024-02-02 15:26:00,long,763.15,7,0.0,5342.05,97908,48455,815.9,4845.5
2024-02-05 15:26:00,short,759.7,6,0.0,4558.2,251810,70083,2098.42,7008.3
2024-02-05 15:29:00,close,757.5,6,13.2,4545.0,0,0,0.0,0.0
2024-02-06 15:26:00,short,798.2,6,0.0,4789.2,415863,121166,3465.52,12116.6
2024-02-06 15:29:00,close,799.85,6,-9.9,4799.1,0,0,0.0,0.0
2024-02-07 15:26:00,long,793.0,6,0.0,4758.0,201804,46667,1681.7,4666.7
2024-02-08 15:26:00,long,802.85,5,0.0,4014.25,185810,40996,1548.42,4099.6
2024-02-09 13:14:00,close,779.9,8,493.62,6239.22,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,7,503.32,5459.32,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,11,294.28,8578.93,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,10,423.53,7799.02,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,9,218.72,7019.12,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,8,150.82,6239.22,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,7,138.27,5459.32,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,7,117.27,5459.32,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,6,-78.59,4679.42,0,0,0.0,0.0
2024-02-09 13:14:00,close,779.9,5,-114.74,3899.51,0,0,0.0,0.0
2024-02-12 15:26:00,long,856.6,11,0.0,9422.6,1044338,356230,8702.82,35623.0
2024-02-13 15:26:00,long,859.0,10,0.0,8590.0,393287,91293,3277.39,9129.3
2024-02-14 15:26:00,long,870.35,9,0.0,7833.15,244518,68475,2037.65,6847.5
2024-02-15 15:26:00,long,882.4,8,0.0,7059.2,147380,73472,1228.17,7347.2
2024-02-16 15:26:00,short,890.55,7,0.0,6233.85,210513,44691,1754.28,4469.1
2024-02-16 15:29:00,close,892.0,7,-10.15,6244.0,0,0,0.0,0.0
2024-02-19 15:26:00,long,908.2,7,0.0,6357.4,292473,51810,2437.28,5181.0
2024-02-20 15:26:00,long,897.0,6,0.0,5382.0,297414,80642,2478.45,8064.2
