EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-04 15:26:00,long,318.2,31,9864,closed,2024-01-23 12:22:00,304.99,-409.4,-4.15
2024-01-09 15:26:00,long,314.4,28,8803,closed,2024-01-23 12:22:00,304.99,-263.38,-2.99
2024-01-15 15:26:00,short,323.7,25,8092,closed,2024-01-15 15:29:00,324.0,-7.5,-0.09
2024-01-19 15:26:00,long,312.0,26,8112,closed,2024-01-30 14:54:00,293.6,-478.37,-5.9
2024-02-01 15:26:00,short,301.8,32,9658,closed,2024-02-01 15:29:00,301.5,9.6,0.1
2024-02-07 15:26:00,short,288.3,34,9802,closed,2024-02-07 15:29:00,288.5,-6.8,-0.07
2024-02-09 15:26:00,long,286.9,34,9755,closed,2024-03-13 11:57:00,281.65,-178.48,-1.83
2024-02-12 15:26:00,long,284.5,31,8820,closed,2024-03-13 11:57:00,281.65,-88.33,-1.0
2024-02-14 15:26:00,long,285.5,28,7994,closed,2024-03-13 11:57:00,281.65,-107.79,-1.35
2024-02-22 15:26:00,long,293.3,24,7039,closed,2024-03-13 11:57:00,281.65,-279.59,-3.97
2024-02-26 15:26:00,long,288.15,22,6339,closed,2024-03-13 11:57:00,281.65,-142.99,-2.26
2024-03-04 15:26:00,long,299.0,19,5681,closed,2024-03-13 13:54:00,279.88,-363.21,-6.39
2024-03-11 15:26:00,long,288.55,18,5194,closed,2024-03-18 10:35:00,270.44,-325.91,-6.27
2024-03-19 15:26:00,short,266.8,36,9605,closed,2024-03-19 15:29:00,266.8,0.0,0.0
2024-03-21 15:26:00,long,270.15,36,9725,closed,2024-05-13 09:59:00,321.04,1831.9,18.84
2024-03-27 15:26:00,long,266.0,32,8512,closed,2024-05-13 09:59:00,321.04,1761.15,20.69
2024-04-02 15:26:00,short,279.55,28,7827,closed,2024-04-02 15:29:00,280.5,-26.6,-0.34
2024-04-03 15:26:00,long,280.7,28,7860,closed,2024-05-13 09:59:00,321.04,1129.41,14.37
2024-04-04 15:26:00,long,281.35,25,7034,closed,2024-05-13 09:59:00,321.04,992.15,14.11
2024-04-05 15:26:00,short,280.95,22,6181,closed,2024-04-05 15:29:00,280.8,3.3,0.05
2024-04-09 15:26:00,long,287.2,22,6318,closed,2024-05-13 09:59:00,321.04,744.39,11.78
2024-04-19 15:26:00,long,297.05,19,5644,closed,2024-05-13 09:59:00,321.04,455.73,8.07
2024-04-30 15:26:00,short,318.1,16,5090,closed,2024-04-30 15:29:00,318.45,-5.6,-0.11
2024-05-06 15:26:00,short,323.2,16,5171,closed,2024-05-06 15:29:00,322.15,16.8,0.32
2024-05-09 15:26:00,short,335.0,15,5025,closed,2024-05-09 15:29:00,335.0,0.0,0.0
2024-05-10 15:26:00,long,330.55,15,4958,closed,2024-06-04 11:15:00,375.44,673.36,13.58
2024-05-22 15:26:00,long,389.35,25,9734,closed,2024-06-04 12:03:00,373.86,-387.25,-3.98
2024-05-23 15:26:00,short,394.2,22,8672,closed,2024-05-23 15:29:00,393.3,19.8,0.23
2024-05-27 15:26:00,short,388.0,23,8924,closed,2024-05-27 15:29:00,387.1,20.7,0.23
2024-05-30 15:26:00,long,392.45,22,8634,closed,2024-06-04 12:03:00,373.86,-408.98,-4.74
2024-05-31 15:26:00,long,392.6,20,7852,closed,2024-06-04 12:03:00,373.86,-374.8,-4.77
2024-06-05 15:26:00,short,403.25,25,10081,closed,2024-06-05 15:29:00,404.2,-23.75,-0.24
2024-06-11 15:26:00,short,411.15,25,10279,closed,2024-06-11 15:29:00,410.65,12.5,0.12
2024-06-13 15:26:00,long,424.7,24,10193,closed,2024-06-28 14:46:00,405.94,-450.12,-4.42
2024-07-02 15:26:00,long,413.45,24,9923,closed,2024-08-02 14:58:00,437.75,583.22,5.88
2024-07-03 15:26:00,short,410.85,22,9039,closed,2024-07-03 15:29:00,411.0,-3.3,-0.04
2024-07-04 15:26:00,short,408.5,22,8987,closed,2024-07-04 15:29:00,408.15,7.7,0.09
2024-07-08 15:26:00,short,419.9,22,9238,closed,2024-07-08 15:29:00,421.0,-24.2,-0.26
2024-07-15 15:26:00,long,431.25,21,9056,closed,2024-08-02 14:58:00,437.75,136.52,1.51
2024-07-16 15:26:00,short,428.4,19,8140,closed,2024-07-16 15:29:00,429.55,-21.85,-0.27
2024-07-29 15:26:00,long,433.8,19,8242,closed,2024-08-02 14:58:00,437.75,75.07,0.91
2024-07-30 15:26:00,long,446.2,17,7585,closed,2024-08-02 14:58:00,437.75,-143.63,-1.89
2024-08-01 15:26:00,long,453.05,15,6796,closed,2024-08-05 11:16:00,421.89,-467.33,-6.88
2024-08-07 15:26:00,long,434.95,23,10004,closed,2024-09-16 11:35:00,450.12,348.91,3.49
2024-08-13 15:26:00,short,436.0,21,9156,closed,2024-08-13 15:29:00,435.0,21.0,0.23
2024-08-14 15:26:00,long,429.75,21,9025,closed,2024-09-16 11:35:00,450.12,427.77,4.74
2024-08-16 15:26:00,short,440.0,19,8360,closed,2024-08-16 15:29:00,441.0,-19.0,-0.23
2024-08-20 15:26:00,short,453.8,18,8168,closed,2024-08-20 15:29:00,454.5,-12.6,-0.15
2024-08-22 15:26:00,short,461.8,18,8312,closed,2024-08-22 15:29:00,460.7,19.8,0.24
2024-08-23 15:26:00,long,459.8,18,8276,closed,2024-09-16 11:35:00,450.12,-174.24,-2.11
2024-08-29 15:26:00,long,465.4,16,7446,closed,2024-09-16 11:35:00,450.12,-244.48,-3.28
2024-08-30 15:26:00,long,478.0,14,6692,closed,2024-09-16 11:35:00,450.12,-390.32,-5.83
2024-09-05 15:26:00,short,466.55,13,6065,closed,2024-09-05 15:29:00,468.95,-31.2,-0.51
2024-09-06 15:26:00,short,462.05,13,6007,closed,2024-09-06 15:29:00,463.6,-20.15,-0.34
2024-09-10 15:26:00,long,467.2,13,6074,closed,2024-09-24 11:04:00,436.73,-396.14,-6.52
2024-09-16 15:26:00,long,449.1,12,5389,closed,2024-09-26 09:18:00,423.66,-305.26,-5.66
2024-09-20 15:26:00,long,446.9,20,8938,closed,2024-09-26 09:18:00,423.66,-464.77,-5.2
2024-10-03 15:26:00,long,427.1,23,9823,closed,2024-10-17 14:58:00,415.38,-269.46,-2.74
2024-10-10 15:26:00,short,441.65,20,8833,closed,2024-10-10 15:29:00,440.05,32.0,0.36
2024-10-11 15:26:00,long,430.7,21,9045,closed,2024-10-22 09:15:00,401.75,-607.95,-6.72
2024-10-15 15:26:00,short,429.95,19,8169,closed,2024-10-15 15:29:00,430.1,-2.85,-0.03
2024-10-16 15:26:00,short,422.8,19,8033,closed,2024-10-16 15:29:00,421.55,23.75,0.3
2024-10-24 15:26:00,short,395.75,25,9894,closed,2024-10-24 15:29:00,397.15,-35.0,-0.35
2024-10-28 15:26:00,short,388.6,26,10104,closed,2024-10-28 15:29:00,393.0,-114.4,-1.13
2024-10-29 15:26:00,long,392.35,25,9809,closed,2024-11-14 11:13:00,377.67,-366.93,-3.74
2024-10-31 15:26:00,long,391.75,23,9010,closed,2024-11-14 11:13:00,377.67,-323.77,-3.59
2024-11-07 15:26:00,long,390.9,21,8209,closed,2024-11-14 11:13:00,377.67,-277.77,-3.38
2024-11-14 15:26:00,short,370.35,20,7407,closed,2024-11-14 15:29:00,371.4,-21.0,-0.28
2024-11-25 15:26:00,long,405.6,24,9734,closed,2024-12-19 09:15:00,388.0,-422.4,-4.34
2024-11-29 15:26:00,long,409.85,22,9017,closed,2024-12-19 09:15:00,388.0,-480.7,-5.33
2024-12-02 15:26:00,short,416.6,19,7915,closed,2024-12-02 15:29:00,416.8,-3.8,-0.05
2024-12-05 15:26:00,long,405.3,20,8106,closed,2024-12-19 09:15:00,388.0,-346.0,-4.27
2024-12-06 15:26:00,long,406.0,18,7308,closed,2024-12-19 09:15:00,388.0,-324.0,-4.43
2024-12-11 15:26:00,long,414.25,15,6214,closed,2024-12-20 15:03:00,387.81,-396.6,-6.38
2024-12-12 15:26:00,short,405.9,14,5683,closed,2024-12-12 15:29:00,405.8,1.4,0.02
2024-12-16 15:26:00,short,406.45,14,5690,closed,2024-12-16 15:29:00,406.2,3.5,0.06
2024-12-17 15:26:00,short,396.65,15,5950,closed,2024-12-17 15:29:00,396.55,1.5,0.03
2024-12-18 15:26:00,long,396.35,15,5945,open,,0.0,0.0,0.0
2024-12-20 15:26:00,long,389.0,22,8558,open,,0.0,0.0,0.0
2024-12-26 15:26:00,long,394.3,21,8280,open,,0.0,0.0,0.0
