EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-17 15:26:00,long,2258.7,4,9035,closed,2024-01-17 15:28:00,2256.2,-10.0,-0.11
2024-01-18 15:26:00,short,2214.85,4,8859,closed,2024-01-18 15:29:00,2209.95,19.6,0.22
2024-02-05 15:26:00,short,2166.6,4,8666,closed,2024-02-05 15:29:00,2159.35,29.0,0.33
2024-02-27 15:26:00,long,2123.1,4,8492,closed,2024-02-28 10:00:00,2108.7,-57.6,-0.68
2024-02-28 15:26:00,short,2080.75,4,8323,closed,2024-02-28 15:29:00,2082.0,-5.0,-0.06
2024-03-11 15:26:00,short,2100.95,4,8404,closed,2024-03-11 15:29:00,2116.0,-60.2,-0.72
2024-03-20 15:26:00,short,2083.2,4,8333,closed,2024-03-20 15:29:00,2081.0,8.8,0.11
2024-04-09 15:26:00,long,2150.0,4,8600,closed,2024-04-09 15:28:00,2138.99,-44.02,-0.51
2024-04-12 15:26:00,long,2117.15,4,8469,closed,2024-04-15 09:15:00,2112.1,-20.2,-0.24
2024-04-26 15:26:00,long,2193.95,4,8776,closed,2024-04-29 09:15:00,2235.42,165.88,1.89
2024-05-09 15:26:00,long,2412.25,4,9649,closed,2024-05-10 09:15:00,2434.36,88.44,0.92
2024-05-10 15:26:00,long,2379.95,3,7140,closed,2024-05-13 09:20:00,2371.0,-26.85,-0.38
2024-05-14 15:26:00,long,2439.2,4,9757,closed,2024-05-15 09:15:00,2424.51,-58.76,-0.6
2024-05-31 15:26:00,long,2332.7,4,9331,closed,2024-06-03 09:15:00,2338.83,24.5,0.26
2024-06-11 15:26:00,long,2377.35,4,9509,closed,2024-06-12 13:30:00,2384.27,27.67,0.29
2024-06-13 15:26:00,short,2419.8,4,9679,closed,2024-06-13 15:29:00,2420.0,-0.8,-0.01
2024-06-27 15:26:00,long,2309.3,4,9237,closed,2024-06-28 12:22:00,2296.7,-50.4,-0.55
2024-07-03 15:26:00,short,2237.95,4,8952,closed,2024-07-03 15:29:00,2238.2,-1.0,-0.01
2024-07-22 15:26:00,long,2312.0,4,9248,closed,2024-07-23 09:15:00,2290.86,-84.56,-0.91
2024-07-24 15:26:00,long,2388.15,4,9553,closed,2024-07-25 09:15:00,2366.0,-88.6,-0.93
2024-08-05 15:26:00,short,2844.5,3,8534,closed,2024-08-05 15:29:00,2822.15,67.05,0.79
2024-08-16 15:26:00,long,2989.95,3,8970,closed,2024-08-19 09:15:00,2989.8,-0.45,-0.01
2024-08-20 15:26:00,short,2954.95,3,8865,closed,2024-08-20 15:29:00,2950.0,14.85,0.17
2024-08-21 15:26:00,long,3104.3,3,9313,closed,2024-08-21 15:28:00,3073.26,-93.13,-1.0
2024-08-30 15:26:00,long,3256.8,3,9770,closed,2024-08-30 15:27:00,3242.25,-43.65,-0.45
2024-09-11 15:26:00,short,3385.0,2,6770,closed,2024-09-11 15:29:00,3382.5,5.0,0.07
