EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-25 15:26:00,long,1777.5,5,8888,closed,2024-01-30 09:22:00,1821.06,217.78,2.45
2024-02-13 15:26:00,short,1731.7,5,8658,closed,2024-02-13 15:29:00,1733.0,-6.5,-0.08
2024-03-15 15:26:00,short,1733.8,5,8669,closed,2024-03-15 15:28:00,1749.72,-79.62,-0.92
2024-05-28 15:26:00,long,1702.1,5,8510,closed,2024-05-29 10:04:00,1693.79,-41.54,-0.49
2024-05-31 15:26:00,short,1687.8,5,8439,closed,2024-05-31 15:29:00,1692.5,-23.5,-0.28
2024-06-12 15:26:00,long,1715.35,5,8577,closed,2024-06-13 11:21:00,1720.17,24.12,0.28
2024-06-21 15:26:00,long,1781.95,5,8910,closed,2024-06-21 15:28:00,1764.13,-89.1,-1.0
2024-07-09 15:26:00,short,1848.4,5,9242,closed,2024-07-09 15:29:00,1845.0,17.0,0.18
2024-07-10 15:26:00,long,1836.65,5,9183,closed,2024-07-11 10:42:00,1825.11,-57.68,-0.63
2024-07-30 15:26:00,short,1783.95,5,8920,closed,2024-07-30 15:29:00,1784.75,-4.0,-0.04
2024-08-20 15:26:00,long,1807.7,5,9038,closed,2024-08-21 09:31:00,1791.85,-79.25,-0.88
2024-08-30 15:26:00,short,1779.1,5,8896,closed,2024-08-30 15:29:00,1780.0,-4.5,-0.05
2024-09-20 15:26:00,long,1911.6,5,9558,closed,2024-09-20 15:29:00,1907.04,-22.81,-0.24
2024-09-27 15:26:00,short,1874.65,5,9373,closed,2024-09-27 15:29:00,1876.0,-6.75,-0.07
2024-10-23 15:26:00,short,1766.3,5,8832,closed,2024-10-23 15:29:00,1765.95,1.75,0.02
2024-10-31 15:26:00,long,1734.15,5,8671,closed,2024-11-04 14:27:00,1726.56,-37.95,-0.44
2024-11-25 15:26:00,short,1789.4,5,8947,closed,2024-11-25 15:29:00,1792.0,-13.0,-0.15
2024-12-20 15:26:00,long,1742.75,5,8714,closed,2024-12-20 15:28:00,1749.33,32.9,0.38
