TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-08 15:26:00,short,126.65,78,0.0,9878.7,528502,616063,4404.18,61606.3
2024-01-08 15:27:00,close,127.92,78,-98.79,9977.49,0,0,0.0,0.0
2024-01-12 15:26:00,long,134.65,74,0.0,9964.1,694965,524858,5791.38,52485.8
2024-01-15 09:41:00,close,133.95,74,-52.02,9912.08,0,0,0.0,0.0
2024-01-20 15:26:00,long,133.95,74,0.0,9912.3,241588,102659,2013.23,10265.9
2024-01-23 09:19:00,close,134.59,74,47.4,9959.7,0,0,0.0,0.0
2024-02-12 15:26:00,long,132.0,75,0.0,9900.0,692194,359215,5768.28,35921.5
2024-02-13 09:15:00,close,131.97,75,-2.47,9897.53,0,0,0.0,0.0
2024-02-16 15:26:00,long,136.65,73,0.0,9975.45,315503,206757,2629.19,20675.7
2024-02-16 15:29:00,close,136.62,73,-2.19,9973.26,0,0,0.0,0.0
2024-02-21 15:26:00,short,137.65,72,0.0,9910.8,1199066,556474,9992.22,55647.4
2024-02-21 15:29:00,close,137.9,72,-18.0,9928.8,0,0,0.0,0.0
2024-02-22 15:26:00,long,138.7,72,0.0,9986.4,491016,198584,4091.8,19858.4
2024-02-23 15:26:00,long,141.9,63,0.0,8939.7,1129577,419082,9413.14,41908.2
2024-02-23 09:15:00,close,139.1,72,28.44,10014.84,0,0,0.0,0.0
2024-02-26 09:15:00,close,141.42,63,-30.15,8909.55,0,0,0.0,0.0
2024-03-11 15:26:00,short,135.7,73,0.0,9906.1,550712,293425,4589.27,29342.5
2024-03-11 15:29:00,close,135.95,73,-18.25,9924.35,0,0,0.0,0.0
2024-03-18 15:26:00,long,130.25,76,0.0,9899.0,334775,247451,2789.79,24745.1
2024-03-19 15:26:00,short,129.75,69,0.0,8952.75,415114,242282,3459.28,24228.2
2024-03-19 09:16:00,close,131.08,76,62.78,9961.78,0,0,0.0,0.0
2024-03-19 15:29:00,close,129.35,69,27.6,8925.15,0,0,0.0,0.0
2024-03-20 15:26:00,short,127.85,78,0.0,9972.3,390214,331714,3251.78,33171.4
2024-03-20 15:29:00,close,128.0,78,-11.7,9984.0,0,0,0.0,0.0
2024-03-21 15:26:00,long,134.05,74,0.0,9919.7,737305,367853,6144.21,36785.3
2024-03-22 09:15:00,close,134.29,74,18.02,9937.72,0,0,0.0,0.0
2024-04-01 15:26:00,long,137.55,72,0.0,9903.6,1286851,558913,10723.76,55891.3
2024-04-02 15:26:00,long,138.55,64,0.0,8867.2,504759,292824,4206.32,29282.4
2024-04-02 09:15:00,close,136.45,72,-79.2,9824.4,0,0,0.0,0.0
2024-04-03 09:15:00,close,137.31,64,-79.17,8788.03,0,0,0.0,0.0
2024-04-10 15:26:00,long,141.0,70,0.0,9870.0,574243,269600,4785.36,26960.0
2024-04-12 09:15:00,close,139.79,70,-84.84,9785.16,0,0,0.0,0.0
2024-04-25 15:26:00,long,138.45,72,0.0,9968.4,825857,606135,6882.14,60613.5
2024-04-25 15:29:00,close,137.61,72,-60.48,9907.92,0,0,0.0,0.0
2024-05-14 15:26:00,long,144.75,68,0.0,9843.0,447232,169675,3726.93,16967.5
2024-05-15 15:26:00,short,144.35,62,0.0,8949.7,420479,159859,3503.99,15985.9
2024-05-15 09:16:00,close,144.15,68,-40.8,9802.2,0,0,0.0,0.0
2024-05-15 15:29:00,close,144.15,62,12.4,8937.3,0,0,0.0,0.0
2024-05-16 15:26:00,short,142.05,70,0.0,9943.5,513219,209550,4276.82,20955.0
2024-05-16 15:29:00,close,142.55,70,-35.0,9978.5,0,0,0.0,0.0
2024-05-17 15:26:00,short,144.9,68,0.0,9853.2,401373,193822,3344.78,19382.2
2024-05-17 15:29:00,close,144.85,68,3.4,9849.8,0,0,0.0,0.0
2024-05-21 15:26:00,long,150.05,66,0.0,9903.3,650520,255418,5421.0,25541.8
2024-05-22 09:15:00,close,149.14,66,-59.83,9843.47,0,0,0.0,0.0
2024-05-23 15:26:00,short,147.15,67,0.0,9859.05,504957,175374,4207.98,17537.4
2024-05-23 15:29:00,close,148.1,67,-63.65,9922.7,0,0,0.0,0.0
2024-05-24 15:26:00,short,145.7,68,0.0,9907.6,348535,188516,2904.46,18851.6
2024-05-24 15:29:00,close,145.2,68,34.0,9873.6,0,0,0.0,0.0
2024-06-10 15:26:00,short,143.21,69,0.0,9881.49,477052,168405,3975.43,16840.5
2024-06-10 15:29:00,close,143.38,69,-11.73,9893.22,0,0,0.0,0.0
2024-06-18 15:26:00,short,144.0,69,0.0,9936.0,886091,543122,7384.09,54312.2
2024-06-18 15:28:00,close,145.43,69,-98.66,10034.66,0,0,0.0,0.0
2024-06-26 15:26:00,long,149.08,66,0.0,9839.28,701387,268171,5844.89,26817.1
2024-06-27 09:15:00,close,147.59,66,-98.39,9740.89,0,0,0.0,0.0
2024-07-01 15:26:00,long,144.99,68,0.0,9859.32,286950,109890,2391.25,10989.0
2024-07-02 10:00:00,close,144.39,68,-40.7,9818.62,0,0,0.0,0.0
2024-07-04 15:26:00,long,146.4,67,0.0,9808.8,319963,148403,2666.36,14840.3
2024-07-05 15:26:00,short,147.51,60,0.0,8850.6,621396,242432,5178.3,24243.2
2024-07-05 09:31:00,close,148.75,67,157.28,9966.08,0,0,0.0,0.0
2024-07-05 15:29:00,close,147.6,60,-5.4,8856.0,0,0,0.0,0.0
2024-07-08 15:26:00,long,147.3,67,0.0,9869.1,291841,149676,2432.01,14967.6
2024-07-09 09:25:00,close,149.29,67,133.46,10002.56,0,0,0.0,0.0
2024-07-10 15:26:00,short,146.52,67,0.0,9816.84,467829,177258,3898.58,17725.8
2024-07-10 15:29:00,close,146.79,67,-18.09,9834.93,0,0,0.0,0.0
2024-07-11 15:26:00,long,150.87,65,0.0,9806.55,645776,439133,5381.47,43913.3
2024-07-12 09:17:00,close,149.49,65,-89.7,9716.85,0,0,0.0,0.0
2024-07-18 15:26:00,long,144.81,68,0.0,9847.08,312490,109680,2604.08,10968.0
2024-07-19 09:15:00,close,143.84,68,-66.16,9780.92,0,0,0.0,0.0
2024-07-24 15:26:00,short,148.46,66,0.0,9798.36,970817,390573,8090.14,39057.3
2024-07-24 15:29:00,close,149.0,66,-35.64,9834.0,0,0,0.0,0.0
2024-07-25 15:26:00,short,146.53,67,0.0,9817.51,207276,78686,1727.3,7868.6
2024-07-25 15:29:00,close,146.95,67,-28.14,9845.65,0,0,0.0,0.0
2024-07-26 15:26:00,short,146.5,67,0.0,9815.5,411031,142290,3425.26,14229.0
2024-07-26 15:29:00,close,146.58,67,-5.36,9820.86,0,0,0.0,0.0
2024-08-02 15:26:00,short,146.45,67,0.0,9812.15,376932,152036,3141.1,15203.6
2024-08-02 15:29:00,close,146.8,67,-23.45,9835.6,0,0,0.0,0.0
2024-08-19 15:26:00,long,120.67,82,0.0,9894.94,574003,198035,4783.36,19803.5
2024-08-20 09:44:00,close,121.35,82,56.1,9951.04,0,0,0.0,0.0
2024-08-22 15:26:00,short,133.65,74,0.0,9890.1,1314816,483931,10956.8,48393.1
2024-08-22 15:29:00,close,133.7,74,-3.7,9893.8,0,0,0.0,0.0
2024-08-27 15:26:00,long,133.52,74,0.0,9880.48,2026493,1427036,16887.44,142703.6
2024-08-28 12:17:00,close,132.64,74,-65.11,9815.37,0,0,0.0,0.0
2024-08-29 15:26:00,short,133.2,74,0.0,9856.8,1135246,1100342,9460.38,110034.2
2024-08-29 15:29:00,close,133.45,74,-18.5,9875.3,0,0,0.0,0.0
2024-08-30 15:26:00,long,134.66,73,0.0,9830.18,829650,451455,6913.75,45145.5
2024-09-02 09:17:00,close,134.0,73,-48.44,9781.74,0,0,0.0,0.0
2024-09-19 15:26:00,short,125.99,78,0.0,9827.22,1315034,526698,10958.62,52669.8
2024-09-19 15:29:00,close,126.64,78,-50.7,9877.92,0,0,0.0,0.0
2024-10-16 15:26:00,short,124.29,79,0.0,9818.91,300094,133248,2500.78,13324.8
2024-10-16 15:29:00,close,124.48,79,-15.01,9833.92,0,0,0.0,0.0
2024-10-17 15:26:00,long,125.8,78,0.0,9812.4,451877,164549,3765.64,16454.9
2024-10-18 09:15:00,close,124.68,78,-87.31,9725.09,0,0,0.0,0.0
2024-10-31 15:26:00,short,117.72,84,0.0,9888.48,243733,102554,2031.11,10255.4
2024-10-31 15:29:00,close,117.89,84,-14.28,9902.76,0,0,0.0,0.0
2024-11-07 15:26:00,short,118.5,83,0.0,9835.5,250102,114482,2084.18,11448.2
2024-11-07 15:29:00,close,118.45,83,4.15,9831.35,0,0,0.0,0.0
2024-11-14 15:26:00,short,121.78,81,0.0,9864.18,1217170,612136,10143.08,61213.6
2024-11-14 15:29:00,close,122.1,81,-25.92,9890.1,0,0,0.0,0.0
2024-12-02 15:26:00,long,130.19,76,0.0,9894.44,639058,319134,5325.48,31913.4
