TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-30 15:26:00,long,3804.6,2,0.0,7609.2,353336,140738,2944.47,14073.8
2024-02-29 15:26:00,long,4109.65,2,0.0,8219.3,1650140,803244,13751.17,80324.4
2024-03-15 15:26:00,long,4227.0,1,0.0,4227.0,1436602,574672,11971.68,57467.2
2024-03-27 15:26:00,short,3845.8,2,0.0,7691.6,775407,264287,6461.72,26428.7
2024-03-27 15:29:00,close,3853.55,2,-15.5,7707.1,0,0,0.0,0.0
2024-04-19 09:15:00,close,3829.28,2,49.35,7658.55,0,0,0.0,0.0
2024-04-19 09:15:00,close,3829.28,2,-560.75,7658.55,0,0,0.0,0.0
2024-04-19 09:15:00,close,3829.28,1,-397.72,3829.28,0,0,0.0,0.0
2024-04-30 15:26:00,short,3814.85,2,0.0,7629.7,940214,339843,7835.12,33984.3
2024-04-30 15:29:00,close,3823.95,2,-18.2,7647.9,0,0,0.0,0.0
2024-05-22 15:26:00,long,3831.15,2,0.0,7662.3,360163,120663,3001.36,12066.3
2024-05-29 15:26:00,long,3804.0,2,0.0,7608.0,554620,197577,4621.83,19757.7
2024-05-31 15:26:00,short,3677.45,2,0.0,7354.9,4934613,2388738,41121.78,238873.8
2024-05-31 15:29:00,close,3691.15,2,-27.4,7382.3,0,0,0.0,0.0
2024-07-11 15:26:00,short,3922.0,2,0.0,7844.0,1572734,891409,13106.12,89140.9
2024-07-11 15:29:00,close,3902.0,2,40.0,7804.0,0,0,0.0,0.0
2024-08-07 15:26:00,long,4202.85,1,0.0,4202.85,375902,216606,3132.52,21660.6
2024-08-14 15:26:00,long,4298.65,1,0.0,4298.65,759426,321289,6328.55,32128.9
2024-08-19 15:26:00,short,4490.05,1,0.0,4490.05,565491,205745,4712.42,20574.5
2024-08-19 15:29:00,close,4490.0,1,0.05,4490.0,0,0,0.0,0.0
2024-08-30 15:26:00,short,4561.55,1,0.0,4561.55,1686705,685500,14055.88,68550.0
2024-08-30 15:29:00,close,4562.6,1,-1.05,4562.6,0,0,0.0,0.0
2024-09-02 15:26:00,short,4516.75,1,0.0,4516.75,362530,143492,3021.08,14349.2
2024-09-02 15:29:00,close,4526.35,1,-9.6,4526.35,0,0,0.0,0.0
2024-09-04 15:26:00,short,4480.5,1,0.0,4480.5,404522,157934,3371.02,15793.4
2024-09-04 15:29:00,close,4484.0,1,-3.5,4484.0,0,0,0.0,0.0
2024-09-09 15:26:00,short,4451.3,1,0.0,4451.3,441555,166854,3679.62,16685.4
2024-09-09 15:29:00,close,4456.0,1,-4.7,4456.0,0,0,0.0,0.0
2024-09-25 15:26:00,short,4273.45,1,0.0,4273.45,936981,369000,7808.18,36900.0
2024-09-25 15:29:00,close,4275.35,1,-1.9,4275.35,0,0,0.0,0.0
2024-09-27 15:26:00,long,4305.3,1,0.0,4305.3,836338,322846,6969.48,32284.6
2024-10-11 11:17:00,close,4133.03,2,603.75,8266.05,0,0,0.0,0.0
2024-10-11 11:17:00,close,4133.03,2,658.05,8266.05,0,0,0.0,0.0
2024-10-11 11:17:00,close,4133.03,1,-69.82,4133.03,0,0,0.0,0.0
2024-10-11 11:17:00,close,4133.03,1,-165.62,4133.03,0,0,0.0,0.0
2024-10-31 15:26:00,long,3965.05,2,0.0,7930.1,1121060,487986,9342.17,48798.6
2024-11-25 15:26:00,long,4326.25,2,0.0,8652.5,1886115,825438,15717.62,82543.8
2024-12-11 15:26:00,long,4424.7,1,0.0,4424.7,557224,192775,4643.53,19277.5
2024-12-20 15:26:00,long,4169.05,1,0.0,4169.05,1198609,469180,9988.41,46918.0
2024-12-30 15:26:00,short,4152.4,1,0.0,4152.4,530634,298381,4421.95,29838.1
2024-12-30 15:29:00,close,4150.0,1,2.4,4150.0,0,0,0.0,0.0
2024-12-31 10:07:00,close,4045.41,1,-259.89,4045.41,0,0,0.0,0.0
2024-12-31 10:07:00,close,4045.41,2,160.72,8090.82,0,0,0.0,0.0
2024-12-31 10:07:00,close,4045.41,2,-561.68,8090.82,0,0,0.0,0.0
2024-12-31 10:07:00,close,4045.41,1,-379.29,4045.41,0,0,0.0,0.0
