EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-03 15:26:00,long,1465.2,6,8791,closed,2024-01-15 10:16:00,1536.48,427.68,4.86
2024-01-20 15:26:00,short,1524.0,6,9144,closed,2024-01-20 15:29:00,1525.0,-6.0,-0.07
2024-02-13 15:26:00,long,1587.95,6,9528,closed,2024-02-15 10:30:00,1639.2,307.52,3.23
2024-02-19 15:26:00,short,1626.4,6,9758,closed,2024-02-19 15:29:00,1627.85,-8.7,-0.09
2024-02-21 15:26:00,short,1564.75,6,9388,closed,2024-02-21 15:29:00,1572.0,-43.5,-0.46
2024-02-27 15:26:00,long,1580.55,6,9483,closed,2024-02-29 09:19:00,1536.48,-264.42,-2.79
2024-02-29 15:26:00,long,1580.05,5,7900,closed,2024-03-04 14:58:00,1548.02,-160.13,-2.03
2024-03-07 15:26:00,short,1492.45,6,8955,closed,2024-03-07 15:29:00,1495.0,-15.3,-0.17
2024-03-15 15:26:00,long,1432.6,6,8596,closed,2024-03-18 09:15:00,1414.79,-106.84,-1.24
2024-04-02 15:26:00,long,1513.4,6,9080,closed,2024-04-08 13:28:00,1491.57,-130.99,-1.44
2024-04-03 15:26:00,long,1506.7,6,9040,closed,2024-04-08 13:28:00,1491.57,-90.79,-1.0
2024-04-10 15:26:00,long,1490.0,6,8940,closed,2024-04-15 09:15:00,1418.0,-432.0,-4.83
2024-04-16 15:26:00,short,1408.85,7,9862,closed,2024-04-16 15:29:00,1410.0,-8.05,-0.08
2024-04-24 15:26:00,short,1370.4,7,9593,closed,2024-04-24 15:29:00,1371.8,-9.8,-0.1
2024-04-25 15:26:00,short,1373.5,7,9614,closed,2024-04-25 15:29:00,1373.0,3.5,0.04
2024-05-06 15:26:00,short,1522.25,6,9134,closed,2024-05-06 15:29:00,1516.8,32.7,0.36
2024-05-10 15:26:00,long,1468.1,6,8809,closed,2024-05-13 09:17:00,1428.81,-235.74,-2.68
2024-05-14 15:26:00,long,1504.85,6,9029,closed,2024-05-21 09:16:00,1503.35,-8.97,-0.1
2024-05-23 15:26:00,short,1505.05,6,9030,closed,2024-05-23 15:29:00,1501.0,24.3,0.27
2024-05-27 15:26:00,long,1548.95,6,9294,closed,2024-05-28 11:58:00,1518.05,-185.4,-1.99
2024-05-28 15:26:00,short,1502.95,5,7515,closed,2024-05-28 15:29:00,1503.0,-0.25,-0.0
2024-06-11 15:26:00,short,1477.15,6,8863,closed,2024-06-11 15:29:00,1479.0,-11.1,-0.13
2024-06-14 15:26:00,short,1480.4,6,8882,closed,2024-06-14 15:29:00,1478.9,9.0,0.1
2024-06-21 15:26:00,long,1587.9,6,9527,closed,2024-06-25 12:29:00,1582.07,-34.98,-0.37
2024-06-25 15:26:00,long,1585.95,5,7930,closed,2024-06-27 10:13:00,1581.1,-24.25,-0.31
2024-06-26 15:26:00,long,1600.05,5,8000,closed,2024-06-27 14:14:00,1564.8,-176.23,-2.2
2024-07-15 15:26:00,long,1836.9,5,9184,closed,2024-07-18 09:32:00,1825.55,-56.75,-0.62
2024-07-25 15:26:00,long,1785.8,5,8929,closed,2024-07-29 12:08:00,1783.83,-9.85,-0.11
2024-08-02 15:26:00,long,1820.0,5,9100,closed,2024-08-05 09:15:00,1769.28,-253.6,-2.79
2024-08-07 15:26:00,long,1741.85,5,8709,closed,2024-08-08 09:57:00,1718.84,-115.05,-1.32
2024-08-09 15:26:00,short,1755.0,5,8775,closed,2024-08-09 15:29:00,1764.95,-49.75,-0.57
2024-08-21 15:26:00,long,1834.6,5,9173,closed,2024-08-23 13:26:00,1812.88,-108.59,-1.18
2024-08-22 15:26:00,long,1834.4,4,7338,closed,2024-08-27 09:33:00,1851.73,69.32,0.94
2024-08-23 15:26:00,long,1832.4,4,7330,closed,2024-08-27 09:33:00,1851.73,77.32,1.05
2024-08-27 15:26:00,long,1861.65,4,7447,closed,2024-08-28 13:14:00,1863.37,6.88,0.09
2024-08-30 15:26:00,long,1819.05,5,9095,closed,2024-09-02 13:34:00,1770.25,-244.0,-2.68
2024-09-09 15:26:00,long,1760.95,5,8805,closed,2024-09-16 09:23:00,1804.15,216.01,2.45
2024-09-12 15:26:00,short,1837.0,4,7348,closed,2024-09-12 15:29:00,1833.05,15.8,0.22
2024-09-19 15:26:00,long,1673.1,5,8366,closed,2024-09-20 10:21:00,1645.02,-140.38,-1.68
2024-09-27 15:26:00,long,1672.1,5,8360,closed,2024-10-03 15:26:00,1661.9,-51.0,-0.61
2024-10-16 15:26:00,short,1757.25,5,8786,closed,2024-10-16 15:29:00,1759.9,-13.25,-0.15
2024-12-12 15:26:00,long,1547.1,6,9283,closed,2024-12-17 15:25:00,1508.35,-232.5,-2.5
2024-12-20 15:26:00,long,1452.85,6,8717,closed,2024-12-23 12:10:00,1430.6,-133.47,-1.53
2024-12-27 15:26:00,short,1458.5,6,8751,closed,2024-12-27 15:29:00,1462.0,-21.0,-0.24
2024-12-30 15:26:00,long,1478.15,6,8869,closed,2024-12-31 09:55:00,1433.81,-266.07,-3.0
