EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 15:26:00,short,126.65,78,9879,closed,2024-01-08 15:29:00,128.1,-113.1,-1.14
2024-01-12 15:26:00,long,134.65,74,9964,closed,2024-01-18 09:55:00,128.8,-432.53,-4.34
2024-01-20 15:26:00,long,133.95,74,9912,closed,2024-02-07 14:20:00,136.2,166.39,1.68
2024-02-12 15:26:00,long,132.0,75,9900,closed,2024-02-21 15:20:00,134.48,185.85,1.88
2024-02-16 15:26:00,long,136.65,65,8882,closed,2024-02-21 15:20:00,134.48,-141.18,-1.59
2024-02-21 15:26:00,short,137.65,58,7984,closed,2024-02-21 15:29:00,137.9,-14.5,-0.18
2024-02-22 15:26:00,long,138.7,71,9848,closed,2024-03-06 11:08:00,136.94,-124.78,-1.27
2024-02-23 15:26:00,long,141.9,63,8940,closed,2024-03-11 14:14:00,136.11,-365.05,-4.08
2024-03-11 15:26:00,short,135.7,66,8956,closed,2024-03-11 15:29:00,135.95,-16.5,-0.18
2024-03-18 15:26:00,long,130.25,76,9899,closed,2024-04-15 09:19:00,134.29,307.19,3.1
2024-03-19 15:26:00,short,129.75,68,8823,closed,2024-03-19 15:29:00,129.35,27.2,0.31
2024-03-20 15:26:00,short,127.85,69,8822,closed,2024-03-20 15:29:00,128.0,-10.35,-0.12
2024-03-21 15:26:00,long,134.05,66,8847,closed,2024-04-15 09:19:00,134.29,15.97,0.18
2024-04-01 15:26:00,long,137.55,58,7978,closed,2024-04-15 09:19:00,134.29,-188.96,-2.37
2024-04-02 15:26:00,long,138.55,52,7205,closed,2024-04-15 09:19:00,134.29,-221.42,-3.07
2024-04-10 15:26:00,long,141.0,46,6486,closed,2024-05-09 13:21:00,146.94,273.24,4.21
2024-04-25 15:26:00,long,138.45,66,9138,closed,2024-05-09 13:21:00,146.94,560.34,6.13
2024-05-14 15:26:00,long,144.75,69,9988,closed,2024-05-28 11:38:00,140.76,-275.62,-2.76
2024-05-15 15:26:00,short,144.35,62,8950,closed,2024-05-15 15:29:00,144.15,12.4,0.14
2024-05-16 15:26:00,short,142.05,63,8949,closed,2024-05-16 15:29:00,142.55,-31.5,-0.35
2024-05-17 15:26:00,short,144.9,62,8984,closed,2024-05-17 15:29:00,144.85,3.1,0.03
2024-05-21 15:26:00,long,150.05,59,8853,closed,2024-05-28 11:38:00,140.76,-548.38,-6.19
2024-05-23 15:26:00,short,147.15,55,8093,closed,2024-05-23 15:29:00,148.1,-52.25,-0.65
2024-05-24 15:26:00,short,145.7,55,8013,closed,2024-05-24 15:29:00,145.2,27.5,0.34
2024-06-10 15:26:00,short,143.21,69,9881,closed,2024-06-10 15:29:00,143.38,-11.73,-0.12
2024-06-18 15:26:00,short,144.0,68,9792,closed,2024-06-18 15:29:00,145.0,-68.0,-0.69
2024-06-26 15:26:00,long,149.08,66,9839,closed,2024-07-19 10:06:00,141.68,-488.65,-4.97
2024-07-01 15:26:00,long,144.99,61,8844,closed,2024-07-19 10:06:00,141.68,-202.14,-2.29
2024-07-04 15:26:00,long,146.4,54,7906,closed,2024-07-19 10:06:00,141.68,-255.09,-3.23
2024-07-05 15:26:00,short,147.51,49,7228,closed,2024-07-05 15:29:00,147.6,-4.41,-0.06
2024-07-08 15:26:00,long,147.3,49,7218,closed,2024-07-19 10:06:00,141.68,-275.57,-3.82
2024-07-10 15:26:00,short,146.52,44,6447,closed,2024-07-10 15:29:00,146.79,-11.88,-0.18
2024-07-11 15:26:00,long,150.87,43,6487,closed,2024-07-19 10:57:00,140.59,-442.12,-6.82
2024-07-18 15:26:00,long,144.81,40,5792,closed,2024-07-23 12:19:00,141.42,-135.77,-2.34
2024-07-24 15:26:00,short,148.46,65,9650,closed,2024-07-24 15:29:00,149.0,-35.1,-0.36
2024-07-25 15:26:00,short,146.53,66,9671,closed,2024-07-25 15:29:00,146.95,-27.72,-0.29
2024-07-26 15:26:00,short,146.5,66,9669,closed,2024-07-26 15:29:00,146.58,-5.28,-0.05
2024-08-02 15:26:00,short,146.45,66,9666,closed,2024-08-02 15:29:00,146.8,-23.1,-0.24
2024-08-19 15:26:00,long,120.67,80,9654,closed,2024-09-09 09:20:00,128.05,590.54,6.12
2024-08-22 15:26:00,short,133.65,65,8687,closed,2024-08-22 15:29:00,133.7,-3.25,-0.04
2024-08-27 15:26:00,long,133.52,65,8679,closed,2024-09-09 09:20:00,128.05,-355.44,-4.1
2024-08-29 15:26:00,short,133.2,59,7859,closed,2024-08-29 15:29:00,133.45,-14.75,-0.19
2024-08-30 15:26:00,long,134.66,58,7810,closed,2024-09-19 11:29:00,125.88,-509.5,-6.52
2024-09-19 15:26:00,short,125.99,71,8945,closed,2024-09-19 15:29:00,126.64,-46.15,-0.52
2024-10-16 15:26:00,short,124.29,77,9570,closed,2024-10-16 15:29:00,124.48,-14.63,-0.15
2024-10-17 15:26:00,long,125.8,76,9561,closed,2024-10-22 10:32:00,117.12,-659.36,-6.9
2024-10-31 15:26:00,short,117.72,81,9535,closed,2024-10-31 15:29:00,117.89,-13.77,-0.14
2024-11-07 15:26:00,short,118.5,81,9598,closed,2024-11-07 15:29:00,118.45,4.05,0.04
2024-11-14 15:26:00,short,121.78,78,9499,closed,2024-11-14 15:29:00,122.1,-24.96,-0.26
2024-12-02 15:26:00,long,130.19,73,9504,closed,2024-12-30 09:15:00,147.87,1290.64,13.58
2024-12-26 15:26:00,long,150.27,57,8565,open,,0.0,0.0,0.0
2024-12-27 15:26:00,long,149.72,52,7785,open,,0.0,0.0,0.0
