TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-05 09:15:00,buy,1425.0,7,0.0,9975.0,1082403,295059,9020.02,29505.9
2024-01-08 09:45:00,sell,1433.37,7,58.6,10033.6,0,0,0.0,0.0
2024-02-19 09:15:00,buy,1670.0,5,0.0,8350.0,676864,191821,5640.53,19182.1
2024-02-20 09:15:00,buy,1668.75,5,0.0,8343.75,268713,76973,2239.28,7697.3
2024-02-20 09:15:00,sell,1666.12,5,-19.4,8330.6,0,0,0.0,0.0
2024-02-20 09:43:00,sell,1656.02,5,-63.64,8280.11,0,0,0.0,0.0
2024-03-01 09:15:00,buy,1675.45,5,0.0,8377.25,2030239,589302,16918.66,58930.2
2024-03-01 09:28:00,sell,1662.41,5,-65.21,8312.04,0,0,0.0,0.0
2024-03-19 09:15:00,buy,1641.55,6,0.0,9849.3,337335,110578,2811.12,11057.8
2024-03-19 09:23:00,sell,1625.13,6,-98.49,9750.81,0,0,0.0,0.0
2024-04-03 09:15:00,buy,1525.35,6,0.0,9152.1,842459,238338,7020.49,23833.8
2024-04-03 10:48:00,sell,1542.87,6,105.09,9257.19,0,0,0.0,0.0
2024-05-18 09:15:00,buy,1335.05,7,0.0,9345.35,778790,222044,6489.92,22204.4
2024-05-23 09:23:00,sell,1339.37,7,30.25,9375.6,0,0,0.0,0.0
2024-06-06 09:15:00,buy,1354.0,7,0.0,9478.0,955544,239437,7962.87,23943.7
2024-06-06 09:21:00,sell,1356.1,7,14.71,9492.71,0,0,0.0,0.0
2024-08-08 09:15:00,buy,1597.0,6,0.0,9582.0,672330,170169,5602.75,17016.9
2024-08-08 11:30:00,sell,1583.9,6,-78.59,9503.41,0,0,0.0,0.0
2024-08-21 09:15:00,buy,1686.0,5,0.0,8430.0,1073148,640000,8942.9,64000.0
2024-08-23 09:43:00,sell,1671.96,5,-70.19,8359.81,0,0,0.0,0.0
2024-08-27 09:15:00,buy,1725.85,5,0.0,8629.25,1263143,450154,10526.19,45015.4
2024-08-27 09:27:00,sell,1739.28,5,67.16,8696.41,0,0,0.0,0.0
2024-09-11 09:15:00,buy,1778.2,5,0.0,8891.0,969891,307949,8082.42,30794.9
2024-09-11 15:00:00,sell,1778.88,5,3.41,8894.41,0,0,0.0,0.0
2024-09-12 09:15:00,buy,1800.0,5,0.0,9000.0,1010030,287566,8416.92,28756.6
2024-09-12 09:20:00,sell,1786.21,5,-68.96,8931.04,0,0,0.0,0.0
2024-10-01 09:15:00,buy,1790.0,5,0.0,8950.0,987877,285801,8232.31,28580.1
2024-10-03 09:15:00,sell,1804.23,5,71.13,9021.13,0,0,0.0,0.0
2024-10-15 09:15:00,buy,1830.0,5,0.0,9150.0,570277,165700,4752.31,16570.0
2024-10-15 09:15:00,sell,1862.19,5,160.95,9310.95,0,0,0.0,0.0
2024-11-01 18:00:00,buy,1777.0,5,0.0,8885.0,1458809,456582,12156.74,45658.2
2024-11-01 18:29:00,sell,1763.49,5,-67.57,8817.43,0,0,0.0,0.0
2024-11-21 09:15:00,buy,1835.0,5,0.0,9175.0,833033,232080,6941.94,23208.0
2024-11-21 12:43:00,sell,1821.06,5,-69.72,9105.28,0,0,0.0,0.0
2024-11-26 09:15:00,buy,1890.1,5,0.0,9450.5,3668142,1013995,30567.85,101399.5
2024-11-26 12:29:00,sell,1895.8,5,28.5,9479.0,0,0,0.0,0.0
2024-12-23 09:15:00,buy,1918.5,5,0.0,9592.5,1785501,517255,14879.18,51725.5
2024-12-23 09:15:00,sell,1920.01,5,7.53,9600.03,0,0,0.0,0.0
