TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-03-06 09:15:00,buy,3196.9,3,0.0,9590.7,100867,38579,840.56,3857.9
2024-03-06 09:21:00,sell,3164.93,3,-95.91,9494.79,0,0,0.0,0.0
2024-04-08 09:15:00,buy,3548.0,2,0.0,7096.0,98825,26132,823.54,2613.2
2024-04-08 09:46:00,sell,3512.52,2,-70.96,7025.04,0,0,0.0,0.0
2024-04-25 09:15:00,buy,3739.95,2,0.0,7479.9,227785,78136,1898.21,7813.6
2024-04-26 09:45:00,sell,3842.59,2,205.27,7685.17,0,0,0.0,0.0
2024-05-08 09:15:00,buy,3964.0,2,0.0,7928.0,235152,62332,1959.6,6233.2
2024-05-08 09:17:00,sell,3939.46,2,-49.09,7878.91,0,0,0.0,0.0
2024-05-13 09:15:00,buy,4006.1,2,0.0,8012.2,195887,70501,1632.39,7050.1
2024-05-13 09:33:00,sell,4019.4,2,26.6,8038.8,0,0,0.0,0.0
2024-07-02 09:15:00,buy,4234.95,2,0.0,8469.9,356403,132897,2970.02,13289.7
2024-07-02 12:59:00,sell,4240.27,2,10.64,8480.54,0,0,0.0,0.0
2024-07-09 09:15:00,buy,4240.0,2,0.0,8480.0,123679,33454,1030.66,3345.4
2024-07-10 09:24:00,sell,4275.81,2,71.62,8551.62,0,0,0.0,0.0
2024-07-11 09:15:00,buy,4295.0,2,0.0,8590.0,144762,84922,1206.35,8492.2
2024-07-12 10:48:00,sell,4325.21,2,60.42,8650.42,0,0,0.0,0.0
2024-07-25 09:15:00,buy,4350.0,2,0.0,8700.0,216478,69471,1803.98,6947.1
2024-07-25 12:03:00,sell,4422.97,2,145.95,8845.95,0,0,0.0,0.0
2024-08-14 09:15:00,buy,4239.0,2,0.0,8478.0,138594,44690,1154.95,4469.0
2024-08-14 11:49:00,sell,4216.41,2,-45.18,8432.82,0,0,0.0,0.0
2024-08-19 09:15:00,buy,4299.8,2,0.0,8599.6,227067,78952,1892.22,7895.2
2024-08-19 10:14:00,sell,4281.65,2,-36.3,8563.3,0,0,0.0,0.0
2024-11-01 18:00:00,buy,4050.0,2,0.0,8100.0,271601,88475,2263.34,8847.5
2024-11-01 18:45:00,sell,4058.7,2,17.41,8117.41,0,0,0.0,0.0
2024-12-23 09:15:00,buy,4468.95,2,0.0,8937.9,414632,108101,3455.27,10810.1
2024-12-23 09:15:00,sell,4439.65,2,-58.59,8879.31,0,0,0.0,0.0
2024-12-31 09:15:00,buy,4594.0,2,0.0,9188.0,582897,236608,4857.48,23660.8
2024-12-31 10:07:00,sell,4583.4,2,-21.19,9166.81,0,0,0.0,0.0
