EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-05 09:15:00,128.41,77,9888,closed,2024-01-05 09:15:00,128.03670000000002,-28.744099999997843,-0.29
2024-01-19 09:15:00,126.06,79,9959,closed,2024-01-20 09:15:00,127.314,99.06599999999926,0.99
2024-03-01 09:15:00,136.32,73,9951,closed,2024-03-02 09:15:00,144.441,592.8330000000007,5.96
2024-04-23 09:15:00,156.26,64,10001,closed,2024-04-23 09:15:00,154.6974,-100.00640000000021,-1.0
2024-07-16 09:15:00,163.98,61,10003,closed,2024-07-16 09:15:00,164.29049999999998,18.940499999999417,0.19
2024-09-04 09:15:00,146.09,68,9934,closed,2024-09-04 09:15:00,147.2229,77.03720000000044,0.78
2024-09-06 09:15:00,148.48,67,9948,closed,2024-09-06 09:15:00,147.3912,-72.94959999999946,-0.73
2024-10-14 09:15:00,158.19,63,9966,closed,2024-10-14 09:15:00,158.0634,-7.975799999999765,-0.08
2024-11-11 09:15:00,144.21,69,9950,closed,2024-11-11 09:15:00,142.8768,-91.99080000000035,-0.92
2024-11-21 09:15:00,136.32,73,9951,closed,2024-11-21 09:15:00,135.63,-50.369999999999834,-0.51
2024-12-23 09:15:00,139.2,72,10022,closed,2024-12-23 09:15:00,139.1148,-6.134399999999005,-0.06
2024-12-27 09:15:00,137.49,73,10037,closed,2024-12-27 09:15:00,137.1348,-25.929599999999738,-0.26
