TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,long,1864.95,5,0.0,9324.75,2173330,410530,18111.08,41053.0
2024-01-03 15:26:00,long,1864.75,4,0.0,7459.0,885107,193079,7375.89,19307.9
2024-01-04 15:26:00,long,1864.15,4,0.0,7456.6,938831,287605,7823.59,28760.5
2024-01-05 15:26:00,short,1845.75,4,0.0,7383.0,1017307,160865,8477.56,16086.5
2024-01-05 15:29:00,close,1844.8,4,3.8,7379.2,0,0,0.0,0.0
2024-01-08 15:26:00,long,1826.4,4,0.0,7305.6,1236991,310613,10308.26,31061.3
2024-01-09 15:26:00,short,1824.05,3,0.0,5472.15,1745560,229283,14546.33,22928.3
2024-01-09 15:29:00,close,1825.4,3,-4.05,5476.2,0,0,0.0,0.0
2024-01-11 15:26:00,short,1821.75,3,0.0,5465.25,933683,124779,7780.69,12477.9
2024-01-11 15:29:00,close,1823.25,3,-4.5,5469.75,0,0,0.0,0.0
2024-01-12 15:26:00,long,1835.7,3,0.0,5507.1,611611,102129,5096.76,10212.9
2024-01-17 15:26:00,short,1779.1,3,0.0,5337.3,3290158,466276,27417.98,46627.6
2024-01-17 15:29:00,close,1779.75,3,-1.95,5339.25,0,0,0.0,0.0
2024-01-18 15:26:00,long,1777.7,3,0.0,5333.1,1065053,201030,8875.44,20103.0
2024-01-19 15:26:00,short,1761.05,3,0.0,5283.15,1555673,242562,12963.94,24256.2
2024-01-19 15:29:00,close,1760.9,3,0.45,5282.7,0,0,0.0,0.0
2024-01-23 15:26:00,long,1789.35,3,0.0,5368.05,2378989,436587,19824.91,43658.7
2024-01-24 15:26:00,short,1789.5,2,0.0,3579.0,939282,129668,7827.35,12966.8
2024-01-24 15:29:00,close,1785.05,2,8.9,3570.1,0,0,0.0,0.0
2024-01-25 15:26:00,long,1777.5,2,0.0,3555.0,2871207,1068479,23926.72,106847.9
2024-01-29 15:26:00,short,1823.9,2,0.0,3647.8,2177471,363556,18145.59,36355.6
2024-01-29 15:29:00,close,1825.5,2,-3.2,3651.0,0,0,0.0,0.0
2024-01-30 15:26:00,short,1820.7,2,0.0,3641.4,1888982,239439,15741.52,23943.9
2024-01-30 15:29:00,close,1819.05,2,3.3,3638.1,0,0,0.0,0.0
2024-01-31 15:26:00,long,1824.8,2,0.0,3649.6,2444445,481478,20370.38,48147.8
2024-02-01 15:26:00,long,1823.6,2,0.0,3647.2,661410,114855,5511.75,11485.5
2024-02-02 15:26:00,long,1823.5,2,0.0,3647.0,1310104,185966,10917.53,18596.6
2024-02-05 15:26:00,short,1804.6,2,0.0,3609.2,1033025,147852,8608.54,14785.2
2024-02-05 15:29:00,close,1803.0,2,3.2,3606.0,0,0,0.0,0.0
2024-02-06 15:26:00,long,1789.7,2,0.0,3579.4,1317601,180504,10980.01,18050.4
2024-02-07 15:26:00,long,1799.2,1,0.0,1799.2,1638995,443060,13658.29,44306.0
2024-02-08 15:26:00,long,1729.9,1,0.0,1729.9,2109895,267727,17582.46,26772.7
2024-02-09 15:26:00,long,1747.0,1,0.0,1747.0,1492518,205059,12437.65,20505.9
2024-02-12 15:26:00,long,1714.15,1,0.0,1714.15,1645626,259590,13713.55,25959.0
2024-02-13 15:26:00,short,1731.7,1,0.0,1731.7,1355574,634506,11296.45,63450.6
2024-02-13 15:29:00,close,1733.0,1,-1.3,1733.0,0,0,0.0,0.0
2024-02-14 15:26:00,long,1748.2,1,0.0,1748.2,1624561,309111,13538.01,30911.1
2024-02-15 15:26:00,long,1743.8,1,0.0,1743.8,927006,152657,7725.05,15265.7
2024-02-16 15:26:00,short,1734.25,1,0.0,1734.25,744475,120035,6203.96,12003.5
2024-02-16 15:29:00,close,1735.0,1,-0.75,1735.0,0,0,0.0,0.0
2024-02-22 15:26:00,long,1728.6,1,0.0,1728.6,2609066,527481,21742.22,52748.1
2024-02-23 15:26:00,short,1722.6,1,0.0,1722.6,1006830,147239,8390.25,14723.9
2024-02-23 15:29:00,close,1720.0,1,2.6,1720.0,0,0,0.0,0.0
2024-02-27 15:26:00,long,1708.5,1,0.0,1708.5,1444998,274880,12041.65,27488.0
2024-02-28 15:26:00,long,1680.65,1,0.0,1680.65,1274530,344472,10621.08,34447.2
2024-02-28 15:15:00,close,1684.35,5,-903.0,8421.75,0,0,0.0,0.0
2024-02-28 15:15:00,close,1684.35,4,-721.6,6737.4,0,0,0.0,0.0
2024-02-28 15:15:00,close,1682.91,4,-724.96,6731.64,0,0,0.0,0.0
2024-02-29 15:26:00,long,1693.75,2,0.0,3387.5,2575706,584323,21464.22,58432.3
2024-02-29 09:35:00,close,1674.86,4,-606.18,6699.42,0,0,0.0,0.0
2024-02-29 09:35:00,close,1674.86,3,-482.53,5024.57,0,0,0.0,0.0
2024-03-01 15:26:00,long,1727.4,2,0.0,3454.8,1164677,383043,9705.64,38304.3
2024-03-04 15:26:00,long,1727.9,2,0.0,3455.8,1041620,265105,8680.17,26510.5
2024-03-06 15:26:00,short,1756.35,2,0.0,3512.7,2113800,402697,17615.0,40269.7
2024-03-06 15:29:00,close,1759.7,2,-6.7,3519.4,0,0,0.0,0.0
2024-03-07 15:26:00,long,1748.9,2,0.0,3497.8,1278666,248487,10655.55,24848.7
2024-03-11 15:26:00,short,1729.65,2,0.0,3459.3,1374444,242852,11453.7,24285.2
2024-03-11 15:29:00,close,1728.9,2,1.5,3457.8,0,0,0.0,0.0
2024-03-13 15:26:00,short,1719.3,2,0.0,3438.6,2584897,439392,21540.81,43939.2
2024-03-13 15:29:00,close,1725.3,2,-12.0,3450.6,0,0,0.0,0.0
2024-03-14 15:26:00,short,1741.55,2,0.0,3483.1,1477763,335718,12314.69,33571.8
2024-03-14 15:29:00,close,1739.95,2,3.2,3479.9,0,0,0.0,0.0
2024-03-15 15:26:00,short,1733.8,2,0.0,3467.6,7441551,4247335,62012.92,424733.5
2024-03-15 15:29:00,close,1734.0,2,-0.4,3468.0,0,0,0.0,0.0
2024-03-18 15:26:00,long,1739.1,2,0.0,3478.2,808350,173407,6736.25,17340.7
2024-03-19 15:26:00,long,1746.4,1,0.0,1746.4,2373819,348908,19781.82,34890.8
2024-03-20 15:26:00,long,1767.4,1,0.0,1767.4,1886479,442233,15720.66,44223.3
2024-03-21 15:26:00,short,1770.1,1,0.0,1770.1,1087450,229200,9062.08,22920.0
2024-03-21 15:29:00,close,1767.0,1,3.1,1767.0,0,0,0.0,0.0
2024-03-26 15:26:00,long,1756.15,1,0.0,1756.15,2094728,276761,17456.07,27676.1
2024-03-27 15:26:00,short,1776.5,1,0.0,1776.5,3980526,1108487,33171.05,110848.7
2024-03-27 15:29:00,close,1771.25,1,5.25,1771.25,0,0,0.0,0.0
2024-03-28 15:26:00,long,1787.85,1,0.0,1787.85,3038617,550695,25321.81,55069.5
2024-04-01 15:26:00,short,1788.15,1,0.0,1788.15,1338067,176352,11150.56,17635.2
2024-04-01 15:29:00,close,1789.0,1,-0.85,1789.0,0,0,0.0,0.0
2024-04-02 15:26:00,short,1755.0,1,0.0,1755.0,2212820,329628,18440.17,32962.8
2024-04-02 15:29:00,close,1756.7,1,-1.7,1756.7,0,0,0.0,0.0
2024-04-03 15:26:00,long,1733.6,1,0.0,1733.6,3527862,456913,29398.85,45691.3
2024-04-05 15:26:00,long,1785.75,1,0.0,1785.75,2985192,401646,24876.6,40164.6
2024-04-08 15:26:00,short,1787.05,1,0.0,1787.05,1147761,150425,9564.67,15042.5
