EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,7851.5,1,7852,closed,2024-01-05 13:58:00,7720.18,-131.32,-1.67
2024-01-03 15:26:00,long,7784.95,1,7785,closed,2024-01-05 13:58:00,7720.18,-64.77,-0.83
2024-01-04 15:26:00,short,7742.65,1,7743,closed,2024-01-04 15:29:00,7748.0,-5.35,-0.07
2024-01-08 15:26:00,short,7782.55,1,7783,closed,2024-01-08 15:29:00,7780.0,2.55,0.03
2024-01-10 15:26:00,long,7751.6,1,7752,closed,2024-01-18 09:47:00,7875.28,123.68,1.6
2024-01-15 15:26:00,short,8050.05,1,8050,closed,2024-01-15 15:29:00,8079.95,-29.9,-0.37
2024-01-17 15:26:00,short,8025.75,1,8026,closed,2024-01-17 15:29:00,8040.0,-14.25,-0.18
2024-01-18 15:26:00,short,7934.05,1,7934,closed,2024-01-18 15:29:00,7960.0,-25.95,-0.33
2024-01-24 15:26:00,short,8181.35,1,8181,closed,2024-01-24 15:29:00,8181.0,0.35,0.0
2024-01-25 15:26:00,short,8185.2,1,8185,closed,2024-01-25 15:29:00,8170.0,15.2,0.19
2024-01-29 15:26:00,long,8180.0,1,8180,closed,2024-02-06 15:28:00,8068.94,-111.06,-1.36
2024-01-30 15:26:00,long,8240.0,1,8240,closed,2024-02-06 15:28:00,8068.94,-171.06,-2.08
2024-01-31 15:26:00,long,8259.95,1,8260,closed,2024-02-06 15:28:00,8068.94,-191.01,-2.31
2024-02-07 15:26:00,long,8251.2,1,8251,closed,2024-02-09 15:23:00,8021.71,-229.49,-2.78
2024-02-09 15:26:00,short,8011.0,1,8011,closed,2024-02-09 15:29:00,8025.4,-14.4,-0.18
2024-02-12 15:26:00,long,7701.9,1,7702,closed,2024-02-13 14:25:00,7474.82,-227.08,-2.95
2024-02-13 15:26:00,long,7539.85,1,7540,closed,2024-02-15 09:39:00,7389.46,-150.39,-1.99
2024-02-14 15:26:00,long,7539.6,1,7540,closed,2024-02-15 09:46:00,7372.0,-167.6,-2.22
2024-02-15 15:26:00,long,7349.7,1,7350,closed,2024-02-19 15:03:00,7464.15,114.45,1.56
2024-02-16 15:26:00,long,7565.0,1,7565,closed,2024-02-19 15:03:00,7464.15,-100.85,-1.33
