TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-08 15:26:00,long,9939.65,1,0.0,9939.65,63754,10720,531.28,1072.0
2024-02-14 09:15:00,close,9802.05,1,-137.6,9802.05,0,0,0.0,0.0
2024-02-16 15:26:00,short,9897.25,1,0.0,9897.25,103641,12968,863.68,1296.8
2024-02-16 15:29:00,close,9895.65,1,1.6,9895.65,0,0,0.0,0.0
2024-02-19 15:26:00,long,9908.8,1,0.0,9908.8,33997,9605,283.31,960.5
2024-03-06 11:32:00,close,9674.66,1,-234.14,9674.66,0,0,0.0,0.0
2024-03-07 15:26:00,short,9687.3,1,0.0,9687.3,191037,25642,1591.98,2564.2
2024-03-07 15:29:00,close,9679.55,1,7.75,9679.55,0,0,0.0,0.0
2024-03-11 15:26:00,long,9694.95,1,0.0,9694.95,93133,23109,776.11,2310.9
2024-04-09 15:08:00,close,9763.82,1,68.86,9763.82,0,0,0.0,0.0
2024-04-10 15:26:00,long,9808.95,1,0.0,9808.95,64919,15004,540.99,1500.4
2024-04-16 10:46:00,close,9357.5,1,-451.45,9357.5,0,0,0.0,0.0
2024-04-22 15:26:00,long,9565.0,1,0.0,9565.0,75371,17131,628.09,1713.1
2024-05-07 10:43:00,close,9671.0,1,106.0,9671.0,0,0,0.0,0.0
2024-05-09 15:26:00,short,9433.2,1,0.0,9433.2,122443,23180,1020.36,2318.0
2024-05-09 15:29:00,close,9440.0,1,-6.8,9440.0,0,0,0.0,0.0
2024-05-10 15:26:00,long,9505.0,1,0.0,9505.0,55226,18934,460.22,1893.4
2024-05-30 11:32:00,close,9850.55,1,345.55,9850.55,0,0,0.0,0.0
2024-05-31 15:26:00,short,9900.85,1,0.0,9900.85,339050,114233,2825.42,11423.3
2024-05-31 15:29:00,close,9880.0,1,20.85,9880.0,0,0,0.0,0.0
