TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-04 15:26:00,long,318.2,31,0.0,9864.2,407686,127203,3397.38,12720.3
2024-01-05 15:26:00,short,315.95,28,0.0,8846.6,577901,74523,4815.84,7452.3
2024-01-05 15:29:00,close,316.4,28,-12.6,8859.2,0,0,0.0,0.0
2024-01-08 15:26:00,long,312.6,28,0.0,8752.8,512723,74787,4272.69,7478.7
2024-01-09 15:26:00,long,314.4,25,0.0,7860.0,441056,275045,3675.47,27504.5
2024-01-10 15:26:00,short,322.25,22,0.0,7089.5,1169756,173282,9747.97,17328.2
2024-01-10 15:29:00,close,322.65,22,-8.8,7098.3,0,0,0.0,0.0
2024-01-11 15:26:00,long,325.0,22,0.0,7150.0,2063324,409260,17194.37,40926.0
2024-01-15 15:26:00,short,323.7,20,0.0,6474.0,225600,86093,1880.0,8609.3
2024-01-15 15:29:00,close,324.0,20,-6.0,6480.0,0,0,0.0,0.0
2024-01-16 15:26:00,short,320.25,20,0.0,6405.0,427321,57411,3561.01,5741.1
2024-01-16 15:29:00,close,320.15,20,2.0,6403.0,0,0,0.0,0.0
2024-01-17 15:26:00,short,316.75,20,0.0,6335.0,410793,102308,3423.28,10230.8
2024-01-17 15:29:00,close,316.4,20,7.0,6328.0,0,0,0.0,0.0
2024-01-18 15:26:00,long,308.95,21,0.0,6487.95,415044,73348,3458.7,7334.8
2024-01-19 15:26:00,long,312.0,19,0.0,5928.0,692547,201372,5771.22,20137.2
2024-01-23 15:26:00,short,300.5,17,0.0,5108.5,949936,208750,7916.13,20875.0
2024-01-23 12:22:00,close,304.99,31,-409.4,9454.8,0,0,0.0,0.0
2024-01-23 12:22:00,close,304.99,28,-212.98,8539.82,0,0,0.0,0.0
2024-01-23 12:22:00,close,304.99,25,-235.16,7624.84,0,0,0.0,0.0
2024-01-23 12:22:00,close,304.99,22,-440.14,6709.86,0,0,0.0,0.0
2024-01-23 15:29:00,close,300.95,17,-7.65,5116.15,0,0,0.0,0.0
2024-01-24 15:26:00,short,306.6,28,0.0,8584.8,634571,82487,5288.09,8248.7
2024-01-24 15:29:00,close,306.15,28,12.6,8572.2,0,0,0.0,0.0
2024-01-29 15:26:00,long,301.1,28,0.0,8430.8,418243,77497,3485.36,7749.7
2024-01-30 15:26:00,long,295.35,26,0.0,7679.1,1182824,169125,9856.87,16912.5
2024-01-30 14:54:00,close,293.6,21,-322.33,6165.62,0,0,0.0,0.0
2024-01-30 14:54:00,close,293.6,19,-349.58,5578.42,0,0,0.0,0.0
2024-02-01 15:26:00,short,301.8,27,0.0,8148.6,260227,124750,2168.56,12475.0
2024-02-01 15:29:00,close,301.5,27,8.1,8140.5,0,0,0.0,0.0
2024-02-02 15:26:00,short,304.55,26,0.0,7918.3,318726,61062,2656.05,6106.2
2024-02-02 15:29:00,close,303.7,26,22.1,7896.2,0,0,0.0,0.0
2024-02-05 15:26:00,short,301.65,27,0.0,8144.55,351528,69681,2929.4,6968.1
2024-02-05 15:29:00,close,301.55,27,2.7,8141.85,0,0,0.0,0.0
2024-02-06 15:26:00,long,288.85,28,0.0,8087.8,1045001,187265,8708.34,18726.5
2024-02-06 10:29:00,close,288.21,28,-361.0,8069.8,0,0,0.0,0.0
2024-02-06 10:29:00,close,288.21,26,-185.72,7493.38,0,0,0.0,0.0
2024-02-07 15:26:00,short,288.3,31,0.0,8937.3,219830,69914,1831.92,6991.4
2024-02-07 15:29:00,close,288.5,31,-6.2,8943.5,0,0,0.0,0.0
2024-02-08 15:26:00,short,286.55,31,0.0,8883.05,346272,47396,2885.6,4739.6
2024-02-08 15:29:00,close,287.65,31,-34.1,8917.15,0,0,0.0,0.0
2024-02-09 15:26:00,long,286.9,31,0.0,8893.9,190923,60353,1591.02,6035.3
2024-02-12 15:26:00,long,284.5,28,0.0,7966.0,182194,117032,1518.28,11703.2
2024-02-13 15:26:00,short,285.1,25,0.0,7127.5,382316,72621,3185.97,7262.1
2024-02-13 15:29:00,close,285.8,25,-17.5,7145.0,0,0,0.0,0.0
2024-02-14 15:26:00,long,285.5,25,0.0,7137.5,368517,120195,3070.98,12019.5
2024-02-15 15:26:00,long,283.5,23,0.0,6520.5,568493,114545,4737.44,11454.5
2024-02-19 15:26:00,long,290.25,20,0.0,5805.0,381090,54109,3175.75,5410.9
