TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,270.35,36,0.0,9732.6,2475715,878638,20630.96,87863.8
2024-01-01 15:29:00,close,270.8,36,-16.2,9748.8,0,0,0.0,0.0
2024-01-02 15:26:00,long,269.3,37,0.0,9964.1,1997544,473313,16646.2,47331.3
2024-01-03 15:26:00,long,266.1,33,0.0,8781.3,1696610,576821,14138.42,57682.1
2024-01-08 15:26:00,long,269.3,30,0.0,8079.0,5654456,1293586,47120.47,129358.6
2024-01-08 10:26:00,close,269.05,37,-9.29,9954.81,0,0,0.0,0.0
2024-01-08 10:26:00,close,269.05,33,97.32,8878.62,0,0,0.0,0.0
2024-01-09 15:26:00,short,269.65,34,0.0,9168.1,1791712,324309,14930.93,32430.9
2024-01-09 15:29:00,close,269.5,34,5.1,9163.0,0,0,0.0,0.0
2024-01-10 15:26:00,short,268.75,34,0.0,9137.5,2326052,299589,19383.77,29958.9
2024-01-10 15:29:00,close,269.0,34,-8.5,9146.0,0,0,0.0,0.0
2024-01-11 15:26:00,long,266.1,34,0.0,9047.4,954613,224004,7955.11,22400.4
2024-01-12 15:26:00,short,262.25,31,0.0,8129.75,1096270,424603,9135.58,42460.3
2024-01-12 15:29:00,close,262.3,31,-1.55,8131.3,0,0,0.0,0.0
2024-01-15 15:26:00,short,256.55,32,0.0,8209.6,1186949,418783,9891.24,41878.3
2024-01-15 15:29:00,close,257.0,32,-14.4,8224.0,0,0,0.0,0.0
2024-01-16 15:26:00,short,266.0,31,0.0,8246.0,3815171,477332,31793.09,47733.2
2024-01-16 15:29:00,close,264.25,31,54.25,8191.75,0,0,0.0,0.0
2024-01-17 15:26:00,long,259.5,31,0.0,8044.5,1660486,348598,13837.38,34859.8
2024-01-18 15:26:00,long,254.7,29,0.0,7386.3,1286893,393942,10724.11,39394.2
2024-01-18 09:38:00,close,255.75,30,-406.5,7672.5,0,0,0.0,0.0
2024-01-18 09:38:00,close,255.75,34,-351.9,8695.5,0,0,0.0,0.0
2024-01-19 15:26:00,long,265.0,31,0.0,8215.0,2141125,490940,17842.71,49094.0
2024-01-20 15:26:00,long,271.05,27,0.0,7318.35,1915147,448095,15959.56,44809.5
2024-01-23 15:26:00,short,258.5,26,0.0,6721.0,2954324,463200,24619.37,46320.0
2024-01-23 15:29:00,close,260.0,26,-39.0,6760.0,0,0,0.0,0.0
2024-01-25 15:26:00,short,281.8,24,0.0,6763.2,3280773,746710,27339.78,74671.0
2024-01-25 15:29:00,close,281.9,24,-2.4,6765.6,0,0,0.0,0.0
2024-01-29 15:26:00,long,283.95,24,0.0,6814.8,2061628,504217,17180.23,50421.7
2024-01-30 15:26:00,long,286.0,21,0.0,6006.0,2067723,431086,17231.03,43108.6
2024-01-31 15:26:00,short,289.0,19,0.0,5491.0,1310487,386064,10920.72,38606.4
2024-01-31 15:29:00,close,289.8,19,-15.2,5506.2,0,0,0.0,0.0
2024-02-01 15:26:00,short,292.25,18,0.0,5260.5,2773909,597276,23115.91,59727.6
2024-02-01 15:29:00,close,292.0,18,4.5,5256.0,0,0,0.0,0.0
2024-02-06 15:26:00,short,297.4,18,0.0,5353.2,2078771,306327,17323.09,30632.7
2024-02-06 15:29:00,close,298.05,18,-11.7,5364.9,0,0,0.0,0.0
2024-02-07 15:26:00,short,295.5,18,0.0,5319.0,609266,311556,5077.22,31155.6
2024-02-07 15:29:00,close,297.0,18,-27.0,5346.0,0,0,0.0,0.0
2024-02-08 15:26:00,short,289.0,19,0.0,5491.0,963062,518048,8025.52,51804.8
2024-02-08 15:29:00,close,289.0,19,0.0,5491.0,0,0,0.0,0.0
2024-02-09 15:26:00,short,270.0,20,0.0,5400.0,2563744,541076,21364.53,54107.6
2024-02-09 09:18:00,close,285.37,31,801.99,8846.49,0,0,0.0,0.0
2024-02-09 09:18:00,close,285.37,29,889.44,8275.74,0,0,0.0,0.0
2024-02-09 09:18:00,close,285.37,31,631.49,8846.49,0,0,0.0,0.0
2024-02-09 09:18:00,close,285.37,27,386.65,7705.0,0,0,0.0,0.0
2024-02-09 09:18:00,close,285.37,24,34.09,6848.89,0,0,0.0,0.0
2024-02-09 09:18:00,close,285.37,21,-13.22,5992.78,0,0,0.0,0.0
2024-02-09 15:29:00,close,270.5,20,-10.0,5410.0,0,0,0.0,0.0
2024-02-12 15:26:00,short,239.7,42,0.0,10067.4,3476569,1022085,28971.41,102208.5
2024-02-12 15:29:00,close,238.8,42,37.8,10029.6,0,0,0.0,0.0
2024-02-13 15:26:00,long,252.4,40,0.0,10096.0,3342968,689385,27858.07,68938.5
2024-02-14 15:26:00,long,259.45,35,0.0,9080.75,3984518,792798,33204.32,79279.8
2024-02-15 15:26:00,long,257.0,32,0.0,8224.0,1181316,439335,9844.3,43933.5
2024-02-16 15:26:00,short,257.85,28,0.0,7219.8,421806,227986,3515.05,22798.6
2024-02-16 15:29:00,close,258.6,28,-21.0,7240.8,0,0,0.0,0.0
2024-02-19 15:26:00,short,254.95,29,0.0,7393.55,1076392,206899,8969.93,20689.9
2024-02-19 15:29:00,close,255.0,29,-1.45,7395.0,0,0,0.0,0.0
2024-02-20 15:26:00,short,249.75,29,0.0,7242.75,1032805,272024,8606.71,27202.4
2024-02-20 15:29:00,close,250.0,29,-7.25,7250.0,0,0,0.0,0.0
2024-02-21 15:26:00,long,247.1,30,0.0,7413.0,2735987,397643,22799.89,39764.3
2024-02-21 14:45:00,close,245.98,40,-256.6,9839.4,0,0,0.0,0.0
2024-02-21 14:45:00,close,245.98,35,-471.27,8609.48,0,0,0.0,0.0
2024-02-21 14:47:00,close,245.43,32,-370.34,7853.66,0,0,0.0,0.0
2024-02-22 15:26:00,long,262.85,35,0.0,9199.75,6581824,1077822,54848.53,107782.2
2024-02-23 15:26:00,long,263.25,32,0.0,8424.0,1059765,344171,8831.38,34417.1
2024-02-26 15:26:00,long,262.6,28,0.0,7352.8,933033,229760,7775.28,22976.0
2024-02-27 15:26:00,long,253.45,27,0.0,6843.15,2577998,421202,21483.32,42120.2
2024-02-29 15:26:00,long,270.0,22,0.0,5940.0,5789193,1848744,48243.28,184874.4
2024-03-01 15:26:00,long,272.65,20,0.0,5453.0,1338655,344144,11155.46,34414.4
2024-03-05 15:26:00,long,285.6,17,0.0,4855.2,974929,279777,8124.41,27977.7
2024-03-06 15:26:00,long,280.7,16,0.0,4491.2,1519543,231084,12662.86,23108.4
2024-03-07 15:26:00,short,279.55,14,0.0,3913.7,1253231,245001,10443.59,24500.1
2024-03-07 15:29:00,close,280.15,14,-8.4,3922.1,0,0,0.0,0.0
2024-03-11 15:26:00,short,267.6,15,0.0,4014.0,1113154,376141,9276.28,37614.1
2024-03-11 15:12:00,close,269.7,30,678.0,8091.0,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,35,239.75,9439.5,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,32,206.4,8630.4,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,28,198.8,7551.6,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,27,438.75,7281.9,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,22,-6.6,5933.4,0,0,0.0,0.0
2024-03-11 15:12:00,close,269.7,20,-59.0,5394.0,0,0,0.0,0.0
2024-03-11 15:29:00,close,268.05,15,-6.75,4020.75,0,0,0.0,0.0
2024-03-12 15:26:00,long,255.85,36,0.0,9210.6,1256543,323885,10471.19,32388.5
2024-03-12 09:15:00,close,266.44,17,-325.64,4529.56,0,0,0.0,0.0
2024-03-12 09:15:00,close,265.98,16,-235.52,4255.68,0,0,0.0,0.0
2024-03-13 12:15:00,close,240.68,36,-545.98,8664.62,0,0,0.0,0.0
2024-03-14 15:26:00,short,262.55,38,0.0,9976.9,5064248,1240025,42202.07,124002.5
2024-03-14 15:29:00,close,262.8,38,-9.5,9986.4,0,0,0.0,0.0
2024-03-15 15:26:00,short,270.9,37,0.0,10023.3,13733180,4623770,114443.17,462377.0
2024-03-15 15:29:00,close,269.6,37,48.1,9975.2,0,0,0.0,0.0
2024-03-18 15:26:00,long,269.75,37,0.0,9980.75,1640742,588937,13672.85,58893.7
2024-03-19 15:26:00,short,260.4,35,0.0,9114.0,1520726,326259,12672.72,32625.9
2024-03-19 15:29:00,close,260.05,35,12.25,9101.75,0,0,0.0,0.0
2024-03-20 15:26:00,short,255.8,35,0.0,8953.0,1505002,404376,12541.68,40437.6
2024-03-20 09:55:00,close,253.75,37,-591.98,9388.77,0,0,0.0,0.0
2024-03-20 15:29:00,close,255.0,35,28.0,8925.0,0,0,0.0,0.0
2024-03-21 15:26:00,long,274.1,36,0.0,9867.6,4331680,1127320,36097.33,112732.0
2024-03-22 15:26:00,short,268.55,33,0.0,8862.15,2381772,641220,19848.1,64122.0
2024-03-22 15:29:00,close,268.9,33,-11.55,8873.7,0,0,0.0,0.0
2024-03-26 15:26:00,short,281.8,32,0.0,9017.6,11857409,1665059,98811.74,166505.9
2024-03-26 15:29:00,close,282.0,32,-6.4,9024.0,0,0,0.0,0.0
2024-03-27 15:26:00,short,285.25,31,0.0,8842.75,3671243,820551,30593.69,82055.1
2024-03-27 15:29:00,close,286.6,31,-41.85,8884.6,0,0,0.0,0.0
2024-03-28 15:26:00,short,274.3,33,0.0,9051.9,5693521,1638792,47446.01,163879.2
2024-03-28 15:29:00,close,275.95,33,-54.45,9106.35,0,0,0.0,0.0
2024-04-01 15:26:00,short,308.8,29,0.0,8955.2,11792271,1835145,98268.92,183514.5
2024-04-01 15:29:00,close,308.8,29,0.0,8955.2,0,0,0.0,0.0
2024-04-02 15:26:00,long,308.8,29,0.0,8955.2,4853848,955297,40448.73,95529.7
2024-04-03 15:26:00,short,311.55,26,0.0,8100.3,2811037,369584,23425.31,36958.4
2024-04-03 15:29:00,close,311.25,26,7.8,8092.5,0,0,0.0,0.0
2024-04-04 15:26:00,long,314.05,26,0.0,8165.3,1658896,554433,13824.13,55443.3
2024-04-05 15:26:00,long,322.25,22,0.0,7089.5,3299832,872210,27498.6,87221.0
2024-04-08 15:26:00,short,330.65,20,0.0,6613.0,6351231,980587,52926.92,98058.7
2024-04-08 15:29:00,close,330.7,20,-1.0,6614.0,0,0,0.0,0.0
2024-04-09 15:26:00,short,358.0,18,0.0,6444.0,9536083,1725934,79467.36,172593.4
2024-04-09 15:29:00,close,357.0,18,18.0,6426.0,0,0,0.0,0.0
2024-04-10 15:26:00,long,358.0,18,0.0,6444.0,4231386,694479,35261.55,69447.9
2024-04-15 15:26:00,long,354.7,17,0.0,6029.9,2775856,533304,23132.13,53330.4
2024-04-15 09:21:00,close,350.61,36,2754.36,12621.96,0,0,0.0,0.0
2024-04-15 09:21:00,close,350.61,29,1212.49,10167.69,0,0,0.0,0.0
2024-04-15 09:21:00,close,350.61,26,950.56,9115.86,0,0,0.0,0.0
2024-04-15 09:21:00,close,350.61,22,623.92,7713.42,0,0,0.0,0.0
2024-04-15 09:21:00,close,350.61,18,-133.02,6310.98,0,0,0.0,0.0
2024-04-16 15:26:00,short,356.8,28,0.0,9990.4,1908734,425391,15906.12,42539.1
2024-04-16 15:29:00,close,357.45,28,-18.2,10008.6,0,0,0.0,0.0
2024-04-19 15:26:00,long,364.65,27,0.0,9845.55,5572280,771629,46435.67,77162.9
2024-04-22 15:26:00,long,379.65,23,0.0,8731.95,3582787,1261611,29856.56,126161.1
2024-04-23 15:26:00,short,371.25,21,0.0,7796.25,1618464,541573,13487.2,54157.3
2024-04-23 15:29:00,close,373.2,21,-40.95,7837.2,0,0,0.0,0.0
2024-04-24 15:26:00,long,381.8,21,0.0,8017.8,2544928,861058,21207.73,86105.8
2024-04-25 15:26:00,short,381.5,19,0.0,7248.5,4663568,1192235,38863.07,119223.5
2024-04-25 15:29:00,close,381.5,19,0.0,7248.5,0,0,0.0,0.0
2024-04-26 15:26:00,short,391.4,18,0.0,7045.2,3410948,741361,28424.57,74136.1
2024-04-26 15:29:00,close,392.1,18,-12.6,7057.8,0,0,0.0,0.0
2024-04-29 15:26:00,long,389.9,18,0.0,7018.2,2097627,652846,17480.22,65284.6
2024-04-30 15:26:00,long,386.95,17,0.0,6578.15,1775287,397864,14794.06,39786.4
2024-05-02 15:26:00,long,392.2,15,0.0,5883.0,1987874,622862,16565.62,62286.2
2024-05-03 15:26:00,long,389.55,13,0.0,5064.15,3267009,1309902,27225.08,130990.2
2024-05-06 15:26:00,long,378.4,12,0.0,4540.8,2787053,517895,23225.44,51789.5
2024-05-06 09:59:00,close,373.53,17,320.19,6350.09,0,0,0.0,0.0
2024-05-06 09:59:00,close,373.53,27,239.88,10085.43,0,0,0.0,0.0
2024-05-06 09:59:00,close,373.53,23,-140.66,8591.29,0,0,0.0,0.0
2024-05-06 09:59:00,close,373.53,21,-173.58,7844.22,0,0,0.0,0.0
2024-05-07 15:26:00,long,366.7,21,0.0,7700.7,2148643,478299,17905.36,47829.9
2024-05-07 11:23:00,close,369.58,18,-365.72,6652.48,0,0,0.0,0.0
2024-05-07 12:36:00,close,367.35,17,-333.2,6244.95,0,0,0.0,0.0
2024-05-07 12:38:00,close,365.82,15,-395.77,5487.23,0,0,0.0,0.0
2024-05-07 12:38:00,close,365.02,13,-318.83,4745.32,0,0,0.0,0.0
2024-05-08 15:26:00,short,369.85,25,0.0,9246.25,1246553,172719,10387.94,17271.9
2024-05-08 15:29:00,close,370.3,25,-11.25,9257.5,0,0,0.0,0.0
2024-05-09 15:26:00,long,358.05,25,0.0,8951.25,1628230,631434,13568.58,63143.4
2024-05-10 15:26:00,long,374.05,22,0.0,8229.1,4271752,1014605,35597.93,101460.5
2024-05-15 15:26:00,short,382.6,19,0.0,7269.4,2376336,383368,19802.8,38336.8
2024-05-15 15:29:00,close,382.8,19,-3.8,7273.2,0,0,0.0,0.0
2024-05-16 15:26:00,long,378.3,19,0.0,7187.7,2211526,347205,18429.38,34720.5
2024-05-21 15:26:00,long,400.9,17,0.0,6815.3,9200271,2321976,76668.92,232197.6
2024-05-22 15:26:00,long,384.7,16,0.0,6155.2,8218124,2371779,68484.37,237177.9
2024-05-22 13:16:00,close,386.69,12,99.53,4640.33,0,0,0.0,0.0
2024-05-22 13:16:00,close,386.69,21,419.87,8120.57,0,0,0.0,0.0
2024-05-22 13:16:00,close,386.69,25,716.1,9667.35,0,0,0.0,0.0
2024-05-22 13:16:00,close,386.69,22,278.17,8507.27,0,0,0.0,0.0
2024-05-22 13:16:00,close,386.69,19,159.49,7347.19,0,0,0.0,0.0
2024-05-22 13:16:00,close,386.69,17,-241.5,6573.8,0,0,0.0,0.0
2024-05-23 15:26:00,long,374.6,26,0.0,9739.6,1938681,384129,16155.68,38412.9
2024-05-24 15:26:00,short,370.8,24,0.0,8899.2,1924293,365875,16035.78,36587.5
2024-05-24 15:29:00,close,371.0,24,-4.8,8904.0,0,0,0.0,0.0
2024-05-27 15:26:00,long,369.25,24,0.0,8862.0,2706333,358264,22552.78,35826.4
2024-05-28 15:26:00,short,372.8,21,0.0,7828.8,1945804,338967,16215.03,33896.7
2024-05-28 15:29:00,close,373.0,21,-4.2,7833.0,0,0,0.0,0.0
2024-05-29 15:26:00,long,377.8,21,0.0,7933.8,2381989,468451,19849.91,46845.1
2024-05-30 15:26:00,long,356.6,20,0.0,7132.0,7116279,2259119,59302.32,225911.9
2024-05-30 14:32:00,close,358.05,16,-426.4,5728.8,0,0,0.0,0.0
2024-05-30 14:45:00,close,355.17,26,-505.26,9234.34,0,0,0.0,0.0
2024-05-30 15:11:00,close,354.33,24,-358.08,8503.92,0,0,0.0,0.0
2024-05-31 15:26:00,short,355.85,25,0.0,8896.25,4981682,1005953,41514.02,100595.3
2024-05-31 15:29:00,close,356.5,25,-16.25,8912.5,0,0,0.0,0.0
2024-06-03 15:26:00,long,370.55,24,0.0,8893.2,2814210,400041,23451.75,40004.1
2024-06-04 09:15:00,close,351.45,21,-553.41,7380.39,0,0,0.0,0.0
2024-06-04 09:15:00,close,350.61,20,-119.8,7012.2,0,0,0.0,0.0
2024-06-04 09:27:00,close,345.91,24,-591.28,8301.92,0,0,0.0,0.0
2024-06-06 15:26:00,long,337.95,30,0.0,10138.5,2414315,464877,20119.29,46487.7
2024-06-10 15:26:00,short,336.15,27,0.0,9076.05,1279361,181153,10661.34,18115.3
2024-06-10 15:29:00,close,336.5,27,-9.45,9085.5,0,0,0.0,0.0
2024-06-11 15:26:00,short,328.9,28,0.0,9209.2,4263336,692314,35527.8,69231.4
2024-06-11 15:29:00,close,329.5,28,-16.8,9226.0,0,0,0.0,0.0
2024-06-12 15:26:00,short,335.5,27,0.0,9058.5,1023422,219539,8528.52,21953.9
2024-06-12 15:29:00,close,335.0,27,13.5,9045.0,0,0,0.0,0.0
2024-06-13 15:26:00,short,336.0,27,0.0,9072.0,1170416,231258,9753.47,23125.8
2024-06-13 15:29:00,close,335.85,27,4.05,9067.95,0,0,0.0,0.0
2024-06-18 15:26:00,short,332.85,28,0.0,9319.8,888411,195074,7403.42,19507.4
2024-06-18 15:29:00,close,332.55,28,8.4,9311.4,0,0,0.0,0.0
2024-06-19 15:26:00,short,326.2,28,0.0,9133.6,1269798,286265,10581.65,28626.5
2024-06-19 15:29:00,close,327.0,28,-22.4,9156.0,0,0,0.0,0.0
2024-06-20 15:26:00,long,333.75,28,0.0,9345.0,842202,182537,7018.35,18253.7
2024-06-21 15:26:00,long,331.3,25,0.0,8282.5,973972,183655,8116.43,18365.5
2024-06-24 15:26:00,long,332.0,22,0.0,7304.0,1635098,218772,13625.82,21877.2
2024-06-25 15:26:00,long,329.9,20,0.0,6598.0,1516569,538375,12638.08,53837.5
2024-06-26 15:26:00,short,322.6,19,0.0,6129.4,1909936,462156,15916.13,46215.6
2024-06-26 15:29:00,close,323.0,19,-7.6,6137.0,0,0,0.0,0.0
2024-06-27 15:26:00,long,320.0,19,0.0,6080.0,2366068,676249,19717.23,67624.9
2024-06-27 10:35:00,close,321.13,30,-504.63,9633.87,0,0,0.0,0.0
2024-06-27 11:19:00,close,319.73,28,-392.45,8952.55,0,0,0.0,0.0
2024-06-27 11:19:00,close,319.73,25,-289.15,7993.35,0,0,0.0,0.0
2024-06-27 11:19:00,close,319.73,22,-269.85,7034.15,0,0,0.0,0.0
