EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,long,978.8,10,9788,closed,2024-01-23 10:04:00,993.47,146.73,1.5
2024-01-03 15:26:00,long,986.0,9,8874,closed,2024-01-23 10:04:00,993.47,67.25,0.76
2024-01-04 15:26:00,short,1014.75,8,8118,closed,2024-01-04 15:29:00,1015.0,-2.0,-0.02
2024-01-08 15:26:00,short,986.9,8,7895,closed,2024-01-08 15:29:00,988.0,-8.8,-0.11
2024-01-10 15:26:00,long,1012.7,8,8102,closed,2024-01-23 10:04:00,993.47,-153.82,-1.9
2024-01-11 15:26:00,short,1055.0,6,6330,closed,2024-01-11 15:29:00,1055.2,-1.2,-0.02
2024-01-12 15:26:00,long,1058.1,6,6349,closed,2024-01-23 10:04:00,993.47,-387.76,-6.11
2024-01-15 15:26:00,short,1059.75,6,6358,closed,2024-01-15 15:29:00,1059.0,4.5,0.07
2024-01-16 15:26:00,short,1050.75,6,6304,closed,2024-01-16 15:29:00,1051.0,-1.5,-0.02
2024-01-18 15:26:00,short,1034.85,6,6209,closed,2024-01-18 15:29:00,1032.85,12.0,0.19
2024-01-19 15:26:00,long,1050.2,6,6301,closed,2024-02-05 15:15:00,1023.93,-157.62,-2.5
2024-01-20 15:26:00,long,1026.2,5,5131,closed,2024-02-05 15:15:00,1023.93,-11.35,-0.22
2024-01-25 15:26:00,short,1005.5,8,8044,closed,2024-01-25 15:29:00,1005.0,4.0,0.05
2024-01-29 15:26:00,long,1039.95,8,8320,closed,2024-02-05 15:15:00,1023.93,-128.16,-1.54
2024-01-30 15:26:00,long,1019.75,7,7138,closed,2024-02-05 15:15:00,1023.93,29.26,0.41
2024-01-31 15:26:00,short,1089.95,6,6540,closed,2024-01-31 15:29:00,1089.0,5.7,0.09
2024-02-01 15:26:00,long,1048.95,6,6294,closed,2024-03-06 09:57:00,1054.16,31.23,0.5
2024-02-02 15:26:00,short,1056.15,6,6337,closed,2024-02-02 15:29:00,1059.0,-17.1,-0.27
2024-02-05 15:26:00,short,1020.65,6,6124,closed,2024-02-05 15:29:00,1020.0,3.9,0.06
2024-02-06 15:26:00,long,1028.95,9,9261,closed,2024-03-06 09:57:00,1054.16,226.84,2.45
2024-02-08 15:26:00,long,1065.05,7,7455,closed,2024-03-06 09:57:00,1054.16,-76.26,-1.02
2024-02-09 15:26:00,long,1060.45,7,7423,closed,2024-03-06 09:57:00,1054.16,-44.07,-0.59
2024-02-12 15:26:00,long,1078.5,6,6471,closed,2024-03-06 09:57:00,1054.16,-146.07,-2.26
2024-02-13 15:26:00,long,1105.0,5,5525,closed,2024-03-06 09:57:00,1054.16,-254.23,-4.6
2024-02-14 15:26:00,long,1086.0,5,5430,closed,2024-03-06 09:57:00,1054.16,-159.23,-2.93
2024-02-15 15:26:00,long,1087.95,4,4352,closed,2024-03-06 09:57:00,1054.16,-135.18,-3.11
2024-02-16 15:26:00,short,1073.75,4,4295,closed,2024-02-16 15:29:00,1076.5,-11.0,-0.26
