EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 15:26:00,long,9939.65,1,9940,closed,2024-01-09 10:58:00,9916.78,-22.87,-0.23
2024-01-10 15:26:00,long,9790.8,1,9791,closed,2024-01-11 09:57:00,9750.51,-40.29,-0.41
2024-01-12 15:26:00,long,9824.45,1,9824,closed,2024-01-16 09:36:00,9897.38,72.93,0.74
2024-01-17 15:26:00,long,9859.2,1,9859,closed,2024-01-18 09:47:00,9833.72,-25.48,-0.26
2024-01-24 15:26:00,long,9994.65,1,9995,closed,2024-01-25 10:23:00,9947.72,-46.93,-0.47
2024-01-30 15:26:00,long,9955.6,1,9956,closed,2024-02-01 09:25:00,10130.92,175.32,1.76
2024-02-05 15:26:00,short,9914.95,1,9915,closed,2024-02-05 15:29:00,9914.85,0.1,0.0
2024-02-12 15:26:00,long,9966.6,1,9967,closed,2024-02-13 09:16:00,9904.65,-61.95,-0.62
2024-02-19 15:26:00,long,9908.8,1,9909,closed,2024-02-20 10:03:00,9878.17,-30.63,-0.31
2024-02-21 15:26:00,short,9964.35,1,9964,closed,2024-02-21 15:29:00,9960.0,4.35,0.04
2024-02-22 15:26:00,short,9967.65,1,9968,closed,2024-02-22 15:29:00,9964.0,3.65,0.04
2024-02-23 15:26:00,short,9998.0,1,9998,closed,2024-02-23 15:29:00,10023.0,-25.0,-0.25
2024-02-26 15:26:00,long,9931.95,1,9932,closed,2024-02-27 09:15:00,9930.05,-1.9,-0.02
2024-02-29 15:26:00,long,9929.0,1,9929,closed,2024-03-04 09:34:00,10082.01,153.01,1.54
2024-03-05 15:26:00,long,9855.2,1,9855,closed,2024-03-06 09:22:00,9815.11,-40.09,-0.41
2024-03-11 15:26:00,long,9694.95,1,9695,closed,2024-03-12 09:29:00,9631.66,-63.29,-0.65
2024-03-13 15:26:00,short,9543.75,1,9544,closed,2024-03-13 15:29:00,9529.0,14.75,0.15
2024-03-14 15:26:00,long,9704.15,1,9704,closed,2024-03-15 10:58:00,9653.39,-50.76,-0.52
2024-03-18 15:26:00,short,9604.25,1,9604,closed,2024-03-18 15:29:00,9600.05,4.2,0.04
2024-03-19 15:26:00,long,9456.3,1,9456,closed,2024-03-22 15:21:00,9654.28,197.98,2.09
2024-03-26 15:26:00,long,9599.05,1,9599,closed,2024-03-27 15:00:00,9610.92,11.87,0.12
2024-04-03 15:26:00,long,10004.3,1,10004,closed,2024-04-04 09:44:00,9978.11,-26.19,-0.26
2024-04-05 15:26:00,long,9827.0,1,9827,closed,2024-04-09 12:41:00,9893.86,66.86,0.68
2024-04-10 15:26:00,long,9808.95,1,9809,closed,2024-04-12 09:44:00,9713.88,-95.07,-0.97
2024-04-15 15:26:00,short,9511.85,1,9512,closed,2024-04-15 15:29:00,9500.5,11.35,0.12
2024-04-22 15:26:00,long,9565.0,1,9565,closed,2024-04-23 10:44:00,9528.75,-36.25,-0.38
2024-04-24 15:26:00,short,9665.25,1,9665,closed,2024-04-24 15:29:00,9675.0,-9.75,-0.1
2024-04-26 15:26:00,short,9707.95,1,9708,closed,2024-04-26 15:29:00,9700.05,7.9,0.08
2024-04-29 15:26:00,long,9962.15,1,9962,closed,2024-04-30 09:15:00,10078.2,116.05,1.16
2024-05-02 15:26:00,long,9995.95,1,9996,closed,2024-05-03 11:00:00,9929.7,-66.25,-0.66
2024-05-07 15:26:00,short,9678.0,1,9678,closed,2024-05-07 15:29:00,9757.81,-79.81,-0.82
2024-05-09 15:26:00,short,9433.2,1,9433,closed,2024-05-09 15:29:00,9440.0,-6.8,-0.07
2024-05-10 15:26:00,long,9505.0,1,9505,closed,2024-05-13 09:32:00,9449.55,-55.45,-0.58
2024-05-14 15:26:00,short,9634.1,1,9634,closed,2024-05-14 15:29:00,9660.0,-25.9,-0.27
2024-05-15 15:26:00,long,9620.0,1,9620,closed,2024-05-16 09:39:00,9558.45,-61.55,-0.64
2024-05-17 15:26:00,short,9891.75,1,9892,closed,2024-05-17 15:29:00,9895.25,-3.5,-0.04
2024-05-22 15:26:00,long,9895.1,1,9895,closed,2024-05-24 14:31:00,10265.31,370.21,3.74
2024-05-29 15:26:00,short,10022.4,1,10022,closed,2024-05-29 15:29:00,10031.0,-8.6,-0.09
2024-05-30 15:26:00,short,9836.75,1,9837,closed,2024-05-30 15:29:00,9879.95,-43.2,-0.44
2024-05-31 15:26:00,short,9900.85,1,9901,closed,2024-05-31 15:29:00,9880.0,20.85,0.21
2024-06-05 15:26:00,short,10012.9,1,10013,closed,2024-06-05 15:29:00,10016.0,-3.1,-0.03
