EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-03 15:26:00,long,710.05,14,9941,closed,2024-01-12 09:21:00,699.08,-153.59,-1.55
2024-01-04 15:26:00,short,708.75,12,8505,closed,2024-01-04 15:29:00,708.0,9.0,0.11
2024-01-05 15:26:00,long,714.0,12,8568,closed,2024-01-12 09:21:00,699.08,-179.05,-2.09
2024-01-08 15:26:00,long,710.4,11,7814,closed,2024-01-12 09:41:00,697.43,-142.67,-1.83
2024-01-11 15:26:00,long,704.8,10,7048,closed,2024-01-16 13:09:00,702.72,-20.83,-0.3
2024-01-12 15:26:00,long,705.95,9,6354,closed,2024-01-16 13:09:00,702.72,-29.1,-0.46
2024-01-15 15:26:00,long,718.2,11,7900,closed,2024-01-18 09:37:00,696.65,-237.01,-3.0
2024-01-17 15:26:00,short,709.4,12,8513,closed,2024-01-17 15:29:00,711.0,-19.2,-0.23
2024-01-18 15:26:00,short,709.05,12,8509,closed,2024-01-18 15:29:00,710.4,-16.2,-0.19
2024-01-19 15:26:00,short,719.5,13,9354,closed,2024-01-19 15:29:00,721.0,-19.5,-0.21
2024-01-20 15:26:00,short,702.05,14,9829,closed,2024-01-20 15:29:00,707.9,-81.9,-0.83
2024-01-24 15:26:00,long,753.15,13,9791,closed,2024-02-05 13:21:00,754.61,19.0,0.19
2024-01-25 15:26:00,long,737.55,12,8851,closed,2024-02-05 13:21:00,754.61,204.74,2.31
2024-01-29 15:26:00,short,748.95,10,7490,closed,2024-01-29 15:29:00,749.0,-0.5,-0.01
2024-01-30 15:26:00,long,755.6,10,7556,closed,2024-02-05 13:21:00,754.61,-9.89,-0.13
2024-01-31 15:26:00,long,761.05,9,6849,closed,2024-02-05 13:21:00,754.61,-57.95,-0.85
2024-02-01 15:26:00,long,760.15,8,6081,closed,2024-02-05 13:21:00,754.61,-44.31,-0.73
2024-02-02 15:26:00,long,763.15,7,5342,closed,2024-02-05 13:21:00,754.61,-59.77,-1.12
