EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-03 15:26:00,long,2503.6,3,7511,closed,2024-01-08 15:11:00,2396.76,-320.53,-4.27
2024-01-04 15:26:00,long,2506.3,3,7519,closed,2024-01-08 15:11:00,2396.76,-328.64,-4.37
2024-01-12 15:26:00,short,2339.9,4,9360,closed,2024-01-12 15:29:00,2342.0,-8.4,-0.09
2024-01-15 15:26:00,long,2349.35,4,9397,closed,2024-01-23 11:20:00,2249.98,-397.48,-4.23
2024-01-20 15:26:00,short,2290.0,3,6870,closed,2024-01-20 15:29:00,2290.5,-1.5,-0.02
2024-01-24 15:26:00,long,2290.0,4,9160,closed,2024-03-14 09:15:00,2366.45,305.8,3.34
2024-01-25 15:26:00,short,2271.75,3,6815,closed,2024-01-25 15:29:00,2268.95,8.4,0.12
2024-01-30 15:26:00,short,2216.05,4,8864,closed,2024-01-30 15:29:00,2227.75,-46.8,-0.53
2024-01-31 15:26:00,short,2323.9,3,6972,closed,2024-01-31 15:29:00,2319.85,12.15,0.17
2024-02-01 15:26:00,short,2309.4,3,6928,closed,2024-02-01 15:29:00,2306.7,8.1,0.12
2024-02-05 15:26:00,short,2245.7,3,6737,closed,2024-02-05 15:29:00,2250.0,-12.9,-0.19
2024-02-06 15:26:00,long,2284.0,3,6852,closed,2024-03-14 09:15:00,2366.45,247.35,3.61
2024-02-07 15:26:00,short,2292.05,3,6876,closed,2024-02-07 15:29:00,2293.6,-4.65,-0.07
2024-02-09 15:26:00,long,2298.8,3,6896,closed,2024-03-14 09:15:00,2366.45,202.95,2.94
2024-02-12 15:26:00,long,2282.5,3,6848,closed,2024-03-14 09:15:00,2366.45,251.85,3.68
2024-02-15 15:26:00,short,2351.7,2,4703,closed,2024-02-15 15:29:00,2350.9,1.6,0.03
2024-02-19 15:26:00,short,2347.5,2,4695,closed,2024-02-19 15:29:00,2345.15,4.7,0.1
2024-02-22 15:26:00,long,2411.2,2,4822,closed,2024-03-14 09:15:00,2366.45,-89.5,-1.86
2024-02-23 15:26:00,long,2385.5,2,4771,closed,2024-03-14 09:15:00,2366.45,-38.1,-0.8
2024-02-26 15:26:00,short,2400.0,2,4800,closed,2024-02-26 15:29:00,2402.5,-5.0,-0.1
2024-02-27 15:26:00,long,2397.05,2,4794,closed,2024-03-14 09:15:00,2366.45,-61.2,-1.28
2024-02-29 15:26:00,long,2393.65,2,4787,closed,2024-03-14 09:15:00,2366.45,-54.4,-1.14
2024-03-04 15:26:00,short,2376.95,2,4754,closed,2024-03-04 15:29:00,2376.0,1.9,0.04
