TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,short,230.1,43,0.0,9894.3,2808170,634070,23401.42,63407.0
2024-01-02 15:29:00,close,230.3,43,-8.6,9902.9,0,0,0.0,0.0
2024-01-03 15:26:00,short,223.3,44,0.0,9825.2,4617528,1289374,38479.4,128937.4
2024-01-03 15:29:00,close,223.55,44,-11.0,9836.2,0,0,0.0,0.0
2024-01-04 15:26:00,long,221.7,45,0.0,9976.5,4209798,1141510,35081.65,114151.0
2024-01-05 15:26:00,long,223.75,40,0.0,8950.0,4665286,826542,38877.38,82654.2
2024-01-09 15:26:00,long,221.4,36,0.0,7970.4,2946000,701390,24550.0,70139.0
2024-01-10 15:26:00,long,222.95,32,0.0,7134.4,2037918,708782,16982.65,70878.2
2024-01-11 15:26:00,long,219.55,30,0.0,6586.5,2950072,612484,24583.93,61248.4
2024-01-12 15:26:00,short,228.2,26,0.0,5933.2,5725350,1575372,47711.25,157537.2
2024-01-12 15:29:00,close,228.6,26,-10.4,5943.6,0,0,0.0,0.0
2024-01-15 15:26:00,long,242.9,24,0.0,5829.6,13568914,4418854,113074.28,441885.4
2024-01-15 09:47:00,close,246.38,45,1110.71,11087.21,0,0,0.0,0.0
2024-01-15 09:47:00,close,246.38,40,905.3,9855.3,0,0,0.0,0.0
2024-01-15 09:47:00,close,246.38,36,899.37,8869.77,0,0,0.0,0.0
2024-01-15 09:47:00,close,246.38,32,749.84,7884.24,0,0,0.0,0.0
2024-01-15 09:47:00,close,246.38,30,804.98,7391.48,0,0,0.0,0.0
2024-01-18 15:26:00,short,236.75,41,0.0,9706.75,3525884,877838,29382.37,87783.8
2024-01-18 09:32:00,close,230.76,24,-291.48,5538.12,0,0,0.0,0.0
2024-01-18 15:29:00,close,236.3,41,18.45,9688.3,0,0,0.0,0.0
2024-01-19 15:26:00,long,237.7,43,0.0,10221.1,3378808,636818,28156.73,63681.8
2024-01-20 15:26:00,long,234.25,40,0.0,9370.0,1930752,371372,16089.6,37137.2
2024-01-23 15:26:00,long,231.15,36,0.0,8321.4,5070590,855192,42254.92,85519.2
2024-01-25 15:26:00,long,230.5,33,0.0,7606.5,3313382,1291506,27611.52,129150.6
2024-01-29 15:26:00,long,232.2,29,0.0,6733.8,2091598,560752,17429.98,56075.2
2024-01-30 15:26:00,long,231.8,26,0.0,6026.8,3053406,517068,25445.05,51706.8
2024-01-31 15:26:00,short,234.25,23,0.0,5387.75,3419816,1063780,28498.47,106378.0
2024-01-31 15:29:00,close,234.0,23,5.75,5382.0,0,0,0.0,0.0
2024-02-01 15:26:00,short,231.0,24,0.0,5544.0,1913604,541876,15946.7,54187.6
2024-02-01 15:29:00,close,231.1,24,-2.4,5546.4,0,0,0.0,0.0
2024-02-02 15:26:00,long,237.25,23,0.0,5456.75,3790252,1037018,31585.43,103701.8
2024-02-06 15:26:00,long,245.2,20,0.0,4904.0,5984850,1128030,49873.75,112803.0
2024-02-07 15:26:00,long,243.1,18,0.0,4375.8,1964798,750764,16373.32,75076.4
2024-02-08 15:26:00,short,239.85,17,0.0,4077.45,2927690,753170,24397.42,75317.0
2024-02-08 15:29:00,close,239.75,17,1.7,4075.75,0,0,0.0,0.0
2024-02-09 15:26:00,short,240.4,17,0.0,4086.8,1980096,338298,16500.8,33829.8
2024-02-09 15:29:00,close,240.7,17,-5.1,4091.9,0,0,0.0,0.0
2024-02-12 15:26:00,short,245.65,16,0.0,3930.4,5417350,982906,45144.58,98290.6
2024-02-12 15:29:00,close,245.7,16,-0.8,3931.2,0,0,0.0,0.0
2024-02-14 15:26:00,long,252.7,16,0.0,4043.2,7828380,1869144,65236.5,186914.4
2024-02-15 15:26:00,short,253.9,14,0.0,3554.6,3929994,847038,32749.95,84703.8
2024-02-15 15:29:00,close,253.8,14,1.4,3553.2,0,0,0.0,0.0
2024-02-19 15:26:00,long,262.6,14,0.0,3676.4,3614408,786276,30120.07,78627.6
2024-02-21 15:26:00,short,255.25,13,0.0,3318.25,4445738,834786,37047.82,83478.6
2024-02-21 15:29:00,close,255.4,13,-1.95,3320.2,0,0,0.0,0.0
2024-02-22 15:26:00,long,260.95,12,0.0,3131.4,4600750,991408,38339.58,99140.8
2024-02-23 15:26:00,long,262.5,11,0.0,2887.5,5314314,1619698,44285.95,161969.8
2024-02-27 15:26:00,short,260.25,10,0.0,2602.5,2898710,713878,24155.92,71387.8
2024-02-27 15:29:00,close,260.4,10,-1.5,2604.0,0,0,0.0,0.0
2024-02-28 15:26:00,short,252.95,10,0.0,2529.5,3181544,1335466,26512.87,133546.6
2024-02-28 13:07:00,close,254.27,43,712.4,10933.5,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,40,800.7,10170.7,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,36,832.23,9153.63,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,33,784.33,8390.83,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,29,639.96,7373.76,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,26,584.15,6610.95,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,23,391.4,5848.15,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,20,181.35,5085.35,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,18,201.01,4576.81,0,0,0.0,0.0
2024-02-28 13:07:00,close,254.27,16,25.08,4068.28,0,0,0.0,0.0
2024-02-28 15:29:00,close,252.9,10,0.5,2529.0,0,0,0.0,0.0
2024-02-29 15:26:00,long,255.9,38,0.0,9724.2,4958266,2019960,41318.88,201996.0
2024-02-29 09:15:00,close,252.08,14,-147.25,3529.16,0,0,0.0,0.0
2024-02-29 09:15:00,close,252.08,12,-106.41,3024.99,0,0,0.0,0.0
2024-03-01 15:26:00,long,254.65,37,0.0,9422.05,2659542,641478,22162.85,64147.8
2024-03-04 15:26:00,long,255.35,34,0.0,8681.9,1112320,252074,9269.33,25207.4
2024-03-05 15:26:00,short,251.85,31,0.0,7807.35,2723754,625736,22697.95,62573.6
2024-03-05 15:29:00,close,251.3,31,17.05,7790.3,0,0,0.0,0.0
2024-03-06 15:26:00,short,251.7,31,0.0,7802.7,3194848,707802,26623.73,70780.2
2024-03-06 09:15:00,close,250.28,11,-134.45,2753.05,0,0,0.0,0.0
2024-03-06 15:29:00,close,251.85,31,-4.65,7807.35,0,0,0.0,0.0
2024-03-07 15:26:00,short,252.6,32,0.0,8083.2,2622152,769184,21851.27,76918.4
2024-03-07 15:29:00,close,252.2,32,12.8,8070.4,0,0,0.0,0.0
2024-03-11 15:26:00,long,251.55,32,0.0,8049.6,4008592,1134624,33404.93,113462.4
2024-03-12 15:26:00,long,250.4,29,0.0,7261.6,2043860,643102,17032.17,64310.2
2024-03-13 14:37:00,close,245.15,38,-408.6,9315.6,0,0,0.0,0.0
2024-03-13 14:37:00,close,245.15,37,-351.59,9070.46,0,0,0.0,0.0
2024-03-14 15:26:00,short,253.65,33,0.0,8370.45,3751802,839198,31265.02,83919.8
2024-03-14 09:15:00,close,243.34,34,-408.26,8273.64,0,0,0.0,0.0
2024-03-14 09:15:00,close,243.34,32,-262.64,7786.96,0,0,0.0,0.0
2024-03-14 15:29:00,close,253.3,33,11.55,8358.9,0,0,0.0,0.0
2024-03-15 15:26:00,short,253.55,39,0.0,9888.45,5416562,1681368,45138.02,168136.8
2024-03-15 15:29:00,close,252.5,39,40.95,9847.5,0,0,0.0,0.0
2024-03-18 15:26:00,short,249.85,40,0.0,9994.0,2086610,531368,17388.42,53136.8
2024-03-18 15:29:00,close,250.05,40,-8.0,10002.0,0,0,0.0,0.0
2024-03-19 15:26:00,short,242.45,41,0.0,9940.45,3437094,715816,28642.45,71581.6
2024-03-19 15:29:00,close,242.2,41,10.25,9930.2,0,0,0.0,0.0
2024-03-20 15:26:00,long,242.2,41,0.0,9930.2,1763532,326630,14696.1,32663.0
2024-03-20 09:56:00,close,241.68,29,-252.88,7008.72,0,0,0.0,0.0
2024-03-21 15:26:00,long,245.85,39,0.0,9588.15,3950244,1167262,32918.7,116726.2
2024-03-22 15:26:00,short,238.65,36,0.0,8591.4,6269126,1330846,52242.72,133084.6
2024-03-22 09:31:00,close,235.36,41,-280.34,9649.86,0,0,0.0,0.0
2024-03-22 15:29:00,close,239.35,36,-25.2,8616.6,0,0,0.0,0.0
