EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-05 15:26:00,long,334.0,29,9686,closed,2024-01-08 09:16:00,335.12,32.34,0.33
2024-01-11 15:26:00,short,365.55,27,9870,closed,2024-01-11 15:29:00,366.0,-12.15,-0.12
2024-01-15 15:26:00,long,362.45,27,9786,closed,2024-01-16 11:37:00,369.07,178.79,1.83
2024-01-18 15:26:00,short,375.45,26,9762,closed,2024-01-18 15:29:00,375.0,11.7,0.12
2024-01-19 15:26:00,long,383.75,26,9978,closed,2024-01-20 09:22:00,381.55,-57.3,-0.57
2024-01-20 15:26:00,short,369.4,24,8866,closed,2024-01-20 15:29:00,370.0,-14.4,-0.16
2024-01-24 15:26:00,short,385.35,25,9634,closed,2024-01-24 15:29:00,385.0,8.75,0.09
2024-01-29 15:26:00,long,381.5,26,9919,closed,2024-01-30 09:21:00,377.68,-99.19,-1.0
2024-02-01 15:26:00,short,387.7,25,9692,closed,2024-02-01 15:29:00,390.5,-70.0,-0.72
2024-02-06 15:26:00,short,385.0,25,9625,closed,2024-02-06 15:28:00,385.16,-4.09,-0.04
2024-02-07 15:26:00,short,376.35,26,9785,closed,2024-02-07 15:29:00,376.2,3.9,0.04
2024-02-13 15:26:00,long,401.0,24,9624,closed,2024-02-13 15:29:00,397.93,-73.67,-0.77
2024-02-14 15:26:00,long,392.95,25,9824,closed,2024-02-15 09:15:00,392.0,-23.75,-0.24
2024-02-16 15:26:00,short,431.45,23,9923,closed,2024-02-16 15:29:00,433.35,-43.7,-0.44
2024-02-22 15:26:00,long,447.95,22,9855,closed,2024-02-23 09:21:00,449.46,33.22,0.34
2024-02-23 15:26:00,short,443.45,20,8869,closed,2024-02-23 15:29:00,444.2,-15.0,-0.17
2024-02-26 15:26:00,short,429.0,23,9867,closed,2024-02-26 15:29:00,426.0,69.0,0.7
2024-02-29 15:26:00,long,439.75,22,9674,closed,2024-03-01 09:16:00,439.36,-8.54,-0.09
2024-03-07 15:26:00,short,432.0,23,9936,closed,2024-03-07 15:29:00,432.3,-6.9,-0.07
2024-03-12 15:26:00,long,400.0,24,9600,closed,2024-03-13 09:23:00,399.76,-5.71,-0.06
2024-03-20 15:26:00,short,397.95,25,9949,closed,2024-03-20 15:29:00,398.0,-1.25,-0.01
2024-03-21 15:26:00,long,390.7,25,9768,closed,2024-03-22 10:46:00,392.93,55.77,0.57
2024-03-22 15:26:00,short,389.85,23,8967,closed,2024-03-22 15:29:00,390.0,-3.45,-0.04
2024-03-26 15:26:00,short,390.85,25,9771,closed,2024-03-26 15:29:00,393.95,-77.5,-0.79
2024-03-27 15:26:00,long,395.25,25,9881,closed,2024-03-28 09:15:00,396.0,18.75,0.19
2024-03-28 15:26:00,long,450.95,19,8568,closed,2024-03-28 15:29:00,446.44,-85.68,-1.0
2024-04-01 15:26:00,long,438.65,22,9650,closed,2024-04-02 09:48:00,442.13,76.65,0.79
2024-04-02 15:26:00,long,430.75,20,8615,closed,2024-04-03 10:21:00,430.65,-2.0,-0.02
2024-04-03 15:26:00,long,433.6,21,9106,closed,2024-04-04 09:15:00,437.58,83.58,0.92
2024-04-04 15:26:00,short,438.75,20,8775,closed,2024-04-04 15:29:00,439.0,-5.0,-0.06
2024-04-05 15:26:00,long,434.0,23,9982,closed,2024-04-08 09:16:00,436.0,45.91,0.46
2024-04-08 15:26:00,short,433.55,20,8671,closed,2024-04-08 15:29:00,433.0,11.0,0.13
2024-04-09 15:26:00,short,439.3,22,9665,closed,2024-04-09 15:29:00,438.0,28.6,0.3
2024-04-19 15:26:00,long,497.2,20,9944,closed,2024-04-22 09:15:00,500.44,64.9,0.65
2024-04-24 15:26:00,short,597.65,16,9562,closed,2024-04-24 15:29:00,595.95,27.2,0.28
2024-04-29 15:26:00,long,702.05,14,9829,closed,2024-04-30 09:15:00,695.03,-98.29,-1.0
2024-04-30 15:26:00,long,687.15,13,8933,closed,2024-05-02 09:15:00,681.0,-79.95,-0.9
2024-05-02 15:26:00,long,649.75,14,9096,closed,2024-05-03 09:16:00,651.42,23.38,0.26
2024-05-07 15:26:00,short,599.7,16,9595,closed,2024-05-07 15:29:00,597.7,32.0,0.33
2024-05-08 15:26:00,short,595.0,16,9520,closed,2024-05-08 15:29:00,595.0,0.0,0.0
2024-05-09 15:26:00,long,578.6,17,9836,closed,2024-05-10 09:15:00,578.9,5.1,0.05
2024-05-15 15:26:00,long,597.65,16,9562,closed,2024-05-16 09:54:00,608.5,173.6,1.82
2024-05-22 15:26:00,long,636.1,15,9542,closed,2024-05-23 09:15:00,634.0,-31.5,-0.33
2024-05-23 15:26:00,long,627.9,14,8791,closed,2024-05-24 09:24:00,625.38,-35.24,-0.4
2024-05-24 15:26:00,long,720.05,12,8641,closed,2024-05-24 15:28:00,716.36,-44.23,-0.51
2024-05-29 15:26:00,long,751.0,13,9763,closed,2024-05-29 15:29:00,754.4,44.2,0.45
2024-05-30 15:26:00,long,699.25,14,9790,closed,2024-05-30 15:27:00,699.68,6.06,0.06
2024-05-31 15:26:00,long,710.0,14,9940,closed,2024-05-31 15:28:00,706.36,-50.89,-0.51
2024-06-03 15:26:00,short,720.9,13,9372,closed,2024-06-03 15:29:00,720.0,11.7,0.12
2024-06-05 15:26:00,long,704.9,14,9869,closed,2024-06-05 15:29:00,703.05,-25.9,-0.26
2024-06-11 15:26:00,short,756.0,13,9828,closed,2024-06-11 15:29:00,758.56,-33.29,-0.34
2024-06-14 15:26:00,short,815.0,12,9780,closed,2024-06-14 15:29:00,815.0,0.0,0.0
2024-06-18 15:26:00,long,832.1,12,9985,closed,2024-06-19 09:23:00,831.6,-6.0,-0.06
2024-06-20 15:26:00,short,816.55,12,9799,closed,2024-06-20 15:29:00,817.0,-5.4,-0.06
