TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,1013.1,9,0.0,9117.9,1369810,510518,11415.08,51051.8
2024-01-01 15:29:00,close,1012.0,9,9.9,9108.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,1021.85,9,0.0,9196.65,1231249,387761,10260.41,38776.1
2024-01-03 09:22:00,close,1021.63,9,-1.98,9194.67,0,0,0.0,0.0
2024-01-04 15:26:00,long,1053.0,9,0.0,9477.0,1834692,848094,15289.1,84809.4
2024-01-05 09:15:00,close,1053.01,9,0.12,9477.12,0,0,0.0,0.0
2024-01-08 15:26:00,short,1048.25,9,0.0,9434.25,741768,396746,6181.4,39674.6
2024-01-08 15:29:00,close,1046.75,9,13.5,9420.75,0,0,0.0,0.0
2024-01-11 15:26:00,short,1059.35,9,0.0,9534.15,999916,287805,8332.63,28780.5
2024-01-11 15:29:00,close,1060.0,9,-5.85,9540.0,0,0,0.0,0.0
2024-01-17 15:26:00,short,1084.7,9,0.0,9762.3,1038162,302989,8651.35,30298.9
2024-01-17 15:29:00,close,1081.1,9,32.4,9729.9,0,0,0.0,0.0
2024-01-25 15:26:00,long,1160.85,8,0.0,9286.8,3307092,944490,27559.1,94449.0
2024-01-29 15:26:00,short,1160.65,7,0.0,8124.55,1093982,342208,9116.52,34220.8
2024-01-29 15:29:00,close,1161.55,7,-6.3,8130.85,0,0,0.0,0.0
2024-01-30 09:15:00,close,1162.1,8,10.0,9296.8,0,0,0.0,0.0
2024-01-31 15:26:00,short,1170.75,8,0.0,9366.0,2075003,606132,17291.69,60613.2
2024-01-31 15:29:00,close,1171.75,8,-8.0,9374.0,0,0,0.0,0.0
2024-02-29 15:26:00,long,1129.45,8,0.0,9035.6,6830467,2439254,56920.56,243925.4
2024-03-01 10:45:00,close,1123.06,8,-51.15,8984.45,0,0,0.0,0.0
2024-03-15 15:26:00,short,1217.0,8,0.0,9736.0,3966066,1285145,33050.55,128514.5
2024-03-15 15:29:00,close,1213.95,8,24.4,9711.6,0,0,0.0,0.0
2024-03-27 15:26:00,long,1227.35,8,0.0,9818.8,2482336,811834,20686.13,81183.4
2024-03-28 15:09:00,close,1226.12,8,-9.88,9808.92,0,0,0.0,0.0
2024-04-10 15:26:00,long,1229.95,8,0.0,9839.6,2024861,533780,16873.84,53378.0
2024-04-15 09:15:00,close,1210.6,8,-154.8,9684.8,0,0,0.0,0.0
2024-04-23 15:26:00,long,1344.1,7,0.0,9408.7,2795935,848099,23299.46,84809.9
2024-04-24 09:23:00,close,1340.46,7,-25.48,9383.22,0,0,0.0,0.0
2024-04-25 15:26:00,long,1341.15,7,0.0,9388.05,3452861,1347278,28773.84,134727.8
2024-04-26 10:03:00,close,1332.24,7,-62.35,9325.7,0,0,0.0,0.0
2024-04-30 15:26:00,short,1323.75,7,0.0,9266.25,1393876,876573,11615.63,87657.3
2024-04-30 15:29:00,close,1324.5,7,-5.25,9271.5,0,0,0.0,0.0
2024-05-13 15:26:00,long,1285.55,7,0.0,8998.85,1313364,333661,10944.7,33366.1
2024-05-14 09:25:00,close,1286.9,7,9.46,9008.31,0,0,0.0,0.0
2024-05-27 15:26:00,short,1380.1,7,0.0,9660.7,1824139,530442,15201.16,53044.2
2024-05-27 15:29:00,close,1380.5,7,-2.8,9663.5,0,0,0.0,0.0
2024-05-31 15:26:00,long,1380.85,7,0.0,9665.95,10695227,4121545,89126.89,412154.5
2024-05-31 15:29:00,close,1374.12,7,-47.11,9618.84,0,0,0.0,0.0
2024-06-05 15:26:00,short,1345.35,7,0.0,9417.45,3039079,899214,25325.66,89921.4
2024-06-05 15:29:00,close,1344.1,7,8.75,9408.7,0,0,0.0,0.0
2024-06-21 15:26:00,short,1414.85,7,0.0,9903.95,20786001,9639168,173216.68,963916.8
2024-06-21 15:28:00,close,1418.0,7,-22.05,9926.0,0,0,0.0,0.0
2024-06-27 15:26:00,long,1485.25,6,0.0,8911.5,9579101,3539125,79825.84,353912.5
2024-06-28 15:26:00,long,1447.0,6,0.0,8682.0,5400379,1581317,45003.16,158131.7
2024-06-28 09:15:00,close,1520.89,6,213.83,9125.33,0,0,0.0,0.0
2024-07-01 15:26:00,short,1456.1,6,0.0,8736.6,1164911,390905,9707.59,39090.5
2024-07-01 09:15:00,close,1450.0,6,18.0,8700.0,0,0,0.0,0.0
2024-07-01 15:29:00,close,1458.0,6,-11.4,8748.0,0,0,0.0,0.0
2024-07-08 15:26:00,long,1436.4,6,0.0,8618.4,1082183,313077,9018.19,31307.7
2024-07-10 10:27:00,close,1434.26,6,-12.83,8605.58,0,0,0.0,0.0
2024-07-12 15:26:00,short,1430.8,6,0.0,8584.8,2382092,715015,19850.77,71501.5
2024-07-12 15:29:00,close,1429.9,6,5.4,8579.4,0,0,0.0,0.0
2024-07-22 15:26:00,short,1463.55,6,0.0,8781.3,1316598,335560,10971.65,33556.0
