TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,short,420.7,23,0.0,9676.1,522783,137423,4356.52,13742.3
2024-01-02 15:29:00,close,420.45,23,5.75,9670.35,0,0,0.0,0.0
2024-01-08 15:26:00,short,400.2,24,0.0,9604.8,158721,75436,1322.68,7543.6
2024-01-08 15:29:00,close,400.9,24,-16.8,9621.6,0,0,0.0,0.0
2024-01-10 15:26:00,long,404.4,24,0.0,9705.6,226209,61369,1885.08,6136.9
2024-01-12 09:18:00,close,411.34,24,166.68,9872.28,0,0,0.0,0.0
2024-01-18 15:26:00,long,423.8,23,0.0,9747.4,188583,69149,1571.52,6914.9
2024-01-19 09:37:00,close,424.86,23,24.35,9771.75,0,0,0.0,0.0
2024-01-20 15:26:00,short,415.35,24,0.0,9968.4,105780,43241,881.5,4324.1
2024-01-20 15:29:00,close,419.5,24,-99.68,10068.08,0,0,0.0,0.0
2024-01-25 15:26:00,short,414.45,24,0.0,9946.8,279115,150734,2325.96,15073.4
2024-01-25 15:29:00,close,413.0,24,34.8,9912.0,0,0,0.0,0.0
2024-02-09 15:26:00,long,419.6,23,0.0,9650.8,138643,40671,1155.36,4067.1
2024-02-12 15:26:00,long,423.3,21,0.0,8889.3,602291,198597,5019.09,19859.7
2024-02-12 09:40:00,close,425.65,23,139.16,9789.96,0,0,0.0,0.0
2024-02-13 09:31:00,close,420.8,21,-52.51,8836.79,0,0,0.0,0.0
2024-02-14 15:26:00,short,431.6,23,0.0,9926.8,199928,65855,1666.07,6585.5
2024-02-14 15:29:00,close,431.1,23,11.5,9915.3,0,0,0.0,0.0
2024-02-19 15:26:00,long,467.3,21,0.0,9813.3,787161,198496,6559.68,19849.6
2024-02-20 09:15:00,close,465.45,21,-38.85,9774.45,0,0,0.0,0.0
2024-02-21 15:26:00,short,457.45,21,0.0,9606.45,494736,135763,4122.8,13576.3
2024-02-21 15:29:00,close,458.05,21,-12.6,9619.05,0,0,0.0,0.0
2024-02-22 15:26:00,long,459.7,21,0.0,9653.7,369217,95385,3076.81,9538.5
2024-02-23 15:26:00,long,466.75,19,0.0,8868.25,430115,185510,3584.29,18551.0
2024-02-23 09:15:00,close,458.42,21,-26.89,9626.81,0,0,0.0,0.0
2024-02-26 15:26:00,long,470.2,19,0.0,8933.8,431403,130605,3595.02,13060.5
2024-02-26 09:50:00,close,475.65,19,169.01,9037.26,0,0,0.0,0.0
2024-02-27 11:32:00,close,470.25,19,0.95,8934.75,0,0,0.0,0.0
2024-02-28 15:26:00,long,460.0,21,0.0,9660.0,209363,73052,1744.69,7305.2
2024-02-29 15:26:00,long,467.15,19,0.0,8875.85,419782,216048,3498.18,21604.8
2024-02-29 09:15:00,close,457.0,21,-63.0,9597.0,0,0,0.0,0.0
2024-02-29 15:28:00,close,463.32,19,-72.77,8803.08,0,0,0.0,0.0
2024-03-04 15:26:00,long,466.95,21,0.0,9805.95,225797,68223,1881.64,6822.3
2024-03-05 12:11:00,close,466.14,21,-16.98,9788.97,0,0,0.0,0.0
2024-03-11 15:26:00,long,441.0,22,0.0,9702.0,184543,78176,1537.86,7817.6
2024-03-12 15:26:00,long,429.0,21,0.0,9009.0,238945,66743,1991.21,6674.3
2024-03-12 09:25:00,close,442.93,22,42.37,9744.37,0,0,0.0,0.0
2024-03-13 09:21:00,close,429.66,21,13.86,9022.86,0,0,0.0,0.0
2024-03-15 15:26:00,long,418.1,23,0.0,9616.3,190421,78052,1586.84,7805.2
2024-03-18 09:15:00,close,417.78,23,-7.36,9608.94,0,0,0.0,0.0
2024-03-19 15:26:00,short,412.0,24,0.0,9888.0,176216,52024,1468.47,5202.4
2024-03-19 15:29:00,close,413.2,24,-28.8,9916.8,0,0,0.0,0.0
2024-04-04 15:26:00,long,445.2,22,0.0,9794.4,89018,39648,741.82,3964.8
2024-04-08 15:26:00,short,438.7,20,0.0,8774.0,306662,101458,2555.52,10145.8
2024-04-08 09:15:00,close,445.55,22,7.7,9802.1,0,0,0.0,0.0
2024-04-08 15:29:00,close,439.0,20,-6.0,8780.0,0,0,0.0,0.0
2024-04-23 15:26:00,long,414.8,24,0.0,9955.2,58597,23254,488.31,2325.4
2024-04-24 15:26:00,long,418.0,21,0.0,8778.0,101540,29851,846.17,2985.1
2024-04-24 14:37:00,close,418.28,24,83.4,10038.6,0,0,0.0,0.0
2024-04-25 09:43:00,close,415.5,21,-52.44,8725.56,0,0,0.0,0.0
2024-04-29 15:26:00,long,420.8,23,0.0,9678.4,79347,32080,661.22,3208.0
2024-04-30 15:01:00,close,424.26,23,79.68,9758.08,0,0,0.0,0.0
2024-05-03 15:26:00,long,423.25,23,0.0,9734.75,85244,25549,710.37,2554.9
2024-05-06 09:36:00,close,421.74,23,-34.73,9700.02,0,0,0.0,0.0
2024-05-09 15:26:00,short,392.6,25,0.0,9815.0,436439,114524,3636.99,11452.4
2024-05-09 15:29:00,close,392.6,25,0.0,9815.0,0,0,0.0,0.0
2024-05-10 15:26:00,long,399.5,25,0.0,9987.5,153996,130626,1283.3,13062.6
2024-05-13 09:34:00,close,398.48,25,-25.62,9961.88,0,0,0.0,0.0
2024-05-14 15:26:00,short,399.9,25,0.0,9997.5,142705,48811,1189.21,4881.1
2024-05-14 15:29:00,close,398.5,25,35.0,9962.5,0,0,0.0,0.0
2024-05-17 15:26:00,long,402.9,24,0.0,9669.6,165712,58126,1380.93,5812.6
2024-05-21 15:26:00,long,410.15,22,0.0,9023.3,93775,145666,781.46,14566.6
2024-05-21 09:15:00,close,403.87,24,23.29,9692.89,0,0,0.0,0.0
2024-05-22 15:26:00,long,428.0,21,0.0,8988.0,1188471,300988,9903.92,30098.8
2024-05-22 09:15:00,close,420.06,22,217.95,9241.25,0,0,0.0,0.0
2024-05-23 15:26:00,long,429.9,21,0.0,9027.9,326467,107719,2720.56,10771.9
2024-05-23 09:30:00,close,431.14,21,66.05,9054.04,0,0,0.0,0.0
