EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-15 15:26:00,long,640.8,15,9612,closed,2024-01-16 12:59:00,638.45,-35.23,-0.37
2024-01-18 15:26:00,short,628.45,15,9427,closed,2024-01-18 15:29:00,628.5,-0.75,-0.01
2024-01-25 15:26:00,long,614.6,16,9834,closed,2024-01-29 14:58:00,623.21,137.68,1.4
2024-02-07 15:26:00,long,676.55,14,9472,closed,2024-02-08 10:52:00,711.71,492.25,5.2
2024-02-23 15:26:00,long,759.2,13,9870,closed,2024-02-26 09:58:00,758.69,-6.68,-0.07
2024-03-11 15:26:00,short,774.0,12,9288,closed,2024-03-11 15:29:00,773.95,0.6,0.01
2024-03-14 15:26:00,short,740.0,13,9620,closed,2024-03-14 15:29:00,741.2,-15.6,-0.16
2024-03-15 15:26:00,short,728.55,13,9471,closed,2024-03-15 15:29:00,732.1,-46.15,-0.49
2024-03-27 15:26:00,long,734.05,13,9543,closed,2024-03-28 15:09:00,751.95,232.76,2.44
2024-04-01 15:26:00,short,758.5,13,9860,closed,2024-04-01 15:29:00,758.0,6.5,0.07
2024-05-03 15:26:00,short,832.65,12,9992,closed,2024-05-03 15:29:00,831.0,19.8,0.2
2024-05-10 15:26:00,short,817.3,12,9808,closed,2024-05-10 15:29:00,816.85,5.4,0.06
2024-05-15 15:26:00,long,820.2,12,9842,closed,2024-05-16 10:21:00,817.89,-27.74,-0.28
2024-05-21 15:26:00,long,831.1,12,9973,closed,2024-05-22 09:15:00,822.79,-99.73,-1.0
2024-05-31 15:26:00,long,831.4,12,9977,closed,2024-06-03 09:16:00,864.65,399.0,4.0
2024-06-13 15:26:00,long,845.45,11,9300,closed,2024-06-14 09:25:00,841.4,-44.54,-0.48
2024-06-14 15:26:00,short,838.3,10,8383,closed,2024-06-14 15:29:00,839.4,-11.0,-0.13
2024-06-18 15:26:00,long,844.6,11,9291,closed,2024-06-19 10:29:00,846.45,20.35,0.22
2024-06-27 15:26:00,long,845.4,11,9299,closed,2024-06-28 13:07:00,855.36,109.56,1.18
2024-07-01 15:26:00,short,842.15,12,10106,closed,2024-07-01 15:29:00,842.65,-6.0,-0.06
2024-07-12 15:26:00,long,860.25,11,9463,closed,2024-07-16 09:44:00,879.22,208.66,2.21
2024-07-22 15:26:00,short,876.05,11,9637,closed,2024-07-22 15:29:00,878.0,-21.45,-0.22
2024-07-31 15:26:00,short,873.95,11,9613,closed,2024-07-31 15:29:00,874.5,-6.05,-0.06
2024-08-08 15:26:00,short,806.05,12,9673,closed,2024-08-08 15:29:00,808.0,-23.4,-0.24
2024-08-12 15:26:00,short,811.6,12,9739,closed,2024-08-12 15:29:00,813.0,-16.8,-0.17
2024-08-20 15:26:00,short,819.25,12,9831,closed,2024-08-20 15:29:00,818.4,10.2,0.1
2024-08-23 15:26:00,long,816.2,12,9794,closed,2024-08-26 15:03:00,815.22,-11.81,-0.12
2024-08-26 15:26:00,short,814.95,11,8964,closed,2024-08-26 15:29:00,815.4,-4.95,-0.06
2024-08-28 15:26:00,short,806.95,12,9683,closed,2024-08-28 15:29:00,808.25,-15.6,-0.16
2024-08-30 15:26:00,long,815.85,12,9790,closed,2024-09-03 11:15:00,817.15,15.55,0.16
2024-09-13 15:26:00,short,790.3,12,9484,closed,2024-09-13 15:29:00,789.7,7.2,0.08
2024-09-20 15:26:00,long,782.2,12,9386,closed,2024-09-24 09:31:00,796.95,177.0,1.89
2024-09-23 15:26:00,short,800.9,11,8810,closed,2024-09-23 15:29:00,800.05,9.35,0.11
2024-09-27 15:26:00,short,802.6,12,9631,closed,2024-09-27 15:29:00,802.05,6.6,0.07
2024-09-30 15:26:00,short,787.5,12,9450,closed,2024-09-30 15:29:00,787.95,-5.4,-0.06
2024-10-09 15:26:00,short,797.4,12,9569,closed,2024-10-09 15:29:00,795.8,19.2,0.2
2024-10-15 15:26:00,long,805.85,12,9670,closed,2024-10-17 10:22:00,807.59,20.91,0.22
2024-10-16 15:26:00,long,806.0,11,8866,closed,2024-10-17 10:22:00,807.59,17.52,0.2
2024-11-25 15:26:00,short,843.45,12,10121,closed,2024-11-25 15:29:00,845.45,-24.0,-0.24
2024-12-03 15:26:00,short,853.75,11,9391,closed,2024-12-03 15:29:00,852.4,14.85,0.16
2024-12-06 15:26:00,short,862.9,11,9492,closed,2024-12-06 15:29:00,862.95,-0.55,-0.01
2024-12-11 15:26:00,long,861.8,11,9480,closed,2024-12-12 09:49:00,855.66,-67.57,-0.71
2024-12-18 15:26:00,long,839.8,12,10078,closed,2024-12-19 09:15:00,824.6,-182.4,-1.81
2024-12-20 15:26:00,long,813.35,12,9760,closed,2024-12-23 09:56:00,812.59,-9.1,-0.09
2024-12-23 15:26:00,short,820.8,11,9029,closed,2024-12-23 15:29:00,820.5,3.3,0.04
2024-12-26 15:26:00,long,814.5,12,9774,closed,2024-12-27 09:39:00,810.12,-52.6,-0.54
2024-12-30 15:26:00,short,789.3,12,9472,closed,2024-12-30 15:29:00,793.3,-48.0,-0.51
2024-12-31 15:26:00,long,794.85,12,9538,open,,0.0,0.0,0.0
