TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-02 15:26:00,long,1470.4,6,0.0,8822.4,438899,120428,3657.49,12042.8
2024-01-04 15:26:00,long,1419.65,6,0.0,8517.9,967483,299078,8062.36,29907.8
2024-01-08 15:26:00,short,1446.25,5,0.0,7231.25,724390,199258,6036.58,19925.8
2024-01-08 15:29:00,close,1439.9,5,31.75,7199.5,0,0,0.0,0.0
2024-01-12 15:26:00,long,1546.95,5,0.0,7734.75,1573174,411251,13109.78,41125.1
2024-01-16 15:26:00,long,1557.15,4,0.0,6228.6,963348,294018,8027.9,29401.8
2024-01-18 15:26:00,long,1569.15,4,0.0,6276.6,777872,219104,6482.27,21910.4
2024-01-25 15:26:00,long,1549.8,4,0.0,6199.2,955952,397658,7966.27,39765.8
2024-01-30 15:26:00,short,1558.95,3,0.0,4676.85,603143,193102,5026.19,19310.2
2024-01-30 15:29:00,close,1559.8,3,-2.55,4679.4,0,0,0.0,0.0
2024-01-31 15:26:00,short,1573.9,3,0.0,4721.7,1010308,266973,8419.23,26697.3
2024-01-31 15:29:00,close,1570.8,3,9.3,4712.4,0,0,0.0,0.0
2024-02-01 15:26:00,short,1578.85,3,0.0,4736.55,1017751,286739,8481.26,28673.9
2024-02-01 15:29:00,close,1578.0,3,2.55,4734.0,0,0,0.0,0.0
2024-02-05 15:26:00,short,1552.5,3,0.0,4657.5,450113,120290,3750.94,12029.0
2024-02-05 15:29:00,close,1555.1,3,-7.8,4665.3,0,0,0.0,0.0
2024-02-08 15:26:00,long,1633.25,3,0.0,4899.75,818690,213030,6822.42,21303.0
2024-02-14 15:26:00,long,1675.0,3,0.0,5025.0,387988,99371,3233.23,9937.1
2024-02-16 15:26:00,short,1666.65,2,0.0,3333.3,599886,202390,4999.05,20239.0
2024-02-16 15:29:00,close,1670.0,2,-6.7,3340.0,0,0,0.0,0.0
2024-02-19 15:26:00,short,1674.5,2,0.0,3349.0,251202,70121,2093.35,7012.1
