TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-08 15:26:00,short,126.65,78,0.0,9878.7,528502,616063,4404.18,61606.3
2024-01-08 15:29:00,close,128.1,78,-113.1,9991.8,0,0,0.0,0.0
2024-01-09 15:26:00,short,130.0,76,0.0,9880.0,3090826,881786,25756.88,88178.6
2024-01-09 15:29:00,close,129.9,76,7.6,9872.4,0,0,0.0,0.0
2024-01-10 15:26:00,long,134.4,74,0.0,9945.6,1913560,570144,15946.33,57014.4
2024-01-12 15:26:00,long,134.65,66,0.0,8886.9,694965,524858,5791.38,52485.8
2024-01-19 15:26:00,short,134.8,60,0.0,8088.0,690035,223445,5750.29,22344.5
2024-01-19 15:29:00,close,134.7,60,6.0,8082.0,0,0,0.0,0.0
2024-01-20 15:26:00,long,133.95,60,0.0,8037.0,241588,102659,2013.23,10265.9
2024-02-07 15:26:00,long,135.1,54,0.0,7295.4,3082705,829322,25689.21,82932.2
2024-02-08 15:26:00,short,137.85,47,0.0,6478.95,715681,222077,5964.01,22207.7
2024-02-08 15:29:00,close,138.5,47,-30.55,6509.5,0,0,0.0,0.0
2024-02-12 15:26:00,long,132.0,49,0.0,6468.0,692194,359215,5768.28,35921.5
2024-02-12 12:05:00,close,131.8,74,-192.03,9753.57,0,0,0.0,0.0
2024-02-12 12:05:00,close,131.8,66,-187.77,8699.13,0,0,0.0,0.0
2024-02-12 12:05:00,close,131.8,60,-128.7,7908.3,0,0,0.0,0.0
2024-02-13 15:26:00,short,128.75,66,0.0,8497.5,493396,136805,4111.63,13680.5
2024-02-13 15:29:00,close,129.0,66,-16.5,8514.0,0,0,0.0,0.0
2024-02-14 15:26:00,long,135.95,62,0.0,8428.9,1031954,258875,8599.62,25887.5
2024-02-16 15:26:00,long,136.65,56,0.0,7652.4,315503,206757,2629.19,20675.7
2024-02-19 15:26:00,short,137.0,50,0.0,6850.0,323429,91647,2695.24,9164.7
2024-02-19 15:29:00,close,137.0,50,0.0,6850.0,0,0,0.0,0.0
2024-02-21 15:26:00,short,137.65,50,0.0,6882.5,1199066,556474,9992.22,55647.4
2024-02-21 15:29:00,close,137.9,50,-12.5,6895.0,0,0,0.0,0.0
2024-02-22 15:26:00,long,138.7,50,0.0,6935.0,491016,198584,4091.8,19858.4
