EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,short,420.7,23,9676,closed,2024-01-02 15:29:00,420.45,5.75,0.06
2024-01-08 15:26:00,short,400.2,24,9605,closed,2024-01-08 15:29:00,400.9,-16.8,-0.17
2024-01-10 15:26:00,long,404.4,24,9706,closed,2024-01-16 09:41:00,421.46,409.56,4.22
2024-01-18 15:26:00,long,423.8,23,9747,closed,2024-01-20 15:02:00,416.28,-173.06,-1.78
2024-01-20 15:26:00,short,415.35,21,8722,closed,2024-01-20 15:29:00,417.15,-37.8,-0.43
2024-01-25 15:26:00,short,414.45,24,9947,closed,2024-01-25 15:29:00,413.0,34.8,0.35
2024-02-09 15:26:00,long,419.6,23,9651,closed,2024-02-20 09:54:00,459.54,918.56,9.52
2024-02-12 15:26:00,long,423.3,21,8889,closed,2024-02-20 09:54:00,459.54,760.99,8.56
2024-02-14 15:26:00,short,431.6,18,7769,closed,2024-02-14 15:29:00,431.1,9.0,0.12
2024-02-19 15:26:00,long,467.3,17,7944,closed,2024-02-20 10:00:00,458.37,-151.75,-1.91
2024-02-21 15:26:00,short,457.45,22,10064,closed,2024-02-21 15:29:00,458.05,-13.2,-0.13
2024-02-22 15:26:00,long,459.7,22,10113,closed,2024-02-27 13:12:00,466.04,139.4,1.38
2024-02-23 15:26:00,long,466.75,19,8868,closed,2024-02-27 13:12:00,466.04,-13.56,-0.15
2024-02-26 15:26:00,long,470.2,17,7993,closed,2024-02-28 12:59:00,460.75,-160.65,-2.01
2024-02-28 15:26:00,long,460.0,20,9200,closed,2024-03-06 09:36:00,460.6,12.09,0.13
2024-02-29 15:26:00,long,467.15,19,8876,closed,2024-03-06 09:36:00,460.6,-124.36,-1.4
2024-03-04 15:26:00,long,466.95,17,7938,closed,2024-03-06 09:58:00,456.72,-173.83,-2.19
2024-03-11 15:26:00,long,441.0,22,9702,closed,2024-03-12 10:45:00,433.98,-154.48,-1.59
2024-03-12 15:26:00,long,429.0,21,9009,closed,2024-03-13 09:51:00,420.98,-168.42,-1.87
2024-03-15 15:26:00,long,418.1,24,10034,closed,2024-03-20 09:31:00,409.34,-210.24,-2.1
2024-03-19 15:26:00,short,412.0,22,9064,closed,2024-03-19 15:29:00,413.2,-26.4,-0.29
2024-04-04 15:26:00,long,445.2,22,9794,closed,2024-04-08 13:28:00,439.8,-118.84,-1.21
2024-04-08 15:26:00,short,438.7,20,8774,closed,2024-04-08 15:29:00,439.0,-6.0,-0.07
