EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 15:26:00,long,983.15,10,9832,closed,2024-01-17 11:16:00,985.33,21.76,0.22
2024-01-09 15:26:00,short,980.2,9,8822,closed,2024-01-09 15:29:00,978.0,19.8,0.22
2024-01-25 15:26:00,long,1010.0,9,9090,closed,2024-02-05 09:15:00,1018.5,76.5,0.84
2024-02-07 15:26:00,short,1020.0,9,9180,closed,2024-02-07 15:29:00,1023.9,-35.1,-0.38
2024-02-13 15:26:00,short,1017.95,9,9162,closed,2024-02-13 15:29:00,1018.55,-5.4,-0.06
2024-03-11 15:26:00,long,1078.0,9,9702,closed,2024-03-12 10:45:00,1061.96,-144.4,-1.49
2024-03-15 15:26:00,long,1083.7,9,9753,closed,2024-04-04 09:15:00,1071.9,-106.21,-1.09
2024-03-27 15:26:00,long,1087.75,8,8702,closed,2024-04-04 09:15:00,1071.9,-126.81,-1.46
2024-04-23 15:26:00,short,1090.35,9,9813,closed,2024-04-23 15:29:00,1088.15,19.8,0.2
2024-05-07 15:26:00,short,1132.05,8,9056,closed,2024-05-07 15:29:00,1130.8,10.0,0.11
2024-05-08 15:26:00,long,1125.35,8,9003,closed,2024-05-22 10:45:00,1109.68,-125.36,-1.39
2024-05-15 15:26:00,long,1126.25,8,9010,closed,2024-05-22 10:45:00,1109.68,-132.56,-1.47
2024-05-28 15:26:00,short,1126.65,8,9013,closed,2024-05-28 15:29:00,1126.0,5.2,0.06
2024-05-31 15:26:00,long,1127.15,8,9017,closed,2024-06-03 09:43:00,1137.81,85.28,0.95
2024-06-12 15:26:00,short,1118.85,8,8951,closed,2024-06-12 15:29:00,1116.8,16.4,0.18
2024-06-14 15:26:00,short,1105.8,9,9952,closed,2024-06-14 15:29:00,1105.05,6.75,0.07
2024-06-18 15:26:00,long,1124.95,8,9000,closed,2024-06-28 15:12:00,1197.95,584.0,6.49
2024-06-21 15:26:00,long,1160.15,7,8121,closed,2024-06-28 15:12:00,1197.95,264.6,3.26
2024-06-26 15:26:00,short,1213.85,6,7283,closed,2024-06-26 15:29:00,1211.0,17.1,0.23
2024-06-28 15:26:00,short,1197.7,6,7186,closed,2024-06-28 15:29:00,1197.25,2.7,0.04
2024-07-03 15:26:00,long,1202.3,8,9618,closed,2024-07-23 13:03:00,1220.07,142.13,1.48
2024-07-05 15:26:00,short,1233.1,7,8632,closed,2024-07-05 15:29:00,1232.0,7.7,0.09
2024-07-08 15:26:00,long,1236.05,7,8652,closed,2024-07-23 13:03:00,1220.07,-111.89,-1.29
2024-07-09 15:26:00,short,1247.0,6,7482,closed,2024-07-09 15:29:00,1245.75,7.5,0.1
2024-07-10 15:26:00,short,1242.95,6,7458,closed,2024-07-10 15:29:00,1242.0,5.7,0.08
2024-07-15 15:26:00,short,1228.9,6,7373,closed,2024-07-15 15:29:00,1231.0,-12.6,-0.17
2024-07-16 15:26:00,short,1239.6,6,7438,closed,2024-07-16 15:29:00,1238.65,5.7,0.08
2024-07-18 15:26:00,short,1248.55,6,7491,closed,2024-07-18 15:29:00,1248.85,-1.8,-0.02
2024-07-22 15:26:00,long,1241.6,6,7450,closed,2024-07-24 11:12:00,1211.19,-182.46,-2.45
2024-07-30 15:26:00,short,1204.95,8,9640,closed,2024-07-30 15:29:00,1206.75,-14.4,-0.15
2024-07-31 15:26:00,long,1216.65,8,9733,closed,2024-08-05 09:15:00,1182.0,-277.2,-2.85
2024-08-02 15:26:00,long,1196.65,7,8377,closed,2024-08-06 13:51:00,1162.06,-242.13,-2.89
2024-08-13 15:26:00,long,1170.1,8,9361,closed,2024-09-06 14:17:00,1213.42,346.57,3.7
2024-08-19 15:26:00,long,1177.35,7,8241,closed,2024-09-06 14:17:00,1213.42,252.5,3.06
2024-08-20 15:26:00,short,1176.75,6,7060,closed,2024-08-20 15:29:00,1177.3,-3.3,-0.05
2024-08-28 15:26:00,long,1224.55,6,7347,closed,2024-09-06 14:17:00,1213.42,-66.77,-0.91
2024-08-29 15:26:00,long,1220.45,6,7323,closed,2024-09-06 14:17:00,1213.42,-42.17,-0.58
2024-08-30 15:26:00,short,1227.85,5,6139,closed,2024-08-30 15:29:00,1232.0,-20.75,-0.34
2024-09-17 15:26:00,short,1267.05,7,8869,closed,2024-09-17 15:29:00,1266.2,5.95,0.07
2024-09-20 15:26:00,long,1354.7,7,9483,closed,2024-09-23 10:39:00,1319.2,-248.5,-2.62
2024-09-25 15:26:00,short,1322.95,7,9261,closed,2024-09-25 15:29:00,1326.0,-21.35,-0.23
2024-09-27 15:26:00,short,1304.8,7,9134,closed,2024-09-27 15:29:00,1306.5,-11.9,-0.13
2024-09-30 15:26:00,long,1273.2,7,8912,closed,2024-10-04 13:35:00,1241.84,-219.5,-2.46
2024-10-15 15:26:00,short,1255.6,7,8789,closed,2024-10-15 15:29:00,1256.0,-2.8,-0.03
2024-10-24 15:26:00,long,1254.8,7,8784,closed,2024-10-31 14:15:00,1295.29,283.43,3.23
2024-11-07 15:26:00,short,1279.3,7,8955,closed,2024-11-07 15:29:00,1279.75,-3.15,-0.04
2024-11-14 15:26:00,long,1259.55,7,8817,closed,2024-12-18 14:11:00,1309.94,352.71,4.0
2024-11-18 15:26:00,short,1252.25,7,8766,closed,2024-11-18 15:29:00,1252.25,0.0,0.0
2024-11-25 15:26:00,short,1300.3,7,9102,closed,2024-11-25 15:29:00,1303.0,-18.9,-0.21
2024-12-09 15:26:00,long,1323.75,6,7942,closed,2024-12-18 14:11:00,1309.94,-82.88,-1.04
2024-12-10 15:26:00,long,1330.0,6,7980,closed,2024-12-18 14:11:00,1309.94,-120.38,-1.51
2024-12-11 15:26:00,long,1329.15,5,6646,closed,2024-12-18 14:11:00,1309.94,-96.07,-1.45
2024-12-12 15:26:00,short,1330.4,5,6652,closed,2024-12-12 15:29:00,1330.6,-1.0,-0.02
2024-12-17 15:26:00,short,1334.6,5,6673,closed,2024-12-17 15:29:00,1334.0,3.0,0.04
2024-12-20 15:26:00,short,1290.95,7,9037,closed,2024-12-20 15:29:00,1292.0,-7.35,-0.08
2024-12-30 15:26:00,long,1296.1,7,9073,open,,0.0,0.0,0.0
2024-12-31 15:26:00,long,1282.6,7,8978,open,,0.0,0.0,0.0
