TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-01 15:26:00,short,250.0,40,0.0,10000.0,282556,181498,2354.63,18149.8
2024-01-01 15:29:00,close,249.95,40,2.0,9998.0,0,0,0.0,0.0
2024-01-02 15:26:00,long,251.0,39,0.0,9789.0,281160,78170,2343.0,7817.0
2024-01-05 10:48:00,close,257.05,39,235.95,10024.95,0,0,0.0,0.0
2024-01-11 15:26:00,short,264.0,37,0.0,9768.0,651790,178722,5431.58,17872.2
2024-01-11 15:29:00,close,264.5,37,-18.5,9786.5,0,0,0.0,0.0
2024-01-12 15:26:00,short,259.4,38,0.0,9857.2,199640,113810,1663.67,11381.0
2024-01-12 15:29:00,close,259.05,38,13.3,9843.9,0,0,0.0,0.0
2024-01-18 15:26:00,short,260.5,38,0.0,9899.0,328086,110368,2734.05,11036.8
2024-01-18 15:29:00,close,260.65,38,-5.7,9904.7,0,0,0.0,0.0
2024-01-23 15:26:00,long,283.2,35,0.0,9912.0,2469114,617468,20575.95,61746.8
2024-01-24 09:18:00,close,277.81,35,-188.72,9723.28,0,0,0.0,0.0
2024-01-30 15:26:00,long,361.75,27,0.0,9767.25,2879546,900642,23996.22,90064.2
2024-01-31 09:20:00,close,358.9,27,-76.95,9690.3,0,0,0.0,0.0
2024-02-01 15:26:00,long,351.3,28,0.0,9836.4,2110100,991818,17584.17,99181.8
2024-02-02 15:26:00,short,355.0,25,0.0,8875.0,4019004,1838490,33491.7,183849.0
2024-02-02 09:17:00,close,341.34,28,-278.8,9557.6,0,0,0.0,0.0
2024-02-02 15:29:00,close,355.0,25,0.0,8875.0,0,0,0.0,0.0
2024-02-06 15:26:00,long,381.45,26,0.0,9917.7,1876996,476044,15641.63,47604.4
2024-02-07 09:40:00,close,374.42,26,-182.78,9734.92,0,0,0.0,0.0
2024-02-08 15:26:00,short,399.4,24,0.0,9585.6,1514162,618184,12618.02,61818.4
2024-02-08 15:29:00,close,400.6,24,-28.8,9614.4,0,0,0.0,0.0
2024-02-12 15:26:00,short,345.1,28,0.0,9662.8,2271508,841242,18929.23,84124.2
2024-02-12 15:29:00,close,346.5,28,-39.2,9702.0,0,0,0.0,0.0
2024-02-13 15:26:00,short,352.4,28,0.0,9867.2,1295048,351444,10792.07,35144.4
2024-02-13 15:29:00,close,352.6,28,-5.6,9872.8,0,0,0.0,0.0
2024-02-16 15:26:00,short,378.5,26,0.0,9841.0,1024582,399992,8538.18,39999.2
2024-02-16 15:29:00,close,377.5,26,26.0,9815.0,0,0,0.0,0.0
2024-02-19 15:26:00,long,376.55,26,0.0,9790.3,684466,238266,5703.88,23826.6
2024-02-20 15:26:00,long,372.5,24,0.0,8940.0,735230,308654,6126.92,30865.4
2024-02-20 15:19:00,close,371.46,26,-132.3,9658.0,0,0,0.0,0.0
2024-02-21 14:31:00,close,367.05,24,-130.85,8809.15,0,0,0.0,0.0
2024-02-22 15:26:00,long,375.0,26,0.0,9750.0,700418,184878,5836.82,18487.8
2024-02-23 15:26:00,short,379.2,23,0.0,8721.6,815874,298308,6798.95,29830.8
2024-02-23 15:18:00,close,377.82,26,73.19,9823.19,0,0,0.0,0.0
2024-02-23 15:29:00,close,378.5,23,16.1,8705.5,0,0,0.0,0.0
2024-02-29 15:26:00,long,397.3,24,0.0,9535.2,1758016,758708,14650.13,75870.8
2024-03-01 15:26:00,short,392.25,22,0.0,8629.5,941626,358478,7846.88,35847.8
2024-03-01 15:29:00,close,392.25,22,0.0,8629.5,0,0,0.0,0.0
2024-03-04 15:26:00,long,382.2,23,0.0,8790.6,781962,306888,6516.35,30688.8
2024-03-04 09:20:00,close,390.42,24,-165.0,9370.2,0,0,0.0,0.0
2024-03-06 15:26:00,long,368.85,24,0.0,8852.4,730808,281800,6090.07,28180.0
2024-03-06 09:34:00,close,376.55,23,-129.86,8660.74,0,0,0.0,0.0
2024-03-07 15:26:00,short,368.5,24,0.0,8844.0,357832,143560,2981.93,14356.0
2024-03-07 15:29:00,close,369.4,24,-21.6,8865.6,0,0,0.0,0.0
2024-03-11 15:26:00,long,359.4,25,0.0,8985.0,524644,186524,4372.03,18652.4
2024-03-11 10:47:00,close,364.91,24,-94.46,8757.94,0,0,0.0,0.0
2024-03-12 15:26:00,long,346.8,25,0.0,8670.0,715832,284162,5965.27,28416.2
2024-03-12 09:26:00,close,352.11,25,-182.25,8802.75,0,0,0.0,0.0
2024-03-13 09:32:00,close,337.51,25,-232.21,8437.79,0,0,0.0,0.0
2024-03-26 15:26:00,long,328.0,30,0.0,9840.0,603254,250746,5027.12,25074.6
2024-03-27 11:07:00,close,332.61,30,138.39,9978.39,0,0,0.0,0.0
2024-03-28 15:26:00,long,332.2,29,0.0,9633.8,563514,180868,4695.95,18086.8
2024-04-01 15:26:00,short,344.2,25,0.0,8605.0,990438,264976,8253.65,26497.6
2024-04-01 15:29:00,close,344.5,25,-7.5,8612.5,0,0,0.0,0.0
2024-04-02 15:01:00,close,345.42,29,383.29,10017.09,0,0,0.0,0.0
2024-04-03 15:26:00,long,353.5,27,0.0,9544.5,508660,244100,4238.83,24410.0
2024-04-04 15:26:00,short,346.6,25,0.0,8665.0,464860,257318,3873.83,25731.8
2024-04-04 10:04:00,close,351.19,27,-62.41,9482.09,0,0,0.0,0.0
2024-04-04 15:29:00,close,347.3,25,-17.5,8682.5,0,0,0.0,0.0
2024-04-08 15:26:00,short,346.75,28,0.0,9709.0,421964,193538,3516.37,19353.8
2024-04-08 15:29:00,close,347.25,28,-14.0,9723.0,0,0,0.0,0.0
2024-04-09 15:26:00,short,342.8,28,0.0,9598.4,414840,120394,3457.0,12039.4
2024-04-09 15:29:00,close,344.0,28,-33.6,9632.0,0,0,0.0,0.0
2024-04-10 15:26:00,long,341.0,28,0.0,9548.0,260228,100556,2168.57,10055.6
2024-04-12 15:26:00,long,347.7,25,0.0,8692.5,638678,215950,5322.32,21595.0
2024-04-15 15:26:00,long,332.85,24,0.0,7988.4,534720,154520,4456.0,15452.0
2024-04-15 09:15:00,close,330.0,28,-308.0,9240.0,0,0,0.0,0.0
2024-04-15 09:15:00,close,330.0,25,-442.5,8250.0,0,0,0.0,0.0
2024-04-16 15:26:00,long,330.75,27,0.0,8930.25,372556,114230,3104.63,11423.0
2024-04-18 15:26:00,short,327.0,24,0.0,7848.0,415588,206906,3463.23,20690.6
2024-04-18 15:13:00,close,326.89,24,-143.04,7845.36,0,0,0.0,0.0
2024-04-18 15:14:00,close,326.31,27,-119.93,8810.32,0,0,0.0,0.0
2024-04-18 15:29:00,close,328.45,24,-34.8,7882.8,0,0,0.0,0.0
2024-04-19 15:26:00,long,323.05,30,0.0,9691.5,381470,108896,3178.92,10889.6
2024-04-25 15:26:00,long,343.0,25,0.0,8575.0,364218,130340,3035.15,13034.0
2024-04-29 15:26:00,long,343.3,23,0.0,7895.9,266316,140126,2219.3,14012.6
2024-04-29 10:21:00,close,343.14,30,602.62,10294.12,0,0,0.0,0.0
2024-04-29 10:21:00,close,343.14,25,3.44,8578.44,0,0,0.0,0.0
2024-04-30 14:25:00,close,346.1,23,64.31,7960.21,0,0,0.0,0.0
2024-05-02 15:26:00,long,354.2,27,0.0,9563.4,830672,273986,6922.27,27398.6
2024-05-03 11:36:00,close,345.32,27,-239.76,9323.64,0,0,0.0,0.0
2024-05-07 15:26:00,short,327.5,29,0.0,9497.5,328730,205626,2739.42,20562.6
2024-05-07 15:29:00,close,328.0,29,-14.5,9512.0,0,0,0.0,0.0
2024-05-08 15:26:00,long,332.35,29,0.0,9638.15,226514,68394,1887.62,6839.4
2024-05-09 15:26:00,long,318.4,27,0.0,8596.8,317506,93236,2645.88,9323.6
2024-05-09 12:53:00,close,323.2,29,-265.23,9372.92,0,0,0.0,0.0
2024-05-10 15:26:00,long,322.3,27,0.0,8702.1,219502,65048,1829.18,6504.8
2024-05-10 09:37:00,close,313.12,27,-142.67,8454.13,0,0,0.0,0.0
2024-05-13 10:01:00,close,312.82,27,-255.83,8446.28,0,0,0.0,0.0
2024-05-14 15:26:00,long,336.2,29,0.0,9749.8,560320,185882,4669.33,18588.2
2024-05-15 15:26:00,long,331.5,26,0.0,8619.0,284908,87968,2374.23,8796.8
2024-05-16 15:26:00,long,331.4,23,0.0,7622.2,459576,136368,3829.8,13636.8
2024-05-16 13:38:00,close,329.32,29,-199.66,9550.14,0,0,0.0,0.0
2024-05-16 13:38:00,close,328.59,26,-75.73,8543.28,0,0,0.0,0.0
2024-05-22 15:26:00,short,366.0,24,0.0,8784.0,453556,179184,3779.63,17918.4
2024-05-22 09:35:00,close,367.14,23,822.13,8444.33,0,0,0.0,0.0
2024-05-22 15:29:00,close,365.95,24,1.2,8782.8,0,0,0.0,0.0
2024-05-23 15:26:00,long,375.4,26,0.0,9760.4,830400,274276,6920.0,27427.6
2024-05-27 15:26:00,long,367.5,24,0.0,8820.0,485138,122954,4042.82,12295.4
2024-05-27 10:02:00,close,364.43,26,-285.25,9475.15,0,0,0.0,0.0
2024-05-28 09:35:00,close,358.46,24,-216.88,8603.12,0,0,0.0,0.0
2024-05-30 15:26:00,long,350.1,27,0.0,9452.7,261894,117628,2182.45,11762.8
2024-05-31 10:00:00,close,344.01,27,-164.42,9288.28,0,0,0.0,0.0
2024-06-12 15:26:00,short,340.0,28,0.0,9520.0,377882,147846,3149.02,14784.6
2024-06-12 15:29:00,close,340.6,28,-16.8,9536.8,0,0,0.0,0.0
2024-06-13 15:26:00,short,339.2,28,0.0,9497.6,239334,118872,1994.45,11887.2
2024-06-13 15:29:00,close,339.0,28,5.6,9492.0,0,0,0.0,0.0
2024-06-14 15:26:00,short,352.1,27,0.0,9506.7,1163426,332520,9695.22,33252.0
2024-06-14 15:29:00,close,352.25,27,-4.05,9510.75,0,0,0.0,0.0
2024-06-18 15:26:00,short,354.65,27,0.0,9575.55,738256,253526,6152.13,25352.6
2024-06-18 15:29:00,close,354.75,27,-2.7,9578.25,0,0,0.0,0.0
2024-06-19 15:26:00,long,347.5,28,0.0,9730.0,429546,174194,3579.55,17419.4
2024-06-20 15:26:00,long,351.3,24,0.0,8431.2,418506,160424,3487.55,16042.4
2024-06-21 15:26:00,long,354.7,22,0.0,7803.4,873072,230784,7275.6,23078.4
2024-06-21 13:07:00,close,355.99,28,237.72,9967.72,0,0,0.0,0.0
2024-06-21 13:07:00,close,355.99,24,112.56,8543.76,0,0,0.0,0.0
2024-06-24 15:26:00,short,353.0,25,0.0,8825.0,542354,162926,4519.62,16292.6
2024-06-24 15:29:00,close,354.25,25,-31.25,8856.25,0,0,0.0,0.0
2024-06-25 09:35:00,close,351.53,22,-69.78,7733.62,0,0,0.0,0.0
2024-06-27 15:26:00,long,347.95,28,0.0,9742.6,391340,103958,3261.17,10395.8
2024-07-01 15:26:00,long,346.0,25,0.0,8650.0,243802,77348,2031.68,7734.8
2024-07-02 15:26:00,long,350.35,22,0.0,7707.7,343022,101378,2858.52,10137.8
2024-07-04 15:26:00,long,376.75,18,0.0,6781.5,5931656,2048552,49430.47,204855.2
2024-07-05 15:16:00,close,379.51,28,883.75,10626.35,0,0,0.0,0.0
2024-07-05 15:16:00,close,379.51,25,837.81,9487.81,0,0,0.0,0.0
2024-07-05 15:16:00,close,379.51,22,641.57,8349.28,0,0,0.0,0.0
2024-07-05 15:16:00,close,379.51,18,49.72,6831.22,0,0,0.0,0.0
2024-07-09 15:26:00,long,371.9,26,0.0,9669.4,1076348,428982,8969.57,42898.2
2024-07-10 15:26:00,short,364.3,24,0.0,8743.2,891928,256884,7432.73,25688.4
2024-07-10 10:10:00,close,365.2,26,-174.07,9495.33,0,0,0.0,0.0
2024-07-10 15:29:00,close,364.9,24,-14.4,8757.6,0,0,0.0,0.0
2024-07-15 15:26:00,long,380.7,26,0.0,9898.2,562884,215806,4690.7,21580.6
2024-07-16 15:26:00,long,371.75,24,0.0,8922.0,685646,237860,5713.72,23786.0
2024-07-16 14:07:00,close,372.96,26,-201.11,9697.09,0,0,0.0,0.0
2024-07-18 15:26:00,long,366.15,24,0.0,8787.6,1052156,300798,8767.97,30079.8
2024-07-18 09:35:00,close,361.81,24,-238.56,8683.44,0,0,0.0,0.0
2024-07-19 10:06:00,close,364.72,24,-34.32,8753.28,0,0,0.0,0.0
2024-07-22 15:26:00,short,365.15,27,0.0,9859.05,368348,93546,3069.57,9354.6
2024-07-22 15:29:00,close,364.1,27,28.35,9830.7,0,0,0.0,0.0
2024-07-24 15:26:00,long,346.3,28,0.0,9696.4,544448,151264,4537.07,15126.4
2024-07-25 13:21:00,close,341.68,28,-129.29,9567.11,0,0,0.0,0.0
2024-08-08 15:26:00,long,345.6,28,0.0,9676.8,374546,100312,3121.22,10031.2
2024-08-09 15:26:00,short,343.0,26,0.0,8918.0,358040,92754,2983.67,9275.4
2024-08-09 15:29:00,close,341.85,26,29.9,8888.1,0,0,0.0,0.0
