EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,long,854.5,11,9400,closed,2024-01-08 11:54:00,867.87,147.1,1.56
2024-01-08 15:26:00,short,873.7,10,8737,closed,2024-01-08 15:29:00,875.65,-19.5,-0.22
2024-01-11 15:26:00,long,881.55,11,9697,closed,2024-01-17 13:17:00,870.53,-121.19,-1.25
2024-01-20 15:26:00,short,874.8,11,9623,closed,2024-01-20 15:29:00,873.45,14.85,0.15
2024-01-29 15:26:00,long,900.5,11,9906,closed,2024-02-01 10:16:00,876.55,-263.45,-2.66
2024-01-31 15:26:00,short,909.0,9,8181,closed,2024-01-31 15:29:00,907.7,11.7,0.14
2024-02-01 15:26:00,long,891.35,10,8914,closed,2024-02-08 14:04:00,854.76,-365.88,-4.1
2024-02-02 15:26:00,long,886.5,10,8865,closed,2024-02-09 09:26:00,852.72,-337.8,-3.81
2024-02-07 15:26:00,long,878.25,9,7904,closed,2024-02-09 09:53:00,839.23,-351.18,-4.44
2024-02-13 15:26:00,short,834.0,11,9174,closed,2024-02-13 15:29:00,830.65,36.85,0.4
2024-02-14 15:26:00,long,798.35,12,9580,closed,2024-02-15 09:41:00,807.97,115.5,1.21
2024-02-16 15:26:00,long,871.3,11,9584,closed,2024-03-13 09:27:00,925.3,594.0,6.2
2024-02-19 15:26:00,long,862.95,10,8630,closed,2024-03-13 09:27:00,925.3,623.5,7.23
2024-02-20 15:26:00,long,891.85,9,8027,closed,2024-03-13 09:27:00,925.3,301.05,3.75
2024-02-22 15:26:00,long,914.85,7,6404,closed,2024-03-13 09:27:00,925.3,73.15,1.14
2024-02-27 15:26:00,long,927.05,7,6489,closed,2024-03-13 09:27:00,925.3,-12.25,-0.19
2024-03-04 15:26:00,long,923.35,6,5540,closed,2024-03-13 09:27:00,925.3,11.7,0.21
2024-03-05 15:26:00,short,916.8,5,4584,closed,2024-03-05 15:29:00,914.55,11.25,0.25
2024-03-06 15:26:00,long,928.0,5,4640,closed,2024-03-13 09:27:00,925.3,-13.5,-0.29
2024-03-11 15:26:00,long,956.15,5,4781,closed,2024-03-13 09:31:00,919.46,-183.46,-3.84
2024-03-14 15:26:00,short,937.5,10,9375,closed,2024-03-14 15:29:00,936.8,7.0,0.07
2024-03-21 15:26:00,short,946.1,10,9461,closed,2024-03-21 15:29:00,946.0,1.0,0.01
2024-04-01 15:26:00,long,984.95,10,9850,closed,2024-05-06 09:51:00,1043.1,581.5,5.9
2024-04-03 15:26:00,long,993.95,9,8946,closed,2024-05-06 09:51:00,1043.1,442.35,4.94
2024-04-12 15:26:00,long,1053.1,7,7372,closed,2024-05-06 09:51:00,1043.1,-70.0,-0.95
2024-04-16 15:26:00,short,1059.5,6,6357,closed,2024-04-16 15:29:00,1060.0,-3.0,-0.05
2024-04-22 15:26:00,long,1041.75,7,7292,closed,2024-05-06 09:51:00,1043.1,9.45,0.13
2024-04-24 15:26:00,long,1073.8,6,6443,closed,2024-05-06 09:51:00,1043.1,-184.2,-2.86
2024-05-02 15:26:00,long,1062.15,5,5311,closed,2024-05-07 10:20:00,1017.73,-222.08,-4.18
2024-05-09 15:26:00,long,1002.0,10,10020,closed,2024-05-15 11:47:00,988.66,-133.35,-1.33
2024-05-14 15:26:00,short,1011.45,8,8092,closed,2024-05-14 15:29:00,1010.65,6.4,0.08
2024-05-15 15:26:00,long,1002.55,9,9023,closed,2024-05-24 09:16:00,1000.35,-19.8,-0.22
2024-05-17 15:26:00,long,1018.1,9,9163,closed,2024-05-24 09:16:00,1000.35,-159.75,-1.74
2024-05-23 15:26:00,long,1027.7,8,8222,closed,2024-06-04 09:50:00,1139.05,890.8,10.83
2024-05-27 15:26:00,long,1119.25,8,8954,closed,2024-06-04 09:50:00,1139.05,158.4,1.77
2024-05-29 15:26:00,short,1177.05,7,8239,closed,2024-05-29 15:29:00,1180.0,-20.65,-0.25
2024-06-14 15:26:00,long,1236.2,8,9890,closed,2024-06-26 09:18:00,1200.8,-283.2,-2.86
2024-06-19 15:26:00,long,1239.3,7,8675,closed,2024-07-22 09:15:00,1355.65,814.45,9.39
2024-06-20 15:26:00,short,1241.35,6,7448,closed,2024-06-20 15:29:00,1239.95,8.4,0.11
2024-06-21 15:26:00,short,1230.55,6,7383,closed,2024-06-21 15:29:00,1228.35,13.2,0.18
2024-07-08 15:26:00,long,1358.4,6,8150,closed,2024-07-22 09:15:00,1355.65,-16.5,-0.2
2024-07-10 15:26:00,short,1378.6,6,8272,closed,2024-07-10 15:29:00,1382.0,-20.4,-0.25
2024-07-11 15:26:00,long,1384.55,6,8307,closed,2024-07-22 09:15:00,1355.65,-173.4,-2.09
2024-07-18 15:26:00,short,1404.0,5,7020,closed,2024-07-18 15:29:00,1403.0,5.0,0.07
2024-07-24 15:26:00,short,1422.65,7,9959,closed,2024-07-24 15:29:00,1428.55,-41.3,-0.41
2024-07-26 15:26:00,short,1435.1,7,10046,closed,2024-07-26 15:29:00,1443.6,-59.5,-0.59
2024-08-05 15:26:00,long,1419.95,7,9940,closed,2024-08-16 09:16:00,1444.0,168.35,1.69
2024-08-21 15:26:00,long,1679.2,6,10075,closed,2024-09-18 10:12:00,1681.12,11.52,0.11
2024-08-23 15:26:00,short,1685.95,5,8430,closed,2024-08-23 15:29:00,1686.25,-1.5,-0.02
2024-08-26 15:26:00,short,1693.9,5,8470,closed,2024-08-26 15:29:00,1694.0,-0.5,-0.01
2024-08-27 15:26:00,short,1704.5,5,8522,closed,2024-08-27 15:29:00,1705.0,-2.5,-0.03
2024-08-29 15:26:00,short,1690.0,5,8450,closed,2024-08-29 15:29:00,1686.05,19.75,0.23
2024-08-30 15:26:00,short,1731.0,5,8655,closed,2024-08-30 15:29:00,1732.9,-9.5,-0.11
2024-09-03 15:26:00,long,1689.85,5,8449,closed,2024-09-18 10:12:00,1681.12,-43.65,-0.52
2024-09-04 15:26:00,short,1685.3,4,6741,closed,2024-09-04 15:29:00,1690.2,-19.6,-0.29
2024-09-10 15:26:00,short,1727.0,4,6908,closed,2024-09-10 15:29:00,1724.95,8.2,0.12
2024-09-11 15:26:00,long,1728.35,4,6913,closed,2024-09-18 10:12:00,1681.12,-188.92,-2.73
2024-09-16 15:26:00,long,1743.0,4,6972,closed,2024-09-18 12:41:00,1659.41,-334.35,-4.8
2024-09-17 15:26:00,long,1715.9,4,6864,closed,2024-09-18 13:39:00,1633.48,-329.69,-4.8
2024-09-23 15:26:00,long,1712.3,5,8562,closed,2024-10-03 09:15:00,1640.32,-359.91,-4.2
2024-09-24 15:26:00,long,1698.8,5,8494,closed,2024-10-17 14:14:00,1739.4,203.01,2.39
2024-09-25 15:26:00,long,1688.65,4,6755,closed,2024-10-17 14:14:00,1739.4,203.01,3.01
2024-10-03 15:26:00,long,1643.6,4,6574,closed,2024-10-17 14:14:00,1739.4,383.21,5.83
2024-10-07 15:26:00,long,1676.45,4,6706,closed,2024-10-17 14:14:00,1739.4,251.81,3.76
2024-10-11 15:26:00,long,1792.5,4,7170,closed,2024-10-17 14:14:00,1739.4,-212.39,-2.96
2024-10-18 15:26:00,long,1737.0,5,8685,closed,2024-10-24 09:15:00,1669.01,-339.96,-3.91
2024-10-22 15:26:00,long,1687.4,5,8437,closed,2024-10-29 10:29:00,1638.18,-246.1,-2.92
2024-10-24 15:26:00,short,1676.5,5,8382,closed,2024-10-24 15:29:00,1672.9,18.0,0.21
2024-11-04 15:26:00,long,1706.2,5,8531,closed,2024-11-07 09:59:00,1687.91,-91.44,-1.07
2024-11-14 15:26:00,long,1543.9,6,9263,closed,2024-11-18 09:47:00,1517.2,-160.22,-1.73
2024-11-18 15:26:00,short,1481.35,6,8888,closed,2024-11-18 15:29:00,1481.1,1.5,0.02
2024-11-25 15:26:00,long,1489.35,6,8936,closed,2024-12-13 09:19:00,1497.68,49.95,0.56
2024-11-27 15:26:00,long,1523.0,6,9138,closed,2024-12-13 09:19:00,1497.68,-151.95,-1.66
2024-11-29 15:26:00,short,1529.75,5,7649,closed,2024-11-29 15:29:00,1528.1,8.25,0.11
2024-12-02 15:26:00,long,1547.25,5,7736,closed,2024-12-13 09:19:00,1497.68,-247.88,-3.2
2024-12-03 15:26:00,short,1557.9,4,6232,closed,2024-12-03 15:29:00,1556.1,7.2,0.12
2024-12-09 15:26:00,long,1519.2,4,6077,closed,2024-12-13 09:19:00,1497.68,-86.1,-1.42
2024-12-10 15:26:00,long,1544.3,4,6177,closed,2024-12-13 09:33:00,1472.5,-287.2,-4.65
2024-12-11 15:26:00,short,1525.35,4,6101,closed,2024-12-11 15:29:00,1527.75,-9.6,-0.16
2024-12-12 15:26:00,short,1533.4,4,6134,closed,2024-12-12 15:29:00,1530.1,13.2,0.22
2024-12-16 15:26:00,short,1550.15,6,9301,closed,2024-12-16 15:29:00,1548.7,8.7,0.09
2024-12-18 15:26:00,short,1522.1,6,9133,closed,2024-12-18 15:29:00,1525.0,-17.4,-0.19
2024-12-19 15:26:00,long,1544.5,6,9267,open,,0.0,0.0,0.0
2024-12-20 15:26:00,long,1545.15,5,7726,open,,0.0,0.0,0.0
