EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,2931.55,3,8795,closed,2024-01-23 09:56:00,2975.4,131.55,1.5
2024-01-03 15:26:00,short,2978.4,3,8935,closed,2024-01-03 15:29:00,2985.7,-21.9,-0.25
2024-01-04 15:26:00,short,2996.45,3,8989,closed,2024-01-04 15:29:00,2991.5,14.85,0.17
2024-01-09 15:26:00,short,3016.45,3,9049,closed,2024-01-09 15:29:00,3017.0,-1.65,-0.02
2024-01-20 15:26:00,long,3047.4,2,6095,closed,2024-01-23 14:37:00,2914.6,-265.6,-4.36
2024-01-25 15:26:00,long,2883.15,3,8649,closed,2024-02-06 09:29:00,3135.0,755.55,8.74
2024-02-02 15:26:00,long,3147.4,2,6295,closed,2024-02-06 09:29:00,3135.0,-24.8,-0.39
2024-02-15 15:26:00,long,3031.2,3,9094,closed,2024-03-06 11:37:00,3054.58,70.15,0.77
2024-02-26 15:26:00,long,3185.0,2,6370,closed,2024-03-06 11:37:00,3054.25,-261.5,-4.11
2024-02-29 15:26:00,long,3159.2,2,6318,closed,2024-03-06 11:37:00,3054.25,-209.9,-3.32
2024-03-05 15:26:00,long,3189.05,2,6378,closed,2024-03-06 12:09:00,3037.05,-303.99,-4.77
2024-03-14 15:26:00,short,3174.7,3,9524,closed,2024-03-14 15:29:00,3172.25,7.35,0.08
2024-03-15 15:26:00,short,3204.6,3,9614,closed,2024-03-15 15:29:00,3173.95,91.95,0.96
2024-03-21 15:26:00,long,3289.25,3,9868,closed,2024-04-04 11:56:00,3462.75,520.5,5.27
2024-04-02 15:26:00,short,3568.4,2,7137,closed,2024-04-02 15:29:00,3567.0,2.8,0.04
2024-04-05 15:26:00,long,3507.2,2,7014,closed,2024-04-15 09:21:00,3638.93,263.45,3.76
2024-04-12 15:26:00,short,3672.55,2,7345,closed,2024-04-12 15:29:00,3679.95,-14.8,-0.2
2024-04-19 15:26:00,short,3558.95,2,7118,closed,2024-04-19 15:29:00,3565.0,-12.1,-0.17
2024-04-22 15:26:00,short,3706.95,2,7414,closed,2024-04-22 15:29:00,3715.0,-16.1,-0.22
2024-04-23 15:26:00,short,3699.8,2,7400,closed,2024-04-23 15:29:00,3711.55,-23.5,-0.32
2024-04-24 15:26:00,long,3750.0,2,7500,closed,2024-05-06 09:43:00,3970.14,440.29,5.87
