EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-09 15:26:00,long,1531.05,6,9186,closed,2024-02-14 09:21:00,1646.35,691.8,7.53
2024-01-12 15:26:00,long,1614.1,5,8070,closed,2024-02-14 09:21:00,1646.35,161.25,2.0
2024-01-16 15:26:00,short,1627.65,5,8138,closed,2024-01-16 15:29:00,1625.0,13.25,0.16
2024-01-19 15:26:00,long,1660.2,4,6641,closed,2024-02-14 09:21:00,1646.35,-55.4,-0.83
2024-01-24 15:26:00,short,1675.95,4,6704,closed,2024-01-24 15:29:00,1671.0,19.8,0.3
2024-01-25 15:26:00,long,1667.7,4,6671,closed,2024-02-14 09:21:00,1646.35,-85.4,-1.28
2024-01-29 15:26:00,long,1655.0,4,6620,closed,2024-02-14 09:21:00,1646.35,-34.6,-0.52
2024-01-31 15:26:00,long,1664.7,3,4994,closed,2024-02-14 09:21:00,1646.35,-55.05,-1.1
2024-02-01 15:26:00,long,1657.25,3,4972,closed,2024-02-14 09:21:00,1646.35,-32.7,-0.66
2024-02-07 15:26:00,long,1695.85,3,5088,closed,2024-03-05 09:30:00,1625.92,-209.77,-4.12
2024-02-08 15:26:00,short,1692.4,2,3385,closed,2024-02-08 15:29:00,1693.0,-1.2,-0.04
2024-02-20 15:26:00,short,1687.9,5,8440,closed,2024-02-20 15:29:00,1688.8,-4.5,-0.05
2024-02-29 15:26:00,short,1676.1,5,8380,closed,2024-02-29 15:29:00,1674.25,9.25,0.11
2024-03-04 15:26:00,short,1636.4,5,8182,closed,2024-03-04 15:29:00,1634.4,10.0,0.12
2024-03-05 15:26:00,short,1605.0,5,8025,closed,2024-03-05 15:29:00,1604.0,5.0,0.06
2024-03-11 15:26:00,long,1598.75,6,9592,closed,2024-03-19 12:00:00,1574.86,-143.33,-1.49
2024-03-12 15:26:00,short,1612.05,5,8060,closed,2024-03-12 15:29:00,1614.4,-11.75,-0.15
