EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-04 15:26:00,short,317.45,31,9841,closed,2024-01-04 15:29:00,317.0,13.95,0.14
2024-01-08 15:26:00,long,316.7,31,9818,closed,2024-01-18 09:33:00,305.38,-351.0,-3.58
2024-01-17 15:26:00,short,309.75,29,8983,closed,2024-01-17 15:29:00,309.6,4.35,0.05
2024-01-20 15:26:00,long,308.95,32,9886,closed,2024-01-24 09:19:00,299.54,-301.28,-3.05
2024-01-25 15:26:00,short,315.0,31,9765,closed,2024-01-25 15:29:00,314.85,4.65,0.05
2024-02-14 15:26:00,long,328.0,30,9840,closed,2024-02-22 10:57:00,330.65,79.42,0.81
2024-02-15 15:26:00,long,340.45,26,8852,closed,2024-02-22 10:57:00,330.65,-254.87,-2.88
2024-02-16 15:26:00,short,337.0,23,7751,closed,2024-02-16 15:29:00,337.0,0.0,0.0
2024-02-20 15:26:00,short,345.7,23,7951,closed,2024-02-20 15:29:00,346.0,-6.9,-0.09
2024-02-29 15:26:00,short,335.85,29,9740,closed,2024-02-29 15:29:00,335.55,8.7,0.09
2024-03-06 15:26:00,short,352.0,28,9856,closed,2024-03-06 15:29:00,351.2,22.4,0.23
2024-03-07 15:26:00,short,352.2,28,9862,closed,2024-03-07 15:29:00,352.2,0.0,0.0
2024-03-11 15:26:00,long,347.4,28,9727,closed,2024-03-13 09:55:00,331.98,-431.83,-4.44
2024-03-14 15:26:00,long,322.45,30,9674,closed,2024-03-15 10:40:00,309.75,-381.07,-3.94
2024-03-15 15:26:00,short,316.4,28,8859,closed,2024-03-15 15:29:00,315.65,21.0,0.24
2024-03-27 15:26:00,long,329.1,29,9544,closed,2024-04-15 09:15:00,355.77,773.57,8.11
2024-04-02 15:26:00,short,344.75,25,8619,closed,2024-04-02 15:29:00,345.4,-16.25,-0.19
2024-04-03 15:26:00,long,352.85,25,8821,closed,2024-04-15 09:15:00,355.77,73.12,0.83
2024-04-05 15:26:00,long,355.25,22,7816,closed,2024-04-15 09:15:00,355.77,11.55,0.15
2024-04-10 15:26:00,long,363.5,19,6906,closed,2024-04-15 09:15:00,355.77,-146.78,-2.13
2024-04-24 15:26:00,long,352.0,28,9856,closed,2024-05-03 14:07:00,361.38,262.64,2.66
2024-05-08 15:26:00,short,355.0,27,9585,closed,2024-05-08 15:29:00,355.3,-8.1,-0.08
2024-05-10 15:26:00,short,355.15,27,9589,closed,2024-05-10 15:29:00,354.4,20.25,0.21
2024-05-28 15:26:00,short,364.95,27,9854,closed,2024-05-28 15:29:00,364.5,12.15,0.12
2024-05-30 15:26:00,long,361.7,27,9766,closed,2024-06-04 09:15:00,373.54,319.68,3.27
2024-05-31 15:26:00,short,359.0,24,8616,closed,2024-05-31 15:29:00,359.65,-15.6,-0.18
2024-06-13 15:26:00,short,369.7,26,9612,closed,2024-06-13 15:29:00,369.95,-6.5,-0.07
2024-06-24 15:26:00,short,362.8,27,9796,closed,2024-06-24 15:29:00,364.0,-32.4,-0.33
2024-06-25 15:26:00,long,361.5,27,9760,closed,2024-07-01 09:22:00,370.02,230.17,2.36
2024-06-26 15:26:00,short,365.0,24,8760,closed,2024-06-26 15:29:00,364.9,2.4,0.03
2024-06-27 15:26:00,long,377.45,23,8681,closed,2024-07-01 09:22:00,370.02,-170.78,-1.97
2024-06-28 15:26:00,long,379.35,21,7966,closed,2024-07-19 13:22:00,369.5,-206.8,-2.6
2024-07-08 15:26:00,long,378.35,24,9080,closed,2024-07-19 13:22:00,369.5,-212.34,-2.34
2024-07-15 15:26:00,short,385.7,21,8100,closed,2024-07-15 15:29:00,385.55,3.15,0.04
2024-07-16 15:26:00,long,380.2,21,7984,closed,2024-07-19 15:13:00,363.75,-345.35,-4.33
2024-07-19 15:26:00,short,363.7,20,7274,closed,2024-07-19 15:29:00,364.9,-24.0,-0.33
2024-07-31 15:26:00,long,415.6,23,9559,closed,2024-08-05 11:24:00,404.99,-244.15,-2.55
2024-08-09 15:26:00,short,411.2,24,9869,closed,2024-08-09 15:29:00,410.2,24.0,0.24
2024-08-19 15:26:00,long,404.4,24,9706,closed,2024-09-06 09:58:00,398.24,-147.84,-1.52
2024-08-26 15:26:00,short,414.8,21,8711,closed,2024-08-26 15:29:00,414.8,0.0,0.0
2024-08-30 15:26:00,short,416.5,21,8746,closed,2024-08-30 15:29:00,417.2,-14.7,-0.17
2024-09-04 15:26:00,short,405.45,21,8514,closed,2024-09-04 15:29:00,406.0,-11.55,-0.14
2024-09-05 15:26:00,long,403.35,22,8874,closed,2024-10-07 09:50:00,426.03,498.9,5.62
2024-09-13 15:26:00,short,401.25,22,8828,closed,2024-09-13 15:29:00,401.45,-4.4,-0.05
2024-09-25 15:26:00,long,436.3,20,8726,closed,2024-10-07 09:50:00,426.03,-205.45,-2.35
2024-09-27 15:26:00,short,440.35,18,7926,closed,2024-09-27 15:29:00,440.5,-2.7,-0.03
2024-10-01 15:26:00,long,439.85,18,7917,closed,2024-10-07 10:39:00,420.38,-350.55,-4.43
2024-10-14 15:26:00,long,425.1,23,9777,closed,2024-10-23 09:33:00,407.93,-394.91,-4.04
2024-10-15 15:26:00,short,426.65,20,8533,closed,2024-10-15 15:29:00,425.8,17.0,0.2
2024-10-22 15:26:00,long,415.0,21,8715,closed,2024-10-25 09:38:00,395.1,-417.8,-4.79
2024-10-24 15:26:00,short,411.3,21,8637,closed,2024-10-24 15:29:00,411.6,-6.3,-0.07
2024-10-30 15:26:00,long,408.4,23,9393,closed,2024-11-11 14:14:00,393.58,-340.74,-3.63
2024-11-11 15:26:00,short,393.0,22,8646,closed,2024-11-11 15:29:00,393.15,-3.3,-0.04
2024-11-12 15:26:00,long,380.2,25,9505,closed,2024-11-18 09:30:00,368.22,-299.5,-3.15
2024-11-25 15:26:00,short,368.5,26,9581,closed,2024-11-25 15:29:00,369.05,-14.3,-0.15
2024-12-06 15:26:00,short,369.5,26,9607,closed,2024-12-06 15:29:00,369.75,-6.5,-0.07
2024-12-10 15:26:00,long,369.3,26,9602,closed,2024-12-13 09:27:00,352.21,-444.28,-4.63
2024-12-11 15:26:00,long,365.75,23,8412,closed,2024-12-13 10:21:00,348.65,-393.3,-4.68
2024-12-20 15:26:00,long,333.1,28,9327,open,,0.0,0.0,0.0
2024-12-30 15:26:00,long,329.1,26,8557,open,,0.0,0.0,0.0
