EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-17 15:26:00,short,1298.9,7,9092,closed,2024-01-17 15:29:00,1298.0,6.3,0.07
2024-01-19 15:26:00,long,1336.95,7,9359,closed,2024-03-13 13:39:00,1545.65,1460.9,15.61
2024-01-23 15:26:00,long,1383.95,6,8304,closed,2024-03-13 13:39:00,1545.65,970.2,11.68
2024-01-29 15:26:00,short,1397.7,5,6988,closed,2024-01-29 15:29:00,1394.85,14.25,0.2
2024-02-06 15:26:00,short,1476.75,5,7384,closed,2024-02-06 15:29:00,1472.1,23.25,0.31
2024-02-08 15:26:00,long,1500.8,5,7504,closed,2024-03-13 13:39:00,1545.65,224.25,2.99
2024-02-14 15:26:00,long,1523.0,4,6092,closed,2024-03-13 13:39:00,1545.65,90.6,1.49
2024-02-15 15:26:00,long,1510.95,4,6044,closed,2024-03-13 13:39:00,1545.65,138.8,2.3
2024-02-21 15:26:00,short,1543.15,4,6173,closed,2024-02-21 15:29:00,1545.0,-7.4,-0.12
2024-02-27 15:26:00,long,1582.85,3,4749,closed,2024-03-13 13:39:00,1545.65,-111.6,-2.35
2024-02-29 15:26:00,short,1582.95,3,4749,closed,2024-02-29 15:29:00,1575.6,22.05,0.46
2024-03-05 15:26:00,short,1572.6,3,4718,closed,2024-03-05 15:29:00,1573.45,-2.55,-0.05
2024-03-11 15:26:00,short,1590.6,3,4772,closed,2024-03-11 15:29:00,1592.15,-4.65,-0.1
2024-03-12 15:26:00,long,1583.8,3,4751,closed,2024-04-12 10:33:00,1556.91,-80.68,-1.7
2024-03-15 15:26:00,long,1553.3,6,9320,closed,2024-04-12 10:33:00,1556.91,21.64,0.23
2024-03-27 15:26:00,short,1601.65,5,8008,closed,2024-03-27 15:29:00,1608.45,-34.0,-0.42
2024-04-03 15:26:00,short,1621.9,5,8110,closed,2024-04-03 15:29:00,1620.9,5.0,0.06
2024-04-08 15:26:00,long,1600.95,5,8005,closed,2024-04-15 09:15:00,1517.6,-416.75,-5.21
2024-04-10 15:26:00,long,1604.9,5,8024,closed,2024-04-15 09:15:00,1517.6,-436.5,-5.44
2024-04-12 15:26:00,long,1540.5,4,6162,closed,2024-04-23 14:09:00,1484.33,-224.69,-3.65
2024-04-22 15:26:00,long,1543.6,6,9262,closed,2024-04-23 14:09:00,1484.33,-355.64,-3.84
2024-04-25 15:26:00,long,1522.85,6,9137,closed,2024-05-23 09:16:00,1485.8,-222.3,-2.43
2024-04-30 15:26:00,short,1498.85,6,8993,closed,2024-04-30 15:29:00,1498.6,1.5,0.02
2024-05-07 15:26:00,long,1514.95,6,9090,closed,2024-05-23 09:16:00,1485.8,-174.9,-1.92
2024-05-08 15:26:00,long,1523.25,5,7616,closed,2024-05-23 09:16:00,1485.8,-187.25,-2.46
2024-05-17 15:26:00,long,1532.3,4,6129,closed,2024-05-23 09:16:00,1485.8,-186.0,-3.03
2024-05-22 15:26:00,long,1555.25,4,6221,closed,2024-05-23 09:16:00,1485.8,-277.8,-4.47
2024-05-31 15:26:00,short,1461.4,6,8768,closed,2024-05-31 15:29:00,1463.0,-9.6,-0.11
2024-06-03 15:26:00,short,1451.95,6,8712,closed,2024-06-03 15:29:00,1455.0,-18.3,-0.21
2024-06-04 15:26:00,long,1432.75,6,8596,closed,2024-10-23 13:31:00,1862.33,2577.49,29.98
2024-06-10 15:26:00,short,1513.75,6,9082,closed,2024-06-10 15:29:00,1510.0,22.5,0.25
2024-06-11 15:26:00,long,1500.75,6,9004,closed,2024-10-23 13:31:00,1862.33,2169.49,24.09
2024-06-14 15:26:00,short,1515.9,5,7580,closed,2024-06-14 15:29:00,1515.0,4.5,0.06
2024-06-21 15:26:00,short,1465.9,5,7330,closed,2024-06-21 15:29:00,1466.85,-4.75,-0.06
2024-06-24 15:26:00,long,1494.25,5,7471,closed,2024-10-23 13:31:00,1862.33,1840.41,24.63
2024-06-25 15:26:00,long,1506.1,4,6024,closed,2024-10-23 13:31:00,1862.33,1424.93,23.65
2024-06-26 15:26:00,long,1525.0,4,6100,closed,2024-10-23 13:31:00,1862.33,1349.33,22.12
2024-06-28 15:26:00,short,1517.6,4,6070,closed,2024-06-28 15:29:00,1519.8,-8.8,-0.14
2024-07-03 15:26:00,short,1534.95,4,6140,closed,2024-07-03 15:29:00,1530.0,19.8,0.32
2024-07-10 15:26:00,short,1596.0,3,4788,closed,2024-07-10 15:29:00,1594.0,6.0,0.13
2024-07-16 15:26:00,short,1579.2,3,4738,closed,2024-07-16 15:29:00,1576.0,9.6,0.2
2024-07-22 15:26:00,long,1588.15,3,4764,closed,2024-10-23 13:31:00,1862.33,822.55,17.26
2024-07-31 15:26:00,short,1716.9,3,5151,closed,2024-07-31 15:29:00,1717.5,-1.8,-0.03
2024-08-06 15:26:00,long,1707.9,3,5124,closed,2024-10-23 13:31:00,1862.33,463.3,9.04
2024-08-09 15:26:00,short,1736.45,3,5209,closed,2024-08-09 15:29:00,1735.25,3.6,0.07
2024-08-14 15:26:00,short,1741.55,3,5225,closed,2024-08-14 15:29:00,1740.8,2.25,0.04
2024-08-21 15:26:00,short,1765.05,3,5295,closed,2024-08-21 15:29:00,1764.0,3.15,0.06
2024-08-26 15:26:00,long,1770.95,3,5313,closed,2024-10-23 13:31:00,1862.33,274.15,5.16
2024-08-27 15:26:00,short,1789.0,2,3578,closed,2024-08-27 15:29:00,1789.0,0.0,0.0
2024-08-29 15:26:00,short,1797.7,2,3595,closed,2024-08-29 15:29:00,1799.8,-4.2,-0.12
2024-08-30 15:26:00,short,1822.75,2,3646,closed,2024-08-30 15:29:00,1823.35,-1.2,-0.03
2024-09-02 15:26:00,long,1816.75,2,3634,closed,2024-10-23 13:31:00,1862.33,91.16,2.51
2024-09-05 15:26:00,short,1822.85,2,3646,closed,2024-09-05 15:29:00,1825.05,-4.4,-0.12
2024-09-11 15:26:00,short,1848.2,2,3696,closed,2024-09-11 15:29:00,1850.9,-5.4,-0.15
2024-09-13 15:26:00,short,1854.85,2,3710,closed,2024-09-13 15:29:00,1853.0,3.7,0.1
2024-09-27 15:26:00,short,1946.25,2,3892,closed,2024-09-27 15:29:00,1945.0,2.5,0.06
2024-09-30 15:26:00,short,1924.1,2,3848,closed,2024-09-30 15:29:00,1926.0,-3.8,-0.1
2024-10-15 15:26:00,long,1899.9,2,3800,closed,2024-10-30 09:19:00,1827.47,-144.87,-3.81
2024-10-18 15:26:00,long,1912.5,2,3825,closed,2024-10-30 09:20:00,1826.56,-171.87,-4.49
2024-10-21 15:26:00,short,1896.1,1,1896,closed,2024-10-21 15:29:00,1891.0,5.1,0.27
2024-10-24 15:26:00,short,1846.55,5,9233,closed,2024-10-24 15:29:00,1849.45,-14.5,-0.16
2024-10-30 15:26:00,long,1853.55,5,9268,closed,2024-11-04 09:15:00,1778.88,-373.37,-4.03
2024-10-31 15:26:00,long,1846.5,5,9232,closed,2024-11-04 09:15:00,1765.2,-406.53,-4.4
2024-11-05 15:26:00,short,1802.8,6,10817,closed,2024-11-05 15:29:00,1801.5,7.8,0.07
2024-11-12 15:26:00,short,1799.55,6,10797,closed,2024-11-12 15:29:00,1797.0,15.3,0.14
2024-11-13 15:26:00,short,1779.0,6,10674,closed,2024-11-13 15:29:00,1779.0,0.0,0.0
2024-11-18 15:26:00,short,1747.35,6,10484,closed,2024-11-18 15:29:00,1746.2,6.9,0.07
2024-11-25 15:26:00,long,1804.95,6,10830,closed,2024-11-28 12:42:00,1724.16,-484.77,-4.48
2024-11-29 15:26:00,long,1781.15,6,10687,open,,0.0,0.0,0.0
2024-12-10 15:26:00,short,1810.7,5,9054,closed,2024-12-10 15:29:00,1809.0,8.5,0.09
2024-12-11 15:26:00,short,1814.0,5,9070,closed,2024-12-11 15:29:00,1807.0,35.0,0.39
2024-12-12 15:26:00,short,1807.1,5,9036,closed,2024-12-12 15:29:00,1804.65,12.25,0.14
2024-12-16 15:26:00,long,1811.25,5,9056,open,,0.0,0.0,0.0
2024-12-17 15:26:00,short,1788.35,5,8942,closed,2024-12-17 15:29:00,1793.95,-28.0,-0.31
2024-12-18 15:26:00,short,1801.65,4,7207,closed,2024-12-18 15:29:00,1799.0,10.6,0.15
2024-12-20 15:26:00,long,1807.7,4,7231,open,,0.0,0.0,0.0
2024-12-30 15:26:00,short,1883.25,4,7533,closed,2024-12-30 15:29:00,1875.0,33.0,0.44
