EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-04 15:26:00,long,1896.05,5,9480,closed,2024-01-09 15:28:00,1812.6,-417.25,-4.4
2024-01-10 15:26:00,long,1814.85,5,9074,closed,2024-01-30 14:45:00,1795.5,-96.75,-1.07
2024-01-25 15:26:00,long,1845.6,4,7382,closed,2024-02-06 09:18:00,1769.66,-303.76,-4.11
2024-01-29 15:26:00,short,1800.0,4,7200,closed,2024-01-29 15:29:00,1801.0,-4.0,-0.06
2024-02-01 15:26:00,long,1804.7,5,9024,closed,2024-02-06 09:18:00,1769.66,-175.2,-1.94
2024-02-02 15:26:00,long,1845.4,4,7382,closed,2024-02-06 09:18:00,1769.66,-302.96,-4.1
2024-02-05 15:26:00,short,1775.35,4,7101,closed,2024-02-05 15:29:00,1774.6,3.0,0.04
2024-02-08 15:26:00,short,1757.65,5,8788,closed,2024-02-08 15:29:00,1769.2,-57.75,-0.66
2024-02-14 15:26:00,long,1740.55,5,8703,closed,2024-02-27 14:58:00,1688.96,-257.96,-2.96
2024-02-15 15:26:00,short,1760.25,5,8801,closed,2024-02-15 15:29:00,1761.9,-8.25,-0.09
2024-02-16 15:26:00,long,1737.55,5,8688,closed,2024-02-28 09:17:00,1683.97,-267.9,-3.08
2024-02-20 15:26:00,long,1731.05,4,6924,closed,2024-02-28 15:28:00,1654.9,-304.6,-4.4
2024-02-22 15:26:00,long,1732.6,4,6930,closed,2024-02-28 15:28:00,1650.06,-330.18,-4.76
2024-02-23 15:26:00,long,1716.0,3,5148,closed,2024-04-26 09:18:00,2000.7,854.1,16.59
2024-02-26 15:26:00,long,1707.0,3,5121,closed,2024-04-26 09:18:00,2000.7,881.1,17.21
2024-03-06 15:26:00,long,1716.0,5,8580,closed,2024-04-26 09:18:00,2000.7,1423.5,16.59
2024-03-11 15:26:00,long,1700.0,4,6800,closed,2024-04-26 09:18:00,2000.7,1202.8,17.69
2024-03-13 15:26:00,long,1693.2,4,6773,closed,2024-04-26 09:18:00,2000.7,1230.0,18.16
2024-03-14 15:26:00,short,1726.95,3,5181,closed,2024-03-14 15:29:00,1725.15,5.4,0.1
2024-03-20 15:26:00,long,1705.8,3,5117,closed,2024-04-26 09:18:00,2000.7,884.7,17.29
2024-03-21 15:26:00,long,1720.5,3,5162,closed,2024-04-26 09:18:00,2000.7,840.6,16.29
2024-03-27 15:26:00,short,1698.25,3,5095,closed,2024-03-27 15:29:00,1700.0,-5.25,-0.1
2024-03-28 15:26:00,short,1744.4,3,5233,closed,2024-03-28 15:29:00,1744.6,-0.6,-0.01
2024-04-01 15:26:00,short,1780.45,3,5341,closed,2024-04-01 15:29:00,1781.85,-4.2,-0.08
2024-04-05 15:26:00,short,1805.8,3,5417,closed,2024-04-05 15:29:00,1810.0,-12.6,-0.23
2024-04-15 15:26:00,long,1849.0,2,3698,closed,2024-04-26 09:18:00,2000.7,303.4,8.2
2024-04-16 15:26:00,short,1854.45,2,3709,closed,2024-04-16 15:29:00,1857.0,-5.1,-0.14
2024-04-18 15:26:00,long,1846.1,2,3692,closed,2024-04-26 09:18:00,2000.7,309.2,8.37
2024-04-19 15:26:00,short,1828.85,2,3658,closed,2024-04-19 15:29:00,1831.0,-4.3,-0.12
2024-04-22 15:26:00,long,1855.1,2,3710,closed,2024-04-26 09:18:00,2000.7,291.2,7.85
2024-04-26 15:26:00,long,2048.5,2,4097,closed,2024-05-06 13:15:00,1970.3,-156.4,-3.82
2024-05-02 15:26:00,long,2056.2,4,8225,closed,2024-05-06 13:15:00,1967.02,-356.71,-4.34
2024-05-07 15:26:00,long,2012.45,5,10062,closed,2024-05-09 10:55:00,1937.43,-375.1,-3.73
2024-05-08 15:26:00,long,2016.0,4,8064,closed,2024-05-09 12:09:00,1920.47,-382.11,-4.74
2024-05-15 15:26:00,long,1894.05,5,9470,closed,2024-05-30 11:04:00,1835.02,-295.15,-3.12
2024-05-16 15:26:00,short,1900.0,4,7600,closed,2024-05-16 15:29:00,1902.5,-10.0,-0.13
2024-05-17 15:26:00,long,1930.0,4,7720,closed,2024-05-30 11:04:00,1833.55,-385.81,-5.0
2024-05-21 15:26:00,long,1890.0,4,7560,closed,2024-06-06 09:30:00,1966.5,306.0,4.05
2024-05-31 15:26:00,short,1859.0,5,9295,closed,2024-05-31 15:29:00,1860.0,-5.0,-0.05
2024-06-05 15:26:00,long,2021.55,4,8086,closed,2024-06-19 10:13:00,2073.33,207.11,2.56
2024-06-06 15:26:00,short,2033.25,4,8133,closed,2024-06-06 15:29:00,2029.95,13.2,0.16
2024-06-12 15:26:00,short,2129.35,4,8517,closed,2024-06-12 15:29:00,2129.65,-1.2,-0.01
2024-06-14 15:26:00,short,2108.65,4,8435,closed,2024-06-14 15:29:00,2108.0,2.6,0.03
2024-06-18 15:26:00,short,2094.5,4,8378,closed,2024-06-18 15:29:00,2091.0,14.0,0.17
2024-06-20 15:26:00,long,2088.6,4,8354,closed,2024-06-25 10:00:00,2000.37,-352.93,-4.22
2024-06-21 15:26:00,long,2064.05,4,8256,closed,2024-06-26 09:15:00,1987.64,-305.65,-3.7
2024-06-25 15:26:00,short,1995.85,4,7983,closed,2024-06-25 15:29:00,1996.0,-0.6,-0.01
2024-06-26 15:26:00,short,1959.05,4,7836,closed,2024-06-26 15:29:00,1960.0,-3.8,-0.05
2024-07-01 15:26:00,short,2008.85,5,10044,closed,2024-07-01 15:29:00,2009.6,-3.75,-0.04
2024-07-02 15:26:00,long,2032.5,5,10162,closed,2024-07-15 10:04:00,2027.01,-27.43,-0.27
2024-07-04 15:26:00,long,2015.4,4,8062,closed,2024-07-15 10:04:00,2027.01,46.46,0.58
2024-07-09 15:26:00,long,2105.45,4,8422,closed,2024-07-19 15:29:00,2029.63,-303.29,-3.6
2024-07-10 15:26:00,short,2090.0,3,6270,closed,2024-07-10 15:29:00,2110.0,-60.0,-0.96
2024-07-15 15:26:00,long,2069.6,3,6209,closed,2024-07-19 15:29:00,2029.63,-119.92,-1.93
2024-07-22 15:26:00,long,2013.5,5,10068,closed,2024-07-26 10:49:00,2042.5,145.0,1.44
2024-07-25 15:26:00,long,2109.1,4,8436,closed,2024-07-26 10:49:00,2042.5,-266.4,-3.16
2024-07-29 15:26:00,long,2000.8,5,10004,closed,2024-08-05 11:24:00,1940.8,-299.99,-3.0
2024-08-07 15:26:00,short,1962.65,5,9813,closed,2024-08-07 15:29:00,1959.0,18.25,0.19
2024-08-08 15:26:00,long,1946.95,5,9735,closed,2024-09-18 13:15:00,2021.6,373.25,3.83
2024-08-13 15:26:00,long,1908.5,4,7634,closed,2024-09-18 13:15:00,2021.6,452.4,5.93
2024-08-16 15:26:00,long,1971.85,4,7887,closed,2024-09-18 13:15:00,2021.6,199.0,2.52
2024-08-22 15:26:00,long,2024.8,3,6074,closed,2024-09-18 13:15:00,2021.6,-9.6,-0.16
2024-09-02 15:26:00,short,2030.0,3,6090,closed,2024-09-02 15:29:00,2030.0,0.0,0.0
2024-09-10 15:26:00,long,2082.0,3,6246,closed,2024-09-18 13:15:00,2021.6,-181.2,-2.9
2024-09-12 15:26:00,short,2083.05,3,6249,closed,2024-09-12 15:29:00,2084.95,-5.7,-0.09
2024-09-16 15:26:00,long,2116.0,3,6348,closed,2024-09-18 13:15:00,2021.6,-283.2,-4.46
