EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,short,2321.95,4,9288,closed,2024-01-02 15:29:00,2325.0,-12.2,-0.13
2024-01-03 15:26:00,short,2305.0,4,9220,closed,2024-01-03 15:29:00,2305.0,0.0,0.0
2024-01-10 15:26:00,short,2290.0,4,9160,closed,2024-01-10 15:29:00,2286.1,15.6,0.17
2024-01-31 15:26:00,short,2275.1,4,9100,closed,2024-01-31 15:29:00,2267.45,30.6,0.34
2024-02-14 15:26:00,long,2054.6,4,8218,closed,2024-03-06 09:38:00,1978.99,-302.43,-3.68
2024-02-19 15:26:00,long,2104.0,4,8416,closed,2024-03-06 09:39:00,1978.02,-503.93,-5.99
2024-02-22 15:26:00,short,2108.0,3,6324,closed,2024-02-22 15:29:00,2097.0,33.0,0.52
2024-03-05 15:26:00,short,1997.0,4,7988,closed,2024-03-05 15:29:00,1994.0,12.0,0.15
2024-03-06 15:26:00,long,1944.8,4,7779,closed,2024-03-13 12:04:00,1839.49,-421.23,-5.41
2024-03-19 15:26:00,short,1881.5,5,9408,closed,2024-03-19 15:29:00,1876.15,26.75,0.28
2024-03-21 15:26:00,long,1922.5,5,9612,closed,2024-04-15 09:15:00,1914.78,-38.61,-0.4
2024-04-16 15:26:00,long,1969.85,5,9849,closed,2024-04-25 10:42:00,1849.17,-603.42,-6.13
2024-04-30 15:26:00,short,1835.4,5,9177,closed,2024-04-30 15:29:00,1837.7,-11.5,-0.13
2024-05-07 15:26:00,long,1765.25,5,8826,closed,2024-06-04 09:27:00,1750.26,-74.95,-0.85
2024-05-09 15:26:00,long,1730.75,5,8654,closed,2024-06-04 09:27:00,1750.26,97.55,1.13
2024-05-14 15:26:00,short,1756.8,4,7027,closed,2024-05-14 15:29:00,1758.0,-4.8,-0.07
2024-05-17 15:26:00,short,1815.3,4,7261,closed,2024-05-17 15:29:00,1817.0,-6.8,-0.09
2024-05-21 15:26:00,long,1857.4,4,7430,closed,2024-06-04 09:27:00,1750.26,-428.56,-5.77
2024-05-23 15:26:00,short,1806.7,4,7227,closed,2024-05-23 15:29:00,1812.9,-24.8,-0.34
2024-05-29 15:26:00,short,1773.95,4,7096,closed,2024-05-29 15:29:00,1774.1,-0.6,-0.01
2024-06-11 15:26:00,long,1892.5,5,9462,closed,2024-06-24 09:40:00,1778.67,-569.14,-6.01
2024-06-14 15:26:00,long,1883.85,4,7535,closed,2024-07-19 10:58:00,1822.8,-244.2,-3.24
2024-06-18 15:26:00,short,1887.45,4,7550,closed,2024-06-18 15:29:00,1885.5,7.8,0.1
2024-07-11 15:26:00,short,1862.65,4,7451,closed,2024-07-11 15:29:00,1867.95,-21.2,-0.28
2024-07-15 15:26:00,long,1933.05,4,7732,closed,2024-07-19 11:07:00,1811.59,-485.83,-6.28
2024-07-16 15:26:00,long,1920.0,4,7680,closed,2024-07-19 11:20:00,1807.92,-448.32,-5.84
2024-07-19 15:26:00,short,1815.1,4,7260,closed,2024-07-19 15:29:00,1813.9,4.8,0.07
2024-07-30 15:26:00,long,1854.0,5,9270,closed,2024-08-06 14:48:00,1738.17,-579.15,-6.25
2024-07-31 15:26:00,long,1848.05,4,7392,closed,2024-08-06 15:03:00,1735.38,-450.68,-6.1
2024-08-01 15:26:00,short,1809.95,4,7240,closed,2024-08-01 15:29:00,1815.5,-22.2,-0.31
2024-08-13 15:26:00,long,1735.0,5,8675,closed,2024-09-19 11:11:00,1809.64,373.2,4.3
2024-08-14 15:26:00,long,1726.75,4,6907,closed,2024-09-19 11:11:00,1809.64,331.56,4.8
2024-08-23 15:26:00,short,1801.95,4,7208,closed,2024-08-23 15:29:00,1800.05,7.6,0.11
2024-08-28 15:26:00,short,1826.15,4,7305,closed,2024-08-28 15:29:00,1827.0,-3.4,-0.05
2024-09-02 15:26:00,long,1919.05,4,7676,closed,2024-09-19 11:11:00,1809.64,-437.64,-5.7
2024-09-03 15:26:00,long,1917.9,3,5754,closed,2024-09-19 11:11:00,1809.64,-324.78,-5.64
2024-09-04 15:26:00,long,1928.5,3,5786,closed,2024-09-19 11:11:00,1809.64,-356.58,-6.16
2024-09-05 15:26:00,long,1915.1,3,5745,closed,2024-10-07 14:30:00,1844.14,-212.87,-3.71
2024-09-09 15:26:00,short,1877.2,2,3754,closed,2024-09-09 15:29:00,1878.6,-2.8,-0.07
2024-09-10 15:26:00,short,1889.25,2,3778,closed,2024-09-10 15:29:00,1885.6,7.3,0.19
2024-09-12 15:26:00,short,1885.5,2,3771,closed,2024-09-12 15:29:00,1885.0,1.0,0.03
2024-09-13 15:26:00,short,1903.85,2,3808,closed,2024-09-13 15:29:00,1902.9,1.9,0.05
2024-09-17 15:26:00,short,1822.1,2,3644,closed,2024-09-17 15:29:00,1823.75,-3.3,-0.09
2024-09-23 15:26:00,long,1901.0,4,7604,closed,2024-10-07 14:30:00,1844.14,-227.43,-2.99
2024-09-24 15:26:00,short,1929.2,4,7717,closed,2024-09-24 15:29:00,1924.05,20.6,0.27
2024-09-25 15:26:00,short,1909.75,4,7639,closed,2024-09-25 15:29:00,1915.95,-24.8,-0.32
2024-09-26 15:26:00,short,1919.45,4,7678,closed,2024-09-26 15:29:00,1918.0,5.8,0.08
2024-09-27 15:26:00,short,1895.05,4,7580,closed,2024-09-27 15:29:00,1900.0,-19.8,-0.26
2024-10-01 15:26:00,long,1960.0,4,7840,closed,2024-10-09 13:23:00,1843.26,-466.96,-5.96
2024-10-11 15:26:00,short,1871.9,5,9360,closed,2024-10-11 15:29:00,1870.15,8.75,0.09
2024-10-14 15:26:00,short,1888.65,4,7555,closed,2024-10-14 15:29:00,1884.0,18.6,0.25
2024-10-30 15:26:00,short,1837.0,5,9185,closed,2024-10-30 15:29:00,1831.35,28.25,0.31
2024-11-04 15:26:00,long,1790.55,5,8953,closed,2024-11-14 09:23:00,1699.81,-453.71,-5.07
2024-11-06 15:26:00,long,1819.5,4,7278,closed,2024-11-14 09:27:00,1695.9,-494.39,-6.79
2024-11-07 15:26:00,short,1795.45,4,7182,closed,2024-11-07 15:29:00,1795.0,1.8,0.03
2024-11-08 15:26:00,short,1766.55,4,7066,closed,2024-11-08 15:29:00,1760.0,26.2,0.37
2024-11-14 15:26:00,long,1713.05,4,6852,closed,2024-12-20 10:00:00,1836.38,493.31,7.2
2024-11-18 15:26:00,long,1690.0,5,8450,closed,2024-12-20 10:00:00,1836.38,731.89,8.66
2024-11-26 15:26:00,long,1823.7,4,7295,closed,2024-12-20 10:00:00,1836.38,50.71,0.7
2024-12-03 15:26:00,short,1929.5,3,5788,closed,2024-12-03 15:29:00,1929.75,-0.75,-0.01
2024-12-10 15:26:00,short,1897.95,3,5694,closed,2024-12-10 15:29:00,1898.45,-1.5,-0.03
2024-12-12 15:26:00,short,1930.1,3,5790,closed,2024-12-12 15:29:00,1934.0,-11.7,-0.2
