EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 15:26:00,short,126.65,78,9879,closed,2024-01-08 15:27:00,127.92,-98.79,-1.0
2024-01-12 15:26:00,long,134.65,74,9964,closed,2024-01-15 09:41:00,133.95,-52.02,-0.52
2024-01-20 15:26:00,long,133.95,74,9912,closed,2024-01-23 09:19:00,134.59,47.4,0.48
2024-02-12 15:26:00,long,132.0,75,9900,closed,2024-02-13 09:15:00,131.97,-2.47,-0.02
2024-02-16 15:26:00,long,136.65,73,9975,closed,2024-02-16 15:29:00,136.62,-2.19,-0.02
2024-02-21 15:26:00,short,137.65,72,9911,closed,2024-02-21 15:29:00,137.9,-18.0,-0.18
2024-02-22 15:26:00,long,138.7,72,9986,closed,2024-02-23 09:15:00,139.1,28.44,0.28
2024-02-23 15:26:00,long,141.9,63,8940,closed,2024-02-26 09:15:00,141.42,-30.15,-0.34
2024-03-11 15:26:00,short,135.7,73,9906,closed,2024-03-11 15:29:00,135.95,-18.25,-0.18
2024-03-18 15:26:00,long,130.25,76,9899,closed,2024-03-19 09:16:00,131.08,62.78,0.63
2024-03-19 15:26:00,short,129.75,69,8953,closed,2024-03-19 15:29:00,129.35,27.6,0.31
2024-03-20 15:26:00,short,127.85,78,9972,closed,2024-03-20 15:29:00,128.0,-11.7,-0.12
2024-03-21 15:26:00,long,134.05,74,9920,closed,2024-03-22 09:15:00,134.29,18.02,0.18
2024-04-01 15:26:00,long,137.55,72,9904,closed,2024-04-02 09:15:00,136.45,-79.2,-0.8
2024-04-02 15:26:00,long,138.55,64,8867,closed,2024-04-03 09:15:00,137.31,-79.17,-0.89
2024-04-10 15:26:00,long,141.0,70,9870,closed,2024-04-12 09:15:00,139.79,-84.84,-0.86
2024-04-25 15:26:00,long,138.45,72,9968,closed,2024-04-25 15:29:00,137.61,-60.48,-0.61
2024-05-14 15:26:00,long,144.75,68,9843,closed,2024-05-15 09:16:00,144.15,-40.8,-0.41
2024-05-15 15:26:00,short,144.35,62,8950,closed,2024-05-15 15:29:00,144.15,12.4,0.14
2024-05-16 15:26:00,short,142.05,70,9944,closed,2024-05-16 15:29:00,142.55,-35.0,-0.35
2024-05-17 15:26:00,short,144.9,68,9853,closed,2024-05-17 15:29:00,144.85,3.4,0.03
2024-05-21 15:26:00,long,150.05,66,9903,closed,2024-05-22 09:15:00,149.14,-59.83,-0.6
2024-05-23 15:26:00,short,147.15,67,9859,closed,2024-05-23 15:29:00,148.1,-63.65,-0.65
2024-05-24 15:26:00,short,145.7,68,9908,closed,2024-05-24 15:29:00,145.2,34.0,0.34
2024-06-10 15:26:00,short,143.21,69,9881,closed,2024-06-10 15:29:00,143.38,-11.73,-0.12
2024-06-18 15:26:00,short,144.0,69,9936,closed,2024-06-18 15:28:00,145.43,-98.66,-0.99
2024-06-26 15:26:00,long,149.08,66,9839,closed,2024-06-27 09:15:00,147.59,-98.39,-1.0
2024-07-01 15:26:00,long,144.99,68,9859,closed,2024-07-02 10:00:00,144.39,-40.7,-0.41
2024-07-04 15:26:00,long,146.4,67,9809,closed,2024-07-05 09:31:00,148.75,157.28,1.6
2024-07-05 15:26:00,short,147.51,60,8851,closed,2024-07-05 15:29:00,147.6,-5.4,-0.06
2024-07-08 15:26:00,long,147.3,67,9869,closed,2024-07-09 09:25:00,149.29,133.46,1.35
