EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-25 15:26:00,long,1549.8,6,9299,closed,2024-03-22 09:19:00,1527.62,-133.11,-1.43
2024-02-16 15:26:00,short,1666.65,5,8333,closed,2024-02-16 15:29:00,1670.0,-16.75,-0.2
2024-02-23 15:26:00,short,1664.85,5,8324,closed,2024-02-23 15:29:00,1664.35,2.5,0.03
2024-02-29 15:26:00,long,1674.65,5,8373,closed,2024-03-22 09:29:00,1514.7,-799.75,-9.55
2024-03-15 15:26:00,long,1647.65,4,6591,closed,2024-04-15 11:29:00,1496.97,-602.72,-9.15
2024-04-16 15:26:00,short,1478.6,6,8872,closed,2024-04-16 15:29:00,1474.1,27.0,0.3
2024-05-17 15:26:00,short,1331.75,7,9322,closed,2024-05-17 15:29:00,1331.95,-1.4,-0.02
2024-05-31 15:26:00,long,1323.75,7,9266,open,,0.0,0.0,0.0
2024-06-25 15:26:00,short,1447.4,6,8684,closed,2024-06-25 15:29:00,1445.0,14.4,0.17
2024-06-28 15:26:00,long,1459.05,6,8754,open,,0.0,0.0,0.0
2024-07-23 15:26:00,long,1599.5,5,7998,open,,0.0,0.0,0.0
2024-08-05 15:26:00,short,1560.5,4,6242,closed,2024-08-05 15:29:00,1557.95,10.2,0.16
2024-08-14 15:26:00,long,1629.0,4,6516,open,,0.0,0.0,0.0
2024-08-20 15:26:00,long,1690.1,3,5070,open,,0.0,0.0,0.0
2024-08-26 15:26:00,long,1723.9,3,5172,open,,0.0,0.0,0.0
2024-08-30 15:26:00,short,1752.1,3,5256,closed,2024-08-30 15:29:00,1754.6,-7.5,-0.14
2024-09-06 15:26:00,long,1759.2,3,5278,open,,0.0,0.0,0.0
2024-09-09 15:26:00,short,1747.9,2,3496,closed,2024-09-09 15:29:00,1748.5,-1.2,-0.03
2024-09-11 15:26:00,long,1783.75,2,3568,open,,0.0,0.0,0.0
2024-09-27 15:26:00,short,1808.0,2,3616,closed,2024-09-27 15:29:00,1809.0,-2.0,-0.06
2024-09-30 15:26:00,short,1791.55,2,3583,closed,2024-09-30 15:29:00,1796.0,-8.9,-0.25
2024-10-23 15:26:00,long,1847.4,2,3695,open,,0.0,0.0,0.0
2024-10-31 15:26:00,short,1762.9,2,3526,closed,2024-10-31 15:29:00,1773.0,-20.2,-0.57
2024-11-25 15:26:00,long,1891.35,2,3783,open,,0.0,0.0,0.0
2024-12-09 15:26:00,short,1910.0,2,3820,closed,2024-12-09 15:29:00,1909.95,0.1,0.0
2024-12-11 15:26:00,short,1929.95,2,3860,closed,2024-12-11 15:29:00,1930.0,-0.1,-0.0
2024-12-20 15:26:00,long,1919.7,2,3839,open,,0.0,0.0,0.0
2024-12-30 15:26:00,long,1967.0,1,1967,open,,0.0,0.0,0.0
