EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-01 15:26:00,short,270.35,36,9733,closed,2024-01-01 15:29:00,270.8,-16.2,-0.17
2024-01-03 15:26:00,long,266.1,37,9846,closed,2024-01-15 09:33:00,260.37,-212.01,-2.15
2024-01-12 15:26:00,short,262.25,34,8916,closed,2024-01-12 15:29:00,262.3,-1.7,-0.02
2024-01-15 15:26:00,short,256.55,35,8979,closed,2024-01-15 15:29:00,257.0,-15.75,-0.18
2024-02-07 15:26:00,short,295.5,33,9752,closed,2024-02-07 15:29:00,297.0,-49.5,-0.51
2024-02-08 15:26:00,short,289.0,34,9826,closed,2024-02-08 15:29:00,289.0,0.0,0.0
2024-02-15 15:26:00,long,257.0,38,9766,closed,2024-03-12 09:23:00,261.0,152.0,1.56
2024-02-16 15:26:00,short,257.85,34,8767,closed,2024-02-16 15:29:00,258.6,-25.5,-0.29
2024-03-11 15:26:00,short,267.6,33,8831,closed,2024-03-11 15:29:00,268.05,-14.85,-0.17
2024-03-15 15:26:00,short,270.9,36,9752,closed,2024-03-15 15:29:00,269.6,46.8,0.48
2024-03-18 15:26:00,long,269.75,37,9981,closed,2024-05-09 11:26:00,361.48,3394.2,34.01
2024-04-04 15:26:00,long,314.05,28,8793,closed,2024-05-09 11:26:00,361.48,1328.18,15.1
2024-04-22 15:26:00,long,379.65,21,7973,closed,2024-05-09 11:26:00,361.48,-381.46,-4.78
2024-04-23 15:26:00,short,371.25,19,7054,closed,2024-04-23 15:29:00,373.2,-37.05,-0.53
2024-04-24 15:26:00,long,381.8,19,7254,closed,2024-05-09 11:26:00,361.48,-385.98,-5.32
2024-05-03 15:26:00,long,389.55,16,6233,closed,2024-05-23 09:15:00,374.22,-245.28,-3.94
2024-05-09 15:26:00,long,358.05,16,5729,closed,2024-05-23 09:15:00,374.22,258.72,4.52
2024-06-25 15:26:00,long,329.9,31,10227,closed,2024-07-19 09:17:00,313.92,-495.38,-4.84
2024-07-08 15:26:00,long,343.1,27,9264,closed,2024-07-19 09:17:00,313.92,-787.86,-8.5
2024-07-09 15:26:00,long,347.85,24,8348,closed,2024-07-19 09:17:00,313.15,-832.68,-9.97
2024-07-18 15:26:00,short,320.25,23,7366,closed,2024-07-18 15:29:00,318.5,40.25,0.55
2024-07-31 15:26:00,long,322.3,31,9991,closed,2024-08-05 09:24:00,296.73,-792.67,-7.93
2024-08-06 15:26:00,short,283.05,35,9907,closed,2024-08-06 15:29:00,283.85,-28.0,-0.28
2024-08-13 15:26:00,long,314.35,32,10059,closed,2024-09-09 09:20:00,303.12,-359.36,-3.57
