TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-08 15:26:00,long,710.4,14,0.0,9945.6,178755,78841,1489.62,7884.1
2024-01-11 15:26:00,long,704.8,12,0.0,8457.6,192267,113912,1602.22,11391.2
2024-01-12 15:26:00,long,705.95,11,0.0,7765.45,67697,81147,564.14,8114.7
2024-01-15 15:26:00,long,718.2,10,0.0,7182.0,223328,100352,1861.07,10035.2
2024-01-29 15:26:00,short,748.95,8,0.0,5991.6,124562,47746,1038.02,4774.6
2024-01-29 15:29:00,close,749.0,8,-0.4,5992.0,0,0,0.0,0.0
2024-02-02 15:26:00,long,763.15,8,0.0,6105.2,97908,48455,815.9,4845.5
2024-02-12 15:26:00,long,856.6,7,0.0,5996.2,1044338,356230,8702.82,35623.0
2024-02-15 15:26:00,long,882.4,6,0.0,5294.4,147380,73472,1228.17,7347.2
2024-02-26 15:26:00,long,943.1,5,0.0,4715.5,286638,152948,2388.65,15294.8
2024-02-28 15:26:00,long,932.7,4,0.0,3730.8,185028,65544,1541.9,6554.4
2024-02-29 15:26:00,long,945.75,4,0.0,3783.0,357533,129416,2979.44,12941.6
2024-03-15 15:26:00,long,987.5,3,0.0,2962.5,353884,131091,2949.03,13109.1
2024-03-27 15:26:00,short,999.75,3,0.0,2999.25,263844,89365,2198.7,8936.5
2024-03-27 15:29:00,close,1002.4,3,-7.95,3007.2,0,0,0.0,0.0
2024-04-01 15:26:00,short,999.55,3,0.0,2998.65,305609,104563,2546.74,10456.3
2024-04-01 15:29:00,close,1000.05,3,-1.5,3000.15,0,0,0.0,0.0
2024-04-03 15:26:00,short,987.55,3,0.0,2962.65,234861,102436,1957.18,10243.6
2024-04-03 15:29:00,close,984.65,3,8.7,2953.95,0,0,0.0,0.0
2024-04-10 15:26:00,short,993.35,3,0.0,2980.05,127154,61512,1059.62,6151.2
2024-04-10 15:29:00,close,992.05,3,3.9,2976.15,0,0,0.0,0.0
2024-04-12 15:26:00,short,962.8,3,0.0,2888.4,488144,170174,4067.87,17017.4
2024-04-12 15:29:00,close,965.0,3,-6.6,2895.0,0,0,0.0,0.0
2024-04-16 09:15:00,close,928.53,14,3053.82,12999.42,0,0,0.0,0.0
2024-04-16 09:15:00,close,928.53,12,2684.76,11142.36,0,0,0.0,0.0
2024-04-16 09:15:00,close,928.53,11,2448.38,10213.83,0,0,0.0,0.0
