EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,long,1124.0,8,8992,closed,2024-01-04 12:30:00,1140.33,130.66,1.45
2024-01-19 15:26:00,short,1152.0,8,9216,closed,2024-01-19 15:29:00,1155.5,-28.0,-0.3
2024-01-24 15:26:00,long,1165.0,8,9320,closed,2024-01-25 09:43:00,1201.68,293.48,3.15
2024-01-25 15:26:00,short,1168.9,7,8182,closed,2024-01-25 15:29:00,1170.0,-7.7,-0.09
2024-01-29 15:26:00,short,1160.5,8,9284,closed,2024-01-29 15:29:00,1162.25,-14.0,-0.15
2024-02-01 15:26:00,short,1114.05,9,10026,closed,2024-02-01 15:29:00,1116.5,-22.05,-0.22
2024-02-12 15:26:00,long,1104.0,9,9936,closed,2024-02-13 09:23:00,1093.68,-92.93,-0.94
2024-02-15 15:26:00,short,1065.0,9,9585,closed,2024-02-15 15:29:00,1069.25,-38.25,-0.4
2024-02-21 15:26:00,short,1033.7,9,9303,closed,2024-02-21 15:29:00,1037.25,-31.95,-0.34
2024-02-28 15:26:00,long,1057.3,9,9516,closed,2024-03-06 09:15:00,1039.74,-158.01,-1.66
2024-03-01 15:26:00,long,1048.9,8,8391,closed,2024-03-06 09:15:00,1039.74,-73.26,-0.87
2024-03-05 15:26:00,long,1044.0,7,7308,closed,2024-03-12 09:27:00,1022.14,-153.04,-2.09
2024-03-07 15:26:00,long,1043.25,8,8346,closed,2024-03-12 10:44:00,1014.91,-226.71,-2.72
2024-03-18 15:26:00,short,924.4,10,9244,closed,2024-03-18 15:29:00,922.8,16.0,0.17
2024-03-20 15:26:00,short,918.5,10,9185,closed,2024-03-20 15:29:00,916.0,25.0,0.27
2024-03-21 15:26:00,long,939.35,10,9394,closed,2024-03-26 09:15:00,945.26,59.15,0.63
2024-03-22 15:26:00,long,950.75,9,8557,closed,2024-03-28 15:11:00,933.14,-158.49,-1.85
2024-03-28 15:26:00,short,929.95,9,8370,closed,2024-03-28 15:29:00,930.75,-7.2,-0.09
2024-04-05 15:26:00,long,1102.75,9,9925,closed,2024-04-09 12:29:00,1110.65,71.1,0.72
2024-04-10 15:26:00,short,1102.2,9,9920,closed,2024-04-10 15:29:00,1102.5,-2.7,-0.03
2024-04-26 15:26:00,long,1206.5,8,9652,closed,2024-04-29 09:36:00,1183.98,-180.14,-1.87
2024-05-08 15:26:00,long,1136.5,8,9092,closed,2024-05-09 11:33:00,1116.47,-160.24,-1.76
2024-06-19 15:26:00,short,1982.0,5,9910,closed,2024-06-19 15:29:00,1985.0,-15.0,-0.15
2024-06-20 15:26:00,short,1986.5,4,7946,closed,2024-06-20 15:29:00,1983.0,14.0,0.18
2024-06-24 15:26:00,long,1980.0,5,9900,closed,2024-06-25 14:54:00,1993.25,66.26,0.67
2024-07-15 15:26:00,short,2693.5,3,8080,closed,2024-07-15 15:29:00,2693.5,0.0,0.0
2024-08-12 15:26:00,long,2484.5,3,7454,closed,2024-08-13 14:56:00,2425.0,-178.5,-2.39
2024-08-22 15:26:00,long,2231.6,4,8926,closed,2024-08-23 15:04:00,2208.69,-91.64,-1.03
2024-08-23 15:26:00,long,2211.0,4,8844,closed,2024-08-26 10:42:00,2161.94,-196.26,-2.22
2024-08-26 15:26:00,long,2155.0,4,8620,closed,2024-08-29 10:55:00,2119.45,-142.2,-1.65
2024-08-27 15:26:00,long,2145.0,4,8580,closed,2024-08-29 10:55:00,2119.45,-102.2,-1.19
2024-09-02 15:26:00,long,2097.5,4,8390,closed,2024-09-03 09:15:00,2161.45,255.8,3.05
2024-09-04 15:26:00,long,2397.25,4,9589,closed,2024-09-05 09:31:00,2388.62,-34.5,-0.36
2024-09-05 15:26:00,long,2282.5,3,6848,closed,2024-09-06 09:20:00,2232.07,-151.3,-2.21
2024-09-09 15:26:00,long,2178.5,4,8714,closed,2024-09-11 14:04:00,2161.16,-69.36,-0.8
2024-09-10 15:26:00,short,2192.7,4,8771,closed,2024-09-10 15:29:00,2192.5,0.8,0.01
2024-09-11 15:26:00,short,2153.0,4,8612,closed,2024-09-11 15:29:00,2151.5,6.0,0.07
2024-09-16 15:26:00,short,2123.4,4,8494,closed,2024-09-16 15:29:00,2126.5,-12.4,-0.15
2024-09-17 15:26:00,short,2091.0,4,8364,closed,2024-09-17 15:29:00,2094.5,-14.0,-0.17
2024-09-18 15:26:00,short,2086.0,4,8344,closed,2024-09-18 15:29:00,2089.0,-12.0,-0.14
2024-09-23 15:26:00,long,2160.3,4,8641,closed,2024-09-26 09:15:00,2109.75,-202.2,-2.34
2024-09-24 15:26:00,long,2112.5,4,8450,closed,2024-09-26 09:15:00,2109.75,-11.0,-0.13
2024-09-25 15:26:00,long,2125.9,3,6378,closed,2024-09-30 09:25:00,2075.95,-149.86,-2.35
2024-09-26 15:26:00,long,2126.4,3,6379,closed,2024-09-30 09:33:00,2070.37,-168.1,-2.64
2024-09-27 15:26:00,short,2092.1,4,8368,closed,2024-09-27 15:29:00,2094.5,-9.6,-0.11
2024-10-01 15:26:00,long,2097.0,4,8388,closed,2024-10-03 13:36:00,2039.42,-230.3,-2.75
2024-10-03 15:26:00,long,2039.0,4,8156,closed,2024-10-04 09:33:00,1988.5,-202.0,-2.48
2024-10-04 15:26:00,long,2045.6,4,8182,closed,2024-10-07 10:05:00,1991.8,-215.21,-2.63
2024-10-09 15:26:00,long,2048.0,4,8192,closed,2024-10-10 13:56:00,2187.35,557.4,6.8
2024-10-11 15:26:00,short,2190.5,4,8762,closed,2024-10-11 15:29:00,2184.5,24.0,0.27
2024-10-16 15:26:00,long,2167.5,4,8670,closed,2024-10-17 13:51:00,2123.33,-176.68,-2.04
2024-10-17 15:26:00,short,2113.9,4,8456,closed,2024-10-17 15:29:00,2116.05,-8.6,-0.1
2024-10-24 15:26:00,long,2107.5,4,8430,closed,2024-10-25 09:40:00,2056.01,-205.95,-2.44
2024-10-28 15:26:00,long,2004.65,4,8019,closed,2024-10-29 10:25:00,2047.38,170.92,2.13
2024-10-31 15:26:00,short,2037.75,4,8151,closed,2024-10-31 15:29:00,2040.0,-9.0,-0.11
2024-11-04 15:26:00,long,2013.0,4,8052,closed,2024-11-05 14:35:00,2097.62,338.5,4.2
2024-11-08 15:26:00,short,2079.0,4,8316,closed,2024-11-08 15:29:00,2077.4,6.4,0.08
2024-11-21 15:26:00,long,2007.8,4,8031,closed,2024-11-26 11:37:00,2156.12,593.26,7.39
2024-11-27 15:26:00,short,2244.9,4,8980,closed,2024-11-27 15:29:00,2244.45,1.8,0.02
2024-12-02 15:26:00,long,2271.5,4,9086,closed,2024-12-04 09:32:00,2390.08,474.32,5.22
2024-12-04 15:26:00,long,2440.0,3,7320,closed,2024-12-05 10:43:00,2412.88,-81.38,-1.11
2024-12-05 15:26:00,long,2431.1,3,7293,closed,2024-12-09 09:15:00,2430.29,-2.44,-0.03
2024-12-09 15:26:00,short,2440.5,3,7322,closed,2024-12-09 15:29:00,2441.0,-1.5,-0.02
2024-12-11 15:26:00,short,2459.8,4,9839,closed,2024-12-11 15:29:00,2460.5,-2.8,-0.03
2024-12-12 15:26:00,long,2477.9,3,7434,closed,2024-12-13 10:30:00,2411.52,-199.15,-2.68
2024-12-16 15:26:00,short,2518.85,3,7557,closed,2024-12-16 15:29:00,2517.9,2.85,0.04
