EntryTimeStamp,Type,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 15:26:00,short,859.6,11,9456,closed,2024-01-02 15:29:00,861.5,-20.9,-0.22
2024-01-04 15:26:00,long,859.7,11,9457,closed,2024-01-18 09:52:00,836.0,-260.7,-2.76
2024-01-05 15:26:00,short,866.0,10,8660,closed,2024-01-05 15:29:00,861.7,43.0,0.5
2024-02-06 15:26:00,long,759.85,13,9878,closed,2024-02-09 09:45:00,737.2,-294.45,-2.98
2024-02-07 15:26:00,short,760.6,11,8367,closed,2024-02-07 15:29:00,761.8,-13.2,-0.16
2024-02-22 15:26:00,long,750.65,13,9758,closed,2024-02-27 15:18:00,731.45,-249.57,-2.56
2024-02-26 15:26:00,long,746.05,12,8953,closed,2024-03-06 10:04:00,726.25,-237.6,-2.65
2024-02-27 15:26:00,short,732.0,11,8052,closed,2024-02-27 15:29:00,733.95,-21.45,-0.27
2024-02-29 15:26:00,long,746.75,12,8961,closed,2024-03-06 10:04:00,726.25,-246.0,-2.75
2024-03-01 15:26:00,short,748.4,10,7484,closed,2024-03-01 15:29:00,747.25,11.5,0.15
2024-03-12 15:26:00,short,710.85,13,9241,closed,2024-03-12 15:29:00,709.65,15.6,0.17
2024-03-15 15:26:00,long,711.8,13,9253,closed,2024-03-20 10:01:00,682.96,-374.99,-4.05
2024-04-12 15:26:00,long,783.4,12,9401,closed,2024-04-19 09:21:00,775.25,-97.83,-1.04
2024-04-16 15:26:00,short,788.5,11,8674,closed,2024-04-16 15:29:00,790.75,-24.75,-0.29
2024-04-19 15:26:00,short,776.0,11,8536,closed,2024-04-19 15:29:00,775.95,0.55,0.01
2024-05-13 15:26:00,long,1207.9,8,9663,closed,2024-05-15 10:02:00,1159.0,-391.2,-4.05
2024-05-15 15:26:00,long,1201.0,7,8407,closed,2024-05-21 09:34:00,1183.7,-121.1,-1.44
2024-05-16 15:26:00,short,1201.0,7,8407,closed,2024-05-16 15:29:00,1201.0,0.0,0.0
2024-06-20 15:26:00,long,1413.4,6,8480,closed,2024-06-27 13:48:00,1420.25,41.1,0.48
2024-06-21 15:26:00,long,1423.1,6,8539,closed,2024-06-27 13:48:00,1420.25,-17.1,-0.2
2024-07-09 15:26:00,long,1381.0,7,9667,closed,2024-07-10 10:34:00,1323.35,-403.55,-4.17
2024-07-24 15:26:00,short,1313.3,7,9193,closed,2024-07-24 15:29:00,1300.0,93.1,1.01
2024-07-25 15:26:00,short,1291.8,7,9043,closed,2024-07-25 15:29:00,1290.0,12.6,0.14
2024-08-09 15:26:00,short,1198.0,8,9584,closed,2024-08-09 15:29:00,1207.0,-72.0,-0.75
2024-08-12 15:26:00,long,1261.45,7,8830,closed,2024-08-13 14:47:00,1212.63,-341.76,-3.87
2024-08-13 15:26:00,short,1202.0,7,8414,closed,2024-08-13 15:29:00,1207.95,-41.65,-0.5
2024-08-27 15:26:00,long,1346.3,7,9424,closed,2024-09-04 11:40:00,1300.55,-320.25,-3.4
2024-08-30 15:26:00,short,1313.1,6,7879,closed,2024-08-30 15:29:00,1319.0,-35.4,-0.45
2024-09-09 15:26:00,long,1287.55,7,9013,closed,2024-09-17 12:33:00,1248.25,-275.08,-3.05
2024-09-26 15:26:00,short,1209.5,7,8466,closed,2024-09-26 15:29:00,1210.0,-3.5,-0.04
2024-09-30 15:26:00,long,1200.0,8,9600,closed,2024-10-03 14:34:00,1150.45,-396.4,-4.13
2024-10-29 15:26:00,short,1243.35,7,8703,closed,2024-10-29 15:29:00,1243.95,-4.2,-0.05
2024-11-04 15:26:00,short,1311.75,7,9182,closed,2024-11-04 15:29:00,1312.0,-1.75,-0.02
2024-11-07 15:26:00,long,1369.45,7,9586,closed,2024-11-08 12:07:00,1386.9,122.18,1.27
2024-11-19 15:26:00,long,1284.0,7,8988,closed,2024-11-29 10:18:00,1310.0,182.02,2.03
2024-11-22 15:26:00,long,1279.5,6,7677,closed,2024-11-29 10:18:00,1310.0,183.02,2.38
2024-12-09 15:26:00,long,1338.5,7,9370,closed,2024-12-12 09:41:00,1305.3,-232.4,-2.48
2024-12-11 15:26:00,long,1320.95,6,7926,closed,2024-12-18 11:50:00,1275.47,-272.88,-3.44
