TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-04 15:26:00,long,186.95,53,0.0,9908.35,2019302,823136,16827.52,82313.6
2024-01-08 09:37:00,close,175.44,53,-609.79,9298.56,0,0,0.0,0.0
2024-02-02 15:26:00,short,188.4,52,0.0,9796.8,1469885,797807,12249.04,79780.7
2024-02-02 15:29:00,close,188.1,52,15.6,9781.2,0,0,0.0,0.0
2024-02-14 15:26:00,long,184.7,53,0.0,9789.1,2067437,731114,17228.64,73111.4
2024-02-15 15:26:00,short,180.1,49,0.0,8824.9,1194348,742500,9952.9,74250.0
2024-02-15 15:29:00,close,180.05,49,2.45,8822.45,0,0,0.0,0.0
2024-02-16 15:03:00,close,175.26,53,-500.4,9288.7,0,0,0.0,0.0
2024-02-21 15:26:00,short,171.6,57,0.0,9781.2,2061722,783199,17181.02,78319.9
2024-02-21 15:29:00,close,171.7,57,-5.7,9786.9,0,0,0.0,0.0
2024-03-12 15:26:00,short,161.4,61,0.0,9845.4,912428,346441,7603.57,34644.1
2024-03-12 15:29:00,close,161.75,61,-21.35,9866.75,0,0,0.0,0.0
2024-04-12 15:26:00,short,176.65,55,0.0,9715.75,1129599,410924,9413.33,41092.4
2024-04-12 15:29:00,close,177.3,55,-35.75,9751.5,0,0,0.0,0.0
2024-05-29 15:26:00,long,227.1,43,0.0,9765.3,5066433,1829557,42220.28,182955.7
2024-05-30 15:26:00,short,219.3,40,0.0,8772.0,3166525,1246192,26387.71,124619.2
2024-05-30 15:29:00,close,220.0,40,-28.0,8800.0,0,0,0.0,0.0
2024-06-04 09:22:00,close,214.13,43,-557.6,9207.7,0,0,0.0,0.0
2024-06-21 15:26:00,long,238.8,41,0.0,9790.8,2757219,1034363,22976.82,103436.3
2024-07-09 15:26:00,long,244.25,36,0.0,8793.0,1357453,525687,11312.11,52568.7
2024-07-10 10:41:00,close,238.87,41,2.89,9793.69,0,0,0.0,0.0
2024-07-23 09:36:00,close,235.38,36,-319.21,8473.79,0,0,0.0,0.0
2024-07-30 15:26:00,long,257.4,38,0.0,9781.2,766888,317259,6390.73,31725.9
2024-08-02 09:15:00,close,245.57,38,-449.67,9331.53,0,0,0.0,0.0
2024-08-13 15:26:00,short,235.75,41,0.0,9665.75,1009444,695266,8412.03,69526.6
2024-08-13 15:29:00,close,235.65,41,4.1,9661.65,0,0,0.0,0.0
2024-08-19 15:26:00,long,242.65,40,0.0,9706.0,501540,187949,4179.5,18794.9
2024-08-20 15:26:00,short,244.1,35,0.0,8543.5,887066,318113,7392.22,31811.3
2024-08-20 15:29:00,close,242.5,35,56.0,8487.5,0,0,0.0,0.0
2024-08-30 15:26:00,long,236.05,37,0.0,8733.85,1979980,1126766,16499.83,112676.6
2024-09-02 15:26:00,long,242.5,32,0.0,7760.0,4280875,1737794,35673.96,173779.4
2024-09-09 09:33:00,close,229.48,40,-526.9,9179.1,0,0,0.0,0.0
2024-09-19 15:26:00,long,255.25,31,0.0,7912.75,1578465,1038281,13153.88,103828.1
2024-10-04 09:26:00,close,256.49,37,756.43,9490.28,0,0,0.0,0.0
2024-10-04 09:26:00,close,256.49,32,447.81,8207.81,0,0,0.0,0.0
2024-10-04 09:26:00,close,256.49,31,38.56,7951.31,0,0,0.0,0.0
2024-10-08 15:26:00,long,252.85,38,0.0,9608.3,904379,317926,7536.49,31792.6
2024-10-14 15:26:00,long,262.85,33,0.0,8674.05,889375,336160,7411.46,33616.0
2024-10-15 15:26:00,short,263.95,30,0.0,7918.5,772139,624818,6434.49,62481.8
2024-10-15 15:29:00,close,264.2,30,-7.5,7926.0,0,0,0.0,0.0
2024-10-18 09:15:00,close,248.82,38,-153.08,9455.22,0,0,0.0,0.0
2024-10-18 09:15:00,close,248.82,33,-462.94,8211.11,0,0,0.0,0.0
2024-10-31 15:26:00,short,233.3,41,0.0,9565.3,1101504,495114,9179.2,49511.4
2024-10-31 15:29:00,close,233.3,41,0.0,9565.3,0,0,0.0,0.0
2024-11-08 15:26:00,short,223.2,43,0.0,9597.6,1412281,1163637,11769.01,116363.7
2024-11-08 15:29:00,close,223.35,43,-6.45,9604.05,0,0,0.0,0.0
2024-11-14 15:26:00,short,218.05,44,0.0,9594.2,460501,158217,3837.51,15821.7
2024-11-14 15:29:00,close,218.35,44,-13.2,9607.4,0,0,0.0,0.0
2024-11-25 15:26:00,long,227.25,42,0.0,9544.5,1477506,618128,12312.55,61812.8
2024-12-10 15:26:00,long,235.15,37,0.0,8700.55,429884,474676,3582.37,47467.6
2024-12-13 09:17:00,close,228.97,42,72.07,9616.57,0,0,0.0,0.0
2024-12-18 12:07:00,close,220.64,37,-536.78,8163.77,0,0,0.0,0.0
