TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-03-01 09:15:00,buy,3501.65,2,0.0,7003.3,958769,248448,7989.74,24844.8
2024-03-13 12:01:00,sell,3519.89,2,36.48,7039.78,0,0,0.0,0.0
2024-03-18 09:15:00,buy,3537.15,2,0.0,7074.3,2307446,674812,19228.72,67481.2
2024-04-12 14:46:00,sell,3667.0,2,259.7,7334.0,0,0,0.0,0.0
2024-07-29 09:15:00,buy,3701.0,2,0.0,7402.0,1167468,348162,9728.9,34816.2
2024-08-05 09:15:00,sell,3647.0,2,-108.0,7294.0,0,0,0.0,0.0
2024-08-21 09:15:00,buy,3590.0,2,0.0,7180.0,424137,133532,3534.48,13353.2
2024-09-02 09:15:00,buy,3706.0,2,0.0,7412.0,1384543,390010,11537.86,39001.0
2024-09-05 09:15:00,buy,3668.0,2,0.0,7336.0,715011,205015,5958.42,20501.5
2024-09-06 11:27:00,sell,3557.75,2,-64.5,7115.5,0,0,0.0,0.0
2024-09-11 14:42:00,sell,3535.85,2,-340.3,7071.7,0,0,0.0,0.0
2024-10-01 14:23:00,sell,3646.86,2,-42.28,7293.72,0,0,0.0,0.0
2024-10-17 09:15:00,buy,3549.9,2,0.0,7099.8,781272,278177,6510.6,27817.7
2024-10-24 09:43:00,sell,3440.85,2,-218.1,6881.7,0,0,0.0,0.0
2024-11-14 09:15:00,buy,3558.0,2,0.0,7116.0,542916,140165,4524.3,14016.5
2024-12-18 09:22:00,sell,3765.32,2,414.65,7530.65,0,0,0.0,0.0
2024-12-31 09:15:00,buy,3562.55,2,0.0,7125.1,687165,281916,5726.38,28191.6
