TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-09 09:15:00,buy,402.95,24,0.0,9670.8,193015,65233,1608.46,6523.3
2024-01-09 09:45:00,sell,403.33,24,9.02,9679.82,0,0,0.0,0.0
2024-01-23 09:15:00,buy,422.0,23,0.0,9706.0,121661,41221,1013.84,4122.1
2024-01-23 09:21:00,sell,418.18,23,-87.95,9618.05,0,0,0.0,0.0
2024-02-23 09:15:00,buy,459.3,21,0.0,9645.3,395801,121912,3298.34,12191.2
2024-02-23 09:15:00,sell,458.42,21,-18.49,9626.81,0,0,0.0,0.0
2024-03-05 09:15:00,buy,467.0,21,0.0,9807.0,255364,68514,2128.03,6851.4
2024-03-05 12:11:00,sell,466.14,21,-18.03,9788.97,0,0,0.0,0.0
2024-03-18 09:15:00,buy,420.0,23,0.0,9660.0,229126,75740,1909.38,7574.0
2024-03-18 09:15:00,sell,417.78,23,-51.06,9608.94,0,0,0.0,0.0
2024-03-27 09:15:00,buy,436.0,22,0.0,9592.0,117114,31507,975.95,3150.7
2024-03-27 09:31:00,sell,433.82,22,-48.0,9544.0,0,0,0.0,0.0
2024-04-03 09:15:00,buy,449.0,22,0.0,9878.0,173420,44553,1445.17,4455.3
2024-04-03 09:47:00,sell,445.2,22,-83.53,9794.47,0,0,0.0,0.0
2024-04-23 09:15:00,buy,417.85,23,0.0,9610.55,116810,35795,973.42,3579.5
2024-04-23 12:18:00,sell,415.31,23,-58.54,9552.01,0,0,0.0,0.0
2024-04-24 09:15:00,buy,414.65,24,0.0,9951.6,66861,23417,557.17,2341.7
2024-04-24 14:37:00,sell,418.27,24,87.0,10038.6,0,0,0.0,0.0
2024-04-30 09:15:00,buy,421.0,23,0.0,9683.0,104154,38942,867.95,3894.2
2024-04-30 15:01:00,sell,424.26,23,75.08,9758.08,0,0,0.0,0.0
2024-05-06 09:15:00,buy,422.85,23,0.0,9725.55,86285,55217,719.04,5521.7
2024-05-06 09:36:00,sell,421.74,23,-25.53,9700.02,0,0,0.0,0.0
2024-05-09 09:15:00,buy,410.85,24,0.0,9860.4,162215,46101,1351.79,4610.1
2024-05-09 09:16:00,sell,408.67,24,-52.27,9808.13,0,0,0.0,0.0
2024-05-13 09:15:00,buy,400.0,24,0.0,9600.0,216452,95425,1803.77,9542.5
2024-05-13 09:34:00,sell,398.48,24,-36.6,9563.4,0,0,0.0,0.0
2024-05-18 09:15:00,buy,404.0,24,0.0,9696.0,191361,55771,1594.68,5577.1
2024-05-22 09:15:00,buy,420.15,21,0.0,8823.15,185229,81771,1543.58,8177.1
2024-05-22 09:15:00,sell,420.06,24,385.37,10081.37,0,0,0.0,0.0
2024-05-22 09:15:00,sell,420.06,21,-1.95,8821.2,0,0,0.0,0.0
2024-05-24 09:15:00,buy,428.0,23,0.0,9844.0,381890,100729,3182.42,10072.9
2024-05-24 15:23:00,sell,427.63,23,-8.5,9835.5,0,0,0.0,0.0
2024-06-12 09:15:00,buy,474.4,21,0.0,9962.4,247882,79175,2065.68,7917.5
2024-06-12 09:42:00,sell,472.03,21,-49.73,9912.67,0,0,0.0,0.0
2024-06-18 09:15:00,buy,461.0,21,0.0,9681.0,135575,36626,1129.79,3662.6
2024-06-18 10:14:00,sell,457.92,21,-64.59,9616.41,0,0,0.0,0.0
2024-06-21 09:15:00,buy,473.0,21,0.0,9933.0,148975,55816,1241.46,5581.6
2024-06-21 09:39:00,sell,482.82,21,206.28,10139.28,0,0,0.0,0.0
2024-06-25 09:15:00,buy,490.95,20,0.0,9819.0,796627,231703,6638.56,23170.3
2024-06-25 09:41:00,sell,492.82,20,37.44,9856.44,0,0,0.0,0.0
2024-07-01 09:15:00,buy,492.8,20,0.0,9856.0,266194,75148,2218.28,7514.8
2024-07-01 09:32:00,sell,493.42,20,12.32,9868.32,0,0,0.0,0.0
2024-07-02 09:15:00,buy,494.8,20,0.0,9896.0,191864,48283,1598.87,4828.3
2024-07-02 10:33:00,sell,496.49,20,33.7,9929.7,0,0,0.0,0.0
2024-07-09 09:15:00,buy,521.45,19,0.0,9907.55,245988,73379,2049.9,7337.9
2024-07-09 09:27:00,sell,516.24,19,-99.08,9808.47,0,0,0.0,0.0
2024-07-29 09:15:00,buy,563.1,17,0.0,9572.7,366180,103405,3051.5,10340.5
2024-07-29 10:16:00,sell,566.23,17,53.22,9625.92,0,0,0.0,0.0
2024-08-26 09:15:00,buy,690.1,14,0.0,9661.4,259179,75725,2159.82,7572.5
2024-08-26 09:15:00,sell,685.03,14,-70.97,9590.43,0,0,0.0,0.0
2024-09-02 09:15:00,buy,719.9,13,0.0,9358.7,1156277,481314,9635.64,48131.4
2024-09-02 09:17:00,sell,712.7,13,-93.59,9265.11,0,0,0.0,0.0
2024-09-06 09:15:00,buy,703.1,14,0.0,9843.4,392071,111015,3267.26,11101.5
2024-09-06 09:15:00,sell,696.91,14,-86.65,9756.75,0,0,0.0,0.0
2024-09-25 09:15:00,buy,564.1,17,0.0,9589.7,674464,215433,5620.53,21543.3
2024-09-25 09:19:00,sell,562.02,17,-35.31,9554.39,0,0,0.0,0.0
2024-09-26 09:15:00,buy,558.0,17,0.0,9486.0,763114,228224,6359.28,22822.4
2024-09-26 09:24:00,sell,559.05,17,17.9,9503.9,0,0,0.0,0.0
2024-09-30 09:15:00,buy,555.55,17,0.0,9444.35,1384316,386064,11535.97,38606.4
2024-09-30 09:15:00,sell,557.42,17,31.78,9476.13,0,0,0.0,0.0
2024-10-03 09:15:00,buy,576.0,17,0.0,9792.0,1951302,503513,16260.85,50351.3
2024-10-03 09:15:00,sell,570.24,17,-97.92,9694.08,0,0,0.0,0.0
2024-10-08 09:15:00,buy,551.95,18,0.0,9935.1,471599,189458,3929.99,18945.8
2024-10-08 09:15:00,sell,546.43,18,-99.35,9835.75,0,0,0.0,0.0
2024-10-09 09:15:00,buy,557.6,17,0.0,9479.2,378920,150797,3157.67,15079.7
2024-10-09 09:23:00,sell,557.17,17,-7.28,9471.92,0,0,0.0,0.0
2024-10-16 09:15:00,buy,599.9,16,0.0,9598.4,466279,134585,3885.66,13458.5
2024-10-16 09:36:00,sell,601.92,16,32.32,9630.72,0,0,0.0,0.0
2024-10-28 09:15:00,buy,543.0,18,0.0,9774.0,552970,198252,4608.08,19825.2
2024-10-28 09:18:00,sell,540.49,18,-45.17,9728.83,0,0,0.0,0.0
2024-10-30 09:15:00,buy,560.95,17,0.0,9536.15,957657,314828,7980.48,31482.8
2024-10-30 09:19:00,sell,556.38,17,-77.69,9458.46,0,0,0.0,0.0
2024-11-01 18:00:00,buy,570.95,17,0.0,9706.15,868013,238670,7233.44,23867.0
2024-11-01 18:33:00,sell,568.26,17,-45.73,9660.42,0,0,0.0,0.0
2024-11-14 09:15:00,buy,536.05,18,0.0,9648.9,628959,183255,5241.32,18325.5
2024-11-14 09:15:00,sell,534.2,18,-33.23,9615.67,0,0,0.0,0.0
2024-11-18 09:15:00,buy,533.0,18,0.0,9594.0,292153,83610,2434.61,8361.0
2024-11-18 09:15:00,sell,538.56,18,100.08,9694.08,0,0,0.0,0.0
2024-11-26 09:15:00,buy,576.0,17,0.0,9792.0,466202,236789,3885.02,23678.9
2024-11-26 09:49:00,sell,578.8,17,47.66,9839.66,0,0,0.0,0.0
2024-12-13 09:15:00,buy,588.55,16,0.0,9416.8,534676,283942,4455.63,28394.2
2024-12-13 09:30:00,sell,583.01,16,-88.62,9328.18,0,0,0.0,0.0
2024-12-18 09:15:00,buy,590.5,16,0.0,9448.0,619658,249171,5163.82,24917.1
2024-12-18 09:17:00,sell,586.08,16,-70.72,9377.28,0,0,0.0,0.0
2024-12-26 09:15:00,buy,596.5,16,0.0,9544.0,864501,224727,7204.18,22472.7
2024-12-26 09:15:00,sell,590.53,16,-95.44,9448.56,0,0,0.0,0.0
2024-12-31 09:15:00,buy,582.3,17,0.0,9899.1,479843,125813,3998.69,12581.3
2024-12-31 09:51:00,sell,582.66,17,6.2,9905.3,0,0,0.0,0.0
