TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-02-08 09:15:00,buy,1024.1,9,0.0,9216.9,5273820,2550122,43948.5,255012.2
2024-02-08 09:55:00,sell,1017.97,9,-55.19,9161.71,0,0,0.0,0.0
2024-06-19 09:15:00,buy,1127.95,8,0.0,9023.6,6595070,3767278,54958.92,376727.8
2024-06-19 10:29:00,sell,1138.0,8,80.44,9104.04,0,0,0.0,0.0
2024-07-09 09:15:00,buy,1234.95,8,0.0,9879.6,2495993,641302,20799.94,64130.2
2024-07-10 09:52:00,sell,1240.22,8,42.18,9921.78,0,0,0.0,0.0
2024-08-14 09:15:00,buy,1167.0,8,0.0,9336.0,4177868,1073914,34815.57,107391.4
2024-08-14 09:15:00,sell,1158.35,8,-69.2,9266.8,0,0,0.0,0.0
2024-09-02 09:15:00,buy,1239.0,8,0.0,9912.0,12352755,4511428,102939.62,451142.8
2024-09-02 09:45:00,sell,1226.81,8,-97.54,9814.46,0,0,0.0,0.0
2024-09-23 09:15:00,buy,1331.0,7,0.0,9317.0,43537621,18556940,362813.51,1855694.0
2024-09-23 10:41:00,sell,1318.48,7,-87.63,9229.37,0,0,0.0,0.0
2024-11-26 09:15:00,buy,1310.6,7,0.0,9174.2,12230244,3538765,101918.7,353876.5
2024-11-27 09:15:00,sell,1301.11,7,-66.45,9107.75,0,0,0.0,0.0
2024-12-23 09:15:00,buy,1294.65,7,0.0,9062.55,38527938,14068781,321066.15,1406878.1
2024-12-23 11:24:00,sell,1293.93,7,-5.04,9057.51,0,0,0.0,0.0
2024-12-31 09:15:00,buy,1286.9,7,0.0,9008.3,6356525,1772301,52971.04,177230.1
