EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-08 09:15:00,256.5,38,9747,closed,2024-01-08 09:15:00,254.925,-59.84999999999957,-0.61
2024-01-12 09:15:00,265.1,37,9809,closed,2024-01-12 09:15:00,265.32,8.139999999998906,0.08
2024-01-19 09:15:00,261.5,38,9937,closed,2024-01-19 09:15:00,266.5575,192.18500000000017,1.93
2024-03-01 09:15:00,397.5,25,9938,closed,2024-03-01 09:15:00,395.01,-62.25000000000023,-0.63
2024-03-07 09:15:00,370.8,26,9641,closed,2024-03-07 09:15:00,369.46799999999996,-34.63200000000131,-0.36
2024-03-11 09:15:00,369.5,27,9976,closed,2024-03-11 09:15:00,368.676,-22.24800000000033,-0.22
2024-04-05 09:15:00,347.8,28,9738,closed,2024-04-05 09:15:00,344.817,-83.52400000000011,-0.86
2024-04-09 09:15:00,348.95,28,9771,closed,2024-04-09 09:15:00,345.51,-96.31999999999994,-0.99
2024-04-10 09:15:00,343.45,29,9960,closed,2024-04-10 09:15:00,340.56,-83.8099999999996,-0.84
2024-04-22 09:15:00,325.6,30,9768,closed,2024-04-22 09:15:00,326.40299999999996,24.089999999998213,0.25
2024-04-23 09:15:00,333.55,29,9673,closed,2024-04-23 09:15:00,330.2145,-96.72950000000071,-1.0
2024-04-30 09:15:00,352.5,28,9870,closed,2024-04-30 09:15:00,353.232,20.496000000000777,0.21
2024-05-23 09:15:00,366.15,27,9886,closed,2024-05-23 09:15:00,370.755,124.33500000000049,1.26
2024-06-04 09:15:00,363.0,27,9801,closed,2024-06-04 09:15:00,359.37,-98.00999999999988,-1.0
2024-06-25 09:15:00,354.6,28,9929,closed,2024-06-25 09:15:00,352.638,-54.936000000001286,-0.55
2024-07-16 09:15:00,381.85,26,9928,closed,2024-07-16 09:15:00,380.655,-31.0700000000013,-0.31
2024-07-18 09:15:00,372.5,26,9685,closed,2024-07-18 09:15:00,369.072,-89.12799999999993,-0.92
2024-09-11 09:15:00,340.5,29,9874,closed,2024-09-11 09:15:00,337.09499999999997,-98.74500000000086,-1.0
2024-09-13 09:15:00,342.4,29,9930,closed,2024-09-13 09:15:00,346.2525,111.7225000000006,1.13
2024-10-03 09:15:00,330.4,30,9912,closed,2024-10-03 09:15:00,327.9375,-73.87499999999932,-0.75
2024-10-07 09:15:00,318.7,31,9880,closed,2024-10-07 09:15:00,316.60200000000003,-65.03799999999865,-0.66
2024-10-17 09:15:00,306.0,32,9792,closed,2024-10-17 09:15:00,307.494,47.8080000000009,0.49
2024-10-21 09:15:00,307.45,32,9838,closed,2024-10-21 09:15:00,308.78099999999995,42.591999999998734,0.43
2024-11-05 09:15:00,289.3,34,9836,closed,2024-11-05 09:15:00,287.892,-47.872000000000526,-0.49
2024-11-08 09:15:00,290.0,34,9860,closed,2024-11-08 09:15:00,287.793,-75.03799999999978,-0.76
2024-11-29 09:15:00,289.35,34,9838,closed,2024-11-29 09:15:00,288.981,-12.546000000000959,-0.13
2024-12-02 09:15:00,285.05,34,9692,closed,2024-12-02 09:15:00,282.447,-88.5020000000003,-0.91
2024-12-05 09:15:00,287.85,34,9787,closed,2024-12-05 09:15:00,286.01099999999997,-62.526000000001886,-0.64
2024-12-11 09:15:00,295.7,33,9758,closed,2024-12-11 09:15:00,303.83099999999996,268.32299999999907,2.75
2024-12-12 09:15:00,303.95,32,9726,closed,2024-12-12 09:15:00,303.33599999999996,-19.648000000001048,-0.2
2024-12-20 09:15:00,291.3,34,9904,closed,2024-12-20 09:15:00,291.5055,6.986999999999057,0.07
