EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-02 09:15:00,878.0,11,9658,closed,2024-01-02 09:15:00,869.616,-92.22400000000016,-0.95
2024-01-03 09:15:00,860.0,11,9460,closed,2024-01-03 09:15:00,853.281,-73.90900000000056,-0.78
2024-01-05 09:15:00,864.3,11,9507,closed,2024-01-05 09:15:00,862.389,-21.02099999999939,-0.22
2024-02-08 09:15:00,766.9,13,9970,closed,2024-02-08 09:15:00,760.6665,-81.03549999999916,-0.81
2024-02-23 09:15:00,755.0,13,9815,closed,2024-02-23 09:15:00,759.6765,60.794500000000426,0.62
2024-02-26 09:15:00,758.0,13,9854,closed,2024-02-26 09:15:00,750.42,-98.54000000000053,-1.0
2024-02-28 09:15:00,736.5,13,9574,closed,2024-02-28 09:15:00,740.124,47.11200000000031,0.49
2024-03-20 09:15:00,692.7,14,9698,closed,2024-03-20 09:15:00,691.4159999999999,-17.976000000001477,-0.19
2024-03-28 09:15:00,666.95,14,9337,closed,2024-03-28 09:15:00,665.28,-23.38000000000102,-0.25
2024-04-22 09:15:00,784.9,12,9419,closed,2024-04-22 09:15:00,787.446,30.55200000000059,0.32
2024-05-13 09:15:00,1124.95,8,9000,closed,2024-05-13 09:15:00,1119.8880000000001,-40.495999999999185,-0.45
2024-05-14 09:15:00,1216.95,8,9736,closed,2024-05-14 09:15:00,1207.8,-73.20000000000073,-0.75
2024-05-22 09:15:00,1161.9,8,9295,closed,2024-05-22 09:15:00,1154.241,-61.272000000000844,-0.66
2024-06-07 09:15:00,1165.9,8,9327,closed,2024-06-07 09:15:00,1194.2369999999999,226.6959999999981,2.43
2024-06-19 09:15:00,1385.0,7,9695,closed,2024-06-19 09:15:00,1371.348,-95.5640000000003,-0.99
2024-07-10 09:15:00,1380.05,7,9660,closed,2024-07-10 09:15:00,1379.07,-6.860000000000127,-0.07
2024-07-16 09:15:00,1435.0,6,8610,closed,2024-07-18 09:15:00,1434.4605000000001,-3.2369999999991705,-0.04
2024-07-30 09:15:00,1292.95,7,9051,closed,2024-07-30 09:15:00,1297.395,31.114999999999554,0.34
2024-08-12 09:15:00,1195.0,8,9560,closed,2024-08-12 09:15:00,1183.05,-95.60000000000036,-1.0
2024-08-13 09:15:00,1254.7,7,8783,closed,2024-08-13 09:15:00,1243.836,-76.04800000000023,-0.87
2024-08-14 09:15:00,1209.0,8,9672,closed,2024-08-14 09:15:00,1200.672,-66.6239999999998,-0.69
2024-08-16 09:15:00,1214.4,8,9715,closed,2024-08-16 09:15:00,1227.4515,104.41199999999844,1.07
2024-09-02 09:15:00,1340.0,7,9380,closed,2024-09-02 09:15:00,1355.31,107.16999999999962,1.14
2024-09-06 09:15:00,1337.95,7,9366,closed,2024-09-06 09:15:00,1333.9755,-27.821500000000242,-0.3
2024-09-20 09:15:00,1243.05,8,9944,closed,2024-09-20 09:15:00,1240.7175,-18.659999999999854,-0.19
2024-09-30 09:15:00,1215.0,8,9720,closed,2024-09-30 09:15:00,1206.81,-65.52000000000044,-0.67
2024-10-30 09:15:00,1243.8,8,9950,closed,2024-10-30 09:15:00,1237.203,-52.77599999999984,-0.53
2024-11-08 09:15:00,1378.0,7,9646,closed,2024-11-08 09:15:00,1379.367,9.568999999999733,0.1
2024-12-12 09:15:00,1324.9,7,9274,closed,2024-12-12 09:15:00,1315.71,-64.33000000000038,-0.69
2024-12-31 09:15:00,1165.0,8,9320,closed,2024-12-31 09:15:00,1166.4675,11.739999999999782,0.13
