EntryTimeStamp,EntryPrice,Quantity,TotalCost,Status,ExitTimeStamp,ExitPrice,Profit/Loss,Profit/LossPercentage
2024-01-03 09:15:00,2625.0,3,7875,closed,2024-01-08 09:15:00,2574.5,-151.5,-1.92
2024-01-04 09:15:00,2608.0,3,7824,closed,2024-01-08 09:15:00,2574.5,-100.5,-1.28
2024-01-08 09:15:00,2649.9,3,7950,closed,2024-01-09 09:15:00,2517.4049999999997,-397.48500000000104,-5.0
2024-01-10 09:15:00,2529.95,3,7590,closed,2024-01-16 09:15:00,2458.3149999999996,-214.90500000000065,-2.83
2024-01-11 09:15:00,2525.0,3,7575,closed,2024-01-16 09:15:00,2458.3149999999996,-200.0550000000012,-2.64
2024-01-20 09:15:00,2490.05,3,7470,closed,2024-01-23 09:15:00,2407.9175,-246.3975000000005,-3.3
2024-01-23 09:15:00,2467.05,3,7401,closed,2024-01-24 09:15:00,2350.9649999999997,-348.2550000000015,-4.71
2024-01-31 09:15:00,2299.5,4,9198,closed,2024-02-01 09:15:00,2370.2025,282.8099999999995,3.07
2024-02-07 09:15:00,2277.1,4,9108,closed,2024-02-09 09:15:00,2220.9575,-224.5699999999997,-2.47
2024-02-08 09:15:00,2259.45,3,6778,closed,2024-02-09 09:15:00,2220.9575,-115.47749999999951,-1.7
2024-02-12 09:15:00,2202.35,4,8809,closed,2024-02-23 09:15:00,2227.75,101.60000000000036,1.15
2024-02-14 09:15:00,2156.0,4,8624,closed,2024-02-23 09:15:00,2227.75,287.0,3.33
2024-02-20 09:15:00,2289.95,3,6870,closed,2024-02-23 09:15:00,2227.75,-186.59999999999945,-2.72
2024-02-21 09:15:00,2312.0,3,6936,closed,2024-02-23 09:15:00,2227.75,-252.75,-3.64
2024-02-23 09:15:00,2270.05,2,4540,closed,2024-02-29 09:15:00,2166.1425,-207.8150000000005,-4.58
2024-03-01 09:15:00,2194.0,4,8776,closed,2024-03-06 09:15:00,2310.3524999999995,465.40999999999804,5.3
2024-03-12 09:15:00,2223.7,4,8895,closed,2024-03-13 09:15:00,2118.6425,-420.22999999999956,-4.72
2024-03-15 09:15:00,2058.75,4,8235,closed,2024-03-26 09:15:00,2056.75,-8.0,-0.1
2024-03-21 09:15:00,2076.4,4,8306,closed,2024-03-26 09:15:00,2056.75,-78.60000000000036,-0.95
2024-03-27 09:15:00,2050.1,4,8200,closed,2024-04-08 09:15:00,2201.1975,604.3900000000012,7.37
2024-04-02 09:15:00,2110.0,4,8440,closed,2024-04-08 09:15:00,2201.1975,364.7900000000009,4.32
2024-04-08 09:15:00,2255.9,3,6768,closed,2024-04-15 09:15:00,2211.3624999999997,-133.6125000000011,-1.97
2024-04-09 09:15:00,2182.1,4,8728,closed,2024-04-15 09:15:00,2211.3624999999997,117.04999999999927,1.34
2024-04-16 09:15:00,2173.3,4,8693,closed,2024-05-03 09:15:00,2166.0,-29.200000000000728,-0.34
2024-04-23 09:15:00,2204.0,4,8816,closed,2024-05-03 09:15:00,2166.0,-152.0,-1.72
2024-04-24 09:15:00,2280.0,3,6840,closed,2024-05-03 09:15:00,2166.0,-342.0,-5.0
2024-04-26 09:15:00,2256.95,3,6771,closed,2024-05-03 09:15:00,2144.1024999999995,-338.5425000000009,-5.0
2024-05-02 09:15:00,2193.9,3,6582,closed,2024-05-07 09:15:00,2094.75,-297.4500000000003,-4.52
2024-05-03 09:15:00,2187.35,2,4375,closed,2024-05-07 09:15:00,2094.75,-185.19999999999982,-4.23
2024-05-13 09:15:00,2150.0,4,8600,closed,2024-05-24 09:15:00,2185.95,143.79999999999927,1.67
2024-05-16 09:15:00,2170.95,4,8684,closed,2024-05-24 09:15:00,2185.95,60.0,0.69
2024-05-17 09:15:00,2189.95,3,6570,closed,2024-05-24 09:15:00,2185.95,-12.0,-0.18
2024-05-18 09:15:00,2233.0,3,6699,closed,2024-05-24 09:15:00,2185.95,-141.15000000000055,-2.11
2024-05-23 09:15:00,2260.0,2,4520,closed,2024-05-27 09:15:00,2165.0024999999996,-189.9950000000008,-4.2
2024-05-31 09:15:00,2129.0,4,8516,closed,2024-06-04 09:15:00,2060.5024999999996,-273.9900000000016,-3.22
2024-06-03 09:15:00,2139.0,4,8556,closed,2024-06-04 09:15:00,2060.5024999999996,-313.9900000000016,-3.67
2024-06-06 09:15:00,2140.0,4,8560,closed,2024-06-21 09:15:00,2381.65,966.6000000000004,11.29
2024-06-07 09:15:00,2136.1,4,8544,closed,2024-06-21 09:15:00,2381.65,982.2000000000007,11.5
2024-06-12 09:15:00,2203.0,3,6609,closed,2024-06-21 09:15:00,2381.65,535.9500000000003,8.11
2024-06-13 09:15:00,2195.0,3,6585,closed,2024-06-21 09:15:00,2381.65,559.9500000000003,8.5
2024-07-09 09:15:00,2338.0,4,9352,closed,2024-07-16 09:15:00,2308.5,-118.0,-1.26
2024-07-10 09:15:00,2360.0,3,7080,closed,2024-07-16 09:15:00,2308.5,-154.5,-2.18
2024-07-16 09:15:00,2399.45,3,7198,closed,2024-07-16 09:15:00,2308.5,-272.84999999999945,-3.79
2024-07-18 09:15:00,2348.65,4,9395,closed,2024-07-22 09:15:00,2237.9149999999995,-442.9400000000023,-4.71
