,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
89,ASAHIINDIA_minute,long,2024-02-05 15:21:00,2024-02-06 09:15:00,536.75,537.05,1,536.75,537.05,closed,0.3,0.0559
113,ASAHIINDIA_minute,long,2024-02-08 15:21:00,2024-02-09 09:16:00,538.8,539.4,1,538.8,539.4,closed,0.6,0.1116
175,ASAHIINDIA_minute,long,2024-02-16 15:21:00,2024-02-19 15:29:00,544.05,538.0,1,544.05,538.0,closed,-6.05,-1.112
219,ASAHIINDIA_minute,long,2024-02-27 15:21:00,2024-02-28 09:16:00,537.45,534.55,1,537.45,534.55,closed,-2.9,-0.5395
235,ASAHIINDIA_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,537.95,532.25,1,537.95,532.25,closed,-5.7,-1.0596
375,ASAHIINDIA_minute,long,2024-03-21 15:21:00,2024-03-22 15:29:00,519.8,528.2,1,519.8,528.2,closed,8.4,1.616
379,ASAHIINDIA_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,531.2,531.05,1,531.2,531.05,closed,-0.15,-0.0282
414,ASAHIINDIA_minute,long,2024-03-28 15:21:00,2024-04-01 15:29:00,537.65,557.0,1,537.65,557.0,closed,19.35,3.599
428,ASAHIINDIA_minute,long,2024-04-01 15:21:00,2024-04-02 09:15:00,551.6,550.0,1,551.6,550.0,closed,-1.6,-0.2901
441,ASAHIINDIA_minute,long,2024-04-02 15:21:00,2024-04-03 15:29:00,563.7,561.0,1,563.7,561.0,closed,-2.7,-0.479
452,ASAHIINDIA_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,560.0,570.0,1,560.0,570.0,closed,10.0,1.7857
493,ASAHIINDIA_minute,long,2024-04-09 15:21:00,2024-04-10 09:16:00,596.45,591.52,1,596.45,591.52,closed,-4.93,-0.8257
503,ASAHIINDIA_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,588.85,575.1,1,588.85,575.1,closed,-13.75,-2.3351
653,ASAHIINDIA_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,606.9,601.5,1,606.9,601.5,closed,-5.4,-0.8898
701,ASAHIINDIA_minute,long,2024-05-08 15:21:00,2024-05-09 09:15:00,626.5,629.89,1,626.5,629.89,closed,3.39,0.5407
741,ASAHIINDIA_minute,long,2024-05-14 15:21:00,2024-05-15 15:29:00,603.8,612.8,1,603.8,612.8,closed,9.0,1.4906
927,ASAHIINDIA_minute,long,2024-06-13 15:21:00,2024-06-14 15:29:00,620.05,620.95,1,620.05,620.95,closed,0.9,0.1451
