,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
763,BHARTIHEXA_minute,long,2024-05-15 15:21:00,2024-05-16 09:19:00,954.0,954.81,1,954.0,954.81,closed,0.81,0.0844
794,BHARTIHEXA_minute,long,2024-05-17 15:21:00,2024-05-18 12:29:00,968.0,957.0,1,968.0,957.0,closed,-11.0,-1.1364
832,BHARTIHEXA_minute,long,2024-05-27 15:21:00,2024-05-28 15:29:00,1030.0,994.6,1,1030.0,994.6,closed,-35.4,-3.4369
874,BHARTIHEXA_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,1019.35,1067.22,1,1019.35,1067.22,closed,47.87,4.6961
883,BHARTIHEXA_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,1074.55,1061.05,1,1074.55,1061.05,closed,-13.5,-1.2563
891,BHARTIHEXA_minute,long,2024-06-04 15:21:00,2024-06-05 09:15:00,969.1,969.11,1,969.1,969.11,closed,0.01,0.0011
961,BHARTIHEXA_minute,long,2024-06-14 15:21:00,2024-06-18 15:29:00,1081.8,1155.55,1,1081.8,1155.55,closed,73.75,6.8173
987,BHARTIHEXA_minute,long,2024-06-20 15:21:00,2024-06-21 15:29:00,1134.4,1122.0,1,1134.4,1122.0,closed,-12.4,-1.0931
1070,BHARTIHEXA_minute,long,2024-07-02 15:21:00,2024-07-03 09:15:00,1082.4,1083.26,1,1082.4,1083.26,closed,0.86,0.0793
1161,BHARTIHEXA_minute,long,2024-07-16 15:21:00,2024-07-18 09:15:00,1137.3,1140.95,1,1137.3,1140.95,closed,3.65,0.3209
1196,BHARTIHEXA_minute,long,2024-07-23 15:21:00,2024-07-24 09:15:00,1114.15,1120.0,1,1114.15,1120.0,closed,5.85,0.5251
1205,BHARTIHEXA_minute,long,2024-07-24 15:21:00,2024-07-25 09:15:00,1157.05,1142.0,1,1157.05,1142.0,closed,-15.05,-1.3007
1225,BHARTIHEXA_minute,long,2024-07-26 15:21:00,2024-07-29 09:15:00,1167.2,1173.95,1,1167.2,1173.95,closed,6.75,0.5783
1285,BHARTIHEXA_minute,long,2024-08-05 15:21:00,2024-08-06 09:16:00,1117.65,1138.5,1,1117.65,1138.5,closed,20.85,1.8655
1312,BHARTIHEXA_minute,long,2024-08-08 15:21:00,2024-08-09 15:29:00,1131.7,1126.5,1,1131.7,1126.5,closed,-5.2,-0.4595
1346,BHARTIHEXA_minute,long,2024-08-16 15:21:00,2024-08-19 09:15:00,1149.65,1138.5,1,1149.65,1138.5,closed,-11.15,-0.9699
1417,BHARTIHEXA_minute,long,2024-08-26 15:21:00,2024-08-27 09:17:00,1168.9,1173.15,1,1168.9,1173.15,closed,4.25,0.3636
1701,BHARTIHEXA_minute,long,2024-09-27 15:21:00,2024-09-30 09:15:00,1490.9,1475.99,1,1490.9,1475.99,closed,-14.91,-1.0
1718,BHARTIHEXA_minute,long,2024-10-01 15:21:00,2024-10-03 09:15:00,1398.35,1384.37,1,1398.35,1384.37,closed,-13.98,-1.0
1751,BHARTIHEXA_minute,long,2024-10-07 15:21:00,2024-10-08 09:15:00,1388.0,1380.0,1,1388.0,1380.0,closed,-8.0,-0.5764
1853,BHARTIHEXA_minute,long,2024-10-15 15:21:00,2024-10-16 09:15:00,1475.95,1475.65,1,1475.95,1475.65,closed,-0.3,-0.0203
1865,BHARTIHEXA_minute,long,2024-10-16 15:21:00,2024-10-17 15:29:00,1516.1,1499.0,1,1516.1,1499.0,closed,-17.1,-1.1279
1889,BHARTIHEXA_minute,long,2024-10-21 15:21:00,2024-10-22 09:15:00,1512.85,1506.78,1,1512.85,1506.78,closed,-6.07,-0.4012
1998,BHARTIHEXA_minute,long,2024-11-04 15:21:00,2024-11-05 09:15:00,1385.2,1371.35,1,1385.2,1371.35,closed,-13.85,-1.0
2024,BHARTIHEXA_minute,long,2024-11-06 15:21:00,2024-11-07 09:15:00,1470.05,1455.35,1,1470.05,1455.35,closed,-14.7,-1.0
2042,BHARTIHEXA_minute,long,2024-11-11 15:21:00,2024-11-12 09:15:00,1400.7,1374.95,1,1400.7,1374.95,closed,-25.75,-1.8384
2051,BHARTIHEXA_minute,long,2024-11-12 15:21:00,2024-11-13 09:17:00,1376.85,1377.75,1,1376.85,1377.75,closed,0.9,0.0654
2073,BHARTIHEXA_minute,long,2024-11-14 15:21:00,2024-11-18 09:15:00,1425.95,1411.69,1,1425.95,1411.69,closed,-14.26,-1.0
2152,BHARTIHEXA_minute,long,2024-11-27 15:21:00,2024-11-28 09:15:00,1320.6,1314.72,1,1320.6,1314.72,closed,-5.88,-0.4453
2202,BHARTIHEXA_minute,long,2024-11-29 15:21:00,2024-12-02 09:15:00,1377.75,1388.7,1,1377.75,1388.7,closed,10.95,0.7948
2260,BHARTIHEXA_minute,long,2024-12-05 15:21:00,2024-12-06 09:15:00,1407.05,1402.53,1,1407.05,1402.53,closed,-4.52,-0.321
2381,BHARTIHEXA_minute,long,2024-12-24 15:21:00,2024-12-26 09:15:00,1492.55,1477.62,1,1492.55,1477.62,closed,-14.93,-1.0
