,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
137,BPCL_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,292.4,291.0,1,292.4,291.0,closed,-1.4,-0.4788
165,BPCL_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,312.4,325.0,1,312.4,325.0,closed,12.6,4.0333
175,BPCL_minute,long,2024-02-15 15:21:00,2024-02-16 09:15:00,326.9,333.0,1,326.9,333.0,closed,6.1,1.866
193,BPCL_minute,long,2024-02-19 15:21:00,2024-02-20 15:29:00,326.1,331.75,1,326.1,331.75,closed,5.65,1.7326
271,BPCL_minute,long,2024-02-29 15:21:00,2024-03-01 15:29:00,303.6,311.5,1,303.6,311.5,closed,7.9,2.6021
300,BPCL_minute,long,2024-03-05 15:21:00,2024-03-06 09:15:00,322.6,319.37,1,322.6,319.37,closed,-3.23,-1.0
324,BPCL_minute,long,2024-03-11 15:21:00,2024-03-12 15:29:00,313.1,311.4,1,313.1,311.4,closed,-1.7,-0.543
378,BPCL_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,295.2,292.25,1,295.2,292.25,closed,-2.95,-1.0
494,BPCL_minute,long,2024-04-02 15:21:00,2024-04-03 09:15:00,308.1,305.02,1,308.1,305.02,closed,-3.08,-1.0
529,BPCL_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,295.4,296.0,1,295.4,296.0,closed,0.6,0.2031
553,BPCL_minute,long,2024-04-09 15:21:00,2024-04-10 15:29:00,292.8,302.85,1,292.8,302.85,closed,10.05,3.4324
560,BPCL_minute,long,2024-04-10 15:21:00,2024-04-12 09:17:00,302.75,299.92,1,302.75,299.92,closed,-2.83,-0.9346
592,BPCL_minute,long,2024-04-15 15:21:00,2024-04-16 09:15:00,294.9,291.95,1,294.9,291.95,closed,-2.95,-1.0
626,BPCL_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,296.05,289.0,1,296.05,289.0,closed,-7.05,-2.3814
653,BPCL_minute,long,2024-04-22 15:21:00,2024-04-23 09:16:00,301.8,301.7,1,301.8,301.7,closed,-0.1,-0.0323
