,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
14,BSOFT_minute,long,2024-01-20 15:21:00,2024-01-23 15:29:00,804.25,804.45,1,804.25,804.45,closed,0.2,0.0249
39,BSOFT_minute,long,2024-01-24 15:21:00,2024-01-25 09:15:00,823.25,827.54,1,823.25,827.54,closed,4.29,0.5212
62,BSOFT_minute,long,2024-01-30 15:21:00,2024-01-31 15:29:00,845.95,849.0,1,845.95,849.0,closed,3.05,0.3605
79,BSOFT_minute,long,2024-01-31 15:21:00,2024-02-01 09:15:00,849.55,841.35,1,849.55,841.35,closed,-8.2,-0.965
86,BSOFT_minute,long,2024-02-02 15:21:00,2024-02-05 15:29:00,847.0,835.0,1,847.0,835.0,closed,-12.0,-1.4168
140,BSOFT_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,843.05,834.0,1,843.05,834.0,closed,-9.05,-1.0735
167,BSOFT_minute,long,2024-02-14 15:21:00,2024-02-15 09:16:00,835.0,844.0,1,835.0,844.0,closed,9.0,1.0778
177,BSOFT_minute,long,2024-02-15 15:21:00,2024-02-16 15:29:00,843.1,841.9,1,843.1,841.9,closed,-1.2,-0.1423
202,BSOFT_minute,long,2024-02-20 15:21:00,2024-02-21 15:29:00,806.95,793.0,1,806.95,793.0,closed,-13.95,-1.7287
225,BSOFT_minute,long,2024-02-22 15:21:00,2024-02-23 15:29:00,819.7,809.45,1,819.7,809.45,closed,-10.25,-1.2505
303,BSOFT_minute,long,2024-03-05 15:21:00,2024-03-06 09:17:00,758.7,751.11,1,758.7,751.11,closed,-7.59,-1.0
322,BSOFT_minute,long,2024-03-06 15:21:00,2024-03-07 09:17:00,768.3,767.79,1,768.3,767.79,closed,-0.51,-0.0658
372,BSOFT_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,763.05,755.42,1,763.05,755.42,closed,-7.63,-1.0
390,BSOFT_minute,long,2024-03-15 15:21:00,2024-03-18 09:15:00,756.5,748.94,1,756.5,748.94,closed,-7.57,-1.0
417,BSOFT_minute,long,2024-03-20 15:21:00,2024-03-21 09:15:00,718.6,725.45,1,718.6,725.45,closed,6.85,0.9532
430,BSOFT_minute,long,2024-03-22 15:21:00,2024-03-26 15:29:00,733.05,746.5,1,733.05,746.5,closed,13.45,1.8348
442,BSOFT_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,745.35,762.8,1,745.35,762.8,closed,17.45,2.3412
462,BSOFT_minute,long,2024-03-27 15:21:00,2024-03-28 09:16:00,761.5,761.31,1,761.5,761.31,closed,-0.19,-0.025
485,BSOFT_minute,long,2024-04-01 15:21:00,2024-04-02 15:29:00,761.6,766.65,1,761.6,766.65,closed,5.05,0.6631
517,BSOFT_minute,long,2024-04-03 15:21:00,2024-04-04 09:15:00,777.55,782.0,1,777.55,782.0,closed,4.45,0.5724
541,BSOFT_minute,long,2024-04-05 15:21:00,2024-04-08 09:15:00,750.05,748.44,1,750.05,748.44,closed,-1.61,-0.2147
600,BSOFT_minute,long,2024-04-16 15:21:00,2024-04-18 15:29:00,709.15,703.0,1,709.15,703.0,closed,-6.15,-0.8672
627,BSOFT_minute,long,2024-04-19 15:21:00,2024-04-22 09:15:00,683.25,683.55,1,683.25,683.55,closed,0.3,0.0432
638,BSOFT_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,658.95,651.3,1,658.95,651.3,closed,-7.65,-1.1609
657,BSOFT_minute,long,2024-04-23 15:21:00,2024-04-24 15:29:00,654.65,659.8,1,654.65,659.8,closed,5.15,0.7867
671,BSOFT_minute,long,2024-04-24 15:21:00,2024-04-25 09:15:00,658.75,657.26,1,658.75,657.26,closed,-1.49,-0.226
720,BSOFT_minute,long,2024-05-02 15:21:00,2024-05-03 09:19:00,643.75,641.97,1,643.75,641.97,closed,-1.78,-0.2772
724,BSOFT_minute,long,2024-05-03 15:21:00,2024-05-06 09:17:00,634.2,634.54,1,634.2,634.54,closed,0.34,0.0537
740,BSOFT_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,613.7,608.85,1,613.7,608.85,closed,-4.85,-0.7903
785,BSOFT_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,585.2,609.55,1,585.2,609.55,closed,24.35,4.161
816,BSOFT_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,615.9,610.7,1,615.9,610.7,closed,-5.2,-0.8443
871,BSOFT_minute,long,2024-05-23 15:21:00,2024-05-24 15:29:00,617.15,618.7,1,617.15,618.7,closed,1.55,0.2512
912,BSOFT_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,605.4,612.41,1,605.4,612.41,closed,7.01,1.1586
936,BSOFT_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,614.0,607.86,1,614.0,607.86,closed,-6.14,-1.0
974,BSOFT_minute,long,2024-06-07 15:21:00,2024-06-10 09:16:00,678.25,681.76,1,678.25,681.76,closed,3.51,0.518
1010,BSOFT_minute,long,2024-06-18 15:21:00,2024-06-19 15:29:00,684.1,689.4,1,684.1,689.4,closed,5.3,0.7747
1103,BSOFT_minute,long,2024-07-01 15:21:00,2024-07-02 09:19:00,718.05,718.1,1,718.05,718.1,closed,0.05,0.0065
1136,BSOFT_minute,long,2024-07-04 15:21:00,2024-07-05 15:29:00,717.7,714.45,1,717.7,714.45,closed,-3.25,-0.4528
1148,BSOFT_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,708.0,704.0,1,708.0,704.0,closed,-4.0,-0.565
1202,BSOFT_minute,long,2024-07-19 15:21:00,2024-07-22 09:15:00,725.15,711.1,1,725.15,711.1,closed,-14.05,-1.9375
1271,BSOFT_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,720.0,711.0,1,720.0,711.0,closed,-9.0,-1.25
1322,BSOFT_minute,long,2024-08-01 15:21:00,2024-08-02 09:15:00,642.8,630.4,1,642.8,630.4,closed,-12.4,-1.9291
1331,BSOFT_minute,long,2024-08-05 15:21:00,2024-08-06 09:15:00,576.25,593.0,1,576.25,593.0,closed,16.75,2.9067
1376,BSOFT_minute,long,2024-08-09 15:21:00,2024-08-12 09:15:00,579.05,573.26,1,579.05,573.26,closed,-5.79,-1.0
1422,BSOFT_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,566.1,600.15,1,566.1,600.15,closed,34.05,6.0148
1451,BSOFT_minute,long,2024-08-19 15:21:00,2024-08-20 09:16:00,623.6,618.65,1,623.6,618.65,closed,-4.95,-0.7936
1460,BSOFT_minute,long,2024-08-20 15:21:00,2024-08-21 09:15:00,615.95,609.79,1,615.95,609.79,closed,-6.16,-1.0
1486,BSOFT_minute,long,2024-08-23 15:21:00,2024-08-26 09:15:00,604.25,609.84,1,604.25,609.84,closed,5.59,0.9251
1516,BSOFT_minute,long,2024-08-28 15:21:00,2024-08-29 09:15:00,661.8,658.65,1,661.8,658.65,closed,-3.15,-0.4764
1527,BSOFT_minute,long,2024-08-29 15:21:00,2024-08-30 09:15:00,680.75,681.45,1,680.75,681.45,closed,0.7,0.1028
1569,BSOFT_minute,long,2024-09-03 15:21:00,2024-09-04 09:15:00,669.75,653.05,1,669.75,653.05,closed,-16.7,-2.4935
1633,BSOFT_minute,long,2024-09-11 15:21:00,2024-09-12 15:29:00,629.65,639.0,1,629.65,639.0,closed,9.35,1.485
1645,BSOFT_minute,long,2024-09-13 15:21:00,2024-09-16 09:15:00,661.5,658.94,1,661.5,658.94,closed,-2.56,-0.3864
1683,BSOFT_minute,long,2024-09-19 15:21:00,2024-09-20 15:29:00,625.65,631.95,1,625.65,631.95,closed,6.3,1.007
1712,BSOFT_minute,long,2024-09-20 15:21:00,2024-09-23 09:17:00,632.75,631.62,1,632.75,631.62,closed,-1.13,-0.1786
1717,BSOFT_minute,long,2024-09-23 15:21:00,2024-09-24 15:29:00,631.3,631.65,1,631.3,631.65,closed,0.35,0.0554
1746,BSOFT_minute,long,2024-09-26 15:21:00,2024-09-27 15:29:00,616.4,604.4,1,616.4,604.4,closed,-12.0,-1.9468
1768,BSOFT_minute,long,2024-09-27 15:21:00,2024-09-30 15:29:00,604.8,602.0,1,604.8,602.0,closed,-2.8,-0.463
1782,BSOFT_minute,long,2024-09-30 15:21:00,2024-10-01 09:18:00,601.8,602.66,1,601.8,602.66,closed,0.86,0.1433
1813,BSOFT_minute,long,2024-10-07 15:21:00,2024-10-08 09:16:00,567.2,564.3,1,567.2,564.3,closed,-2.9,-0.5113
1874,BSOFT_minute,long,2024-10-11 15:21:00,2024-10-14 09:15:00,600.0,598.9,1,600.0,598.9,closed,-1.1,-0.1832
1888,BSOFT_minute,long,2024-10-14 15:21:00,2024-10-15 15:29:00,596.5,593.7,1,596.5,593.7,closed,-2.8,-0.4694
1909,BSOFT_minute,long,2024-10-15 15:21:00,2024-10-16 09:16:00,593.85,588.7,1,593.85,588.7,closed,-5.15,-0.8666
1945,BSOFT_minute,long,2024-10-18 15:21:00,2024-10-21 09:17:00,594.0,593.26,1,594.0,593.26,closed,-0.74,-0.125
1950,BSOFT_minute,long,2024-10-21 15:21:00,2024-10-22 09:15:00,597.45,593.46,1,597.45,593.46,closed,-3.99,-0.6686
2074,BSOFT_minute,long,2024-11-04 15:21:00,2024-11-05 15:29:00,549.5,557.0,1,549.5,557.0,closed,7.5,1.3649
2162,BSOFT_minute,long,2024-11-13 15:21:00,2024-11-14 09:15:00,551.35,550.15,1,551.35,550.15,closed,-1.2,-0.2176
2172,BSOFT_minute,long,2024-11-14 15:21:00,2024-11-18 09:15:00,560.6,557.37,1,560.6,557.37,closed,-3.23,-0.5762
2195,BSOFT_minute,long,2024-11-18 15:21:00,2024-11-19 15:29:00,546.2,550.0,1,546.2,550.0,closed,3.8,0.6957
2266,BSOFT_minute,long,2024-11-25 15:21:00,2024-11-26 15:29:00,570.5,592.85,1,570.5,592.85,closed,22.35,3.9176
2291,BSOFT_minute,long,2024-11-27 15:21:00,2024-11-28 15:29:00,601.25,592.1,1,601.25,592.1,closed,-9.15,-1.5218
2349,BSOFT_minute,long,2024-12-02 15:21:00,2024-12-03 15:29:00,597.3,600.25,1,597.3,600.25,closed,2.95,0.4939
2420,BSOFT_minute,long,2024-12-09 15:21:00,2024-12-10 15:29:00,609.05,608.5,1,609.05,608.5,closed,-0.55,-0.0903
