,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
21,FLUOROCHEM_minute,long,2024-01-23 15:21:00,2024-01-24 09:15:00,3649.45,3641.12,1,3649.45,3641.12,closed,-8.33,-0.2282
48,FLUOROCHEM_minute,long,2024-01-25 15:21:00,2024-01-29 15:29:00,3568.4,3705.9,1,3568.4,3705.9,closed,137.5,3.8533
52,FLUOROCHEM_minute,long,2024-01-29 15:21:00,2024-01-30 15:29:00,3721.3,3615.0,1,3721.3,3615.0,closed,-106.3,-2.8565
75,FLUOROCHEM_minute,long,2024-01-31 15:21:00,2024-02-01 09:16:00,3694.35,3672.95,1,3694.35,3672.95,closed,-21.4,-0.5793
104,FLUOROCHEM_minute,long,2024-02-06 15:21:00,2024-02-07 09:15:00,3649.9,3646.86,1,3649.9,3646.86,closed,-3.04,-0.0832
126,FLUOROCHEM_minute,long,2024-02-08 15:21:00,2024-02-09 09:15:00,3511.45,3476.34,1,3511.45,3476.34,closed,-35.11,-1.0
137,FLUOROCHEM_minute,long,2024-02-12 15:21:00,2024-02-13 09:15:00,3425.6,3391.34,1,3425.6,3391.34,closed,-34.26,-1.0
254,FLUOROCHEM_minute,long,2024-02-26 15:21:00,2024-02-27 15:29:00,3690.35,3677.0,1,3690.35,3677.0,closed,-13.35,-0.3618
276,FLUOROCHEM_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,3690.85,3686.76,1,3690.85,3686.76,closed,-4.09,-0.1108
320,FLUOROCHEM_minute,long,2024-03-06 15:21:00,2024-03-07 09:15:00,3622.35,3586.13,1,3622.35,3586.13,closed,-36.22,-1.0
428,FLUOROCHEM_minute,long,2024-03-26 15:21:00,2024-03-27 09:15:00,3130.85,3129.0,1,3130.85,3129.0,closed,-1.85,-0.0591
465,FLUOROCHEM_minute,long,2024-04-01 15:21:00,2024-04-02 09:17:00,3207.2,3199.58,1,3207.2,3199.58,closed,-7.62,-0.2376
544,FLUOROCHEM_minute,long,2024-04-10 15:21:00,2024-04-12 09:17:00,3471.2,3440.2,1,3471.2,3440.2,closed,-31.0,-0.893
551,FLUOROCHEM_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,3586.7,3547.0,1,3586.7,3547.0,closed,-39.7,-1.1069
680,FLUOROCHEM_minute,long,2024-05-02 15:21:00,2024-05-03 09:15:00,3644.65,3628.35,1,3644.65,3628.35,closed,-16.3,-0.4472
686,FLUOROCHEM_minute,long,2024-05-03 15:21:00,2024-05-06 09:15:00,3580.1,3544.3,1,3580.1,3544.3,closed,-35.8,-1.0
703,FLUOROCHEM_minute,long,2024-05-08 15:21:00,2024-05-09 15:29:00,3293.35,3195.1,1,3293.35,3195.1,closed,-98.25,-2.9833
783,FLUOROCHEM_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,3223.8,3241.0,1,3223.8,3241.0,closed,17.2,0.5335
