,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
12,JSWENERGY_minute,long,2024-01-20 15:21:00,2024-01-23 09:16:00,508.9,511.04,1,508.9,511.04,closed,2.14,0.4201
32,JSWENERGY_minute,long,2024-01-24 15:21:00,2024-01-25 09:15:00,491.0,492.85,1,491.0,492.85,closed,1.85,0.3768
98,JSWENERGY_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,493.75,494.0,1,493.75,494.0,closed,0.25,0.0506
117,JSWENERGY_minute,long,2024-02-08 15:21:00,2024-02-09 09:18:00,505.0,506.78,1,505.0,506.78,closed,1.78,0.3527
140,JSWENERGY_minute,long,2024-02-13 15:21:00,2024-02-14 09:15:00,486.95,474.0,1,486.95,474.0,closed,-12.95,-2.6594
174,JSWENERGY_minute,long,2024-02-15 15:21:00,2024-02-16 15:29:00,484.95,479.75,1,484.95,479.75,closed,-5.2,-1.0723
192,JSWENERGY_minute,long,2024-02-19 15:21:00,2024-02-20 09:15:00,499.95,494.95,1,499.95,494.95,closed,-5.0,-1.0
215,JSWENERGY_minute,long,2024-02-21 15:21:00,2024-02-22 09:16:00,485.75,484.11,1,485.75,484.11,closed,-1.64,-0.3376
238,JSWENERGY_minute,long,2024-02-23 15:21:00,2024-02-26 09:15:00,509.7,511.5,1,509.7,511.5,closed,1.8,0.3531
289,JSWENERGY_minute,long,2024-02-29 15:21:00,2024-03-01 09:19:00,511.05,509.65,1,511.05,509.65,closed,-1.4,-0.2736
311,JSWENERGY_minute,long,2024-03-06 15:21:00,2024-03-07 09:17:00,515.65,520.15,1,515.65,520.15,closed,4.5,0.8727
325,JSWENERGY_minute,long,2024-03-11 15:21:00,2024-03-12 09:15:00,509.7,504.6,1,509.7,504.6,closed,-5.1,-1.0
351,JSWENERGY_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,480.75,477.18,1,480.75,477.18,closed,-3.57,-0.7426
498,JSWENERGY_minute,long,2024-04-02 15:21:00,2024-04-03 09:15:00,541.95,547.0,1,541.95,547.0,closed,5.05,0.9318
532,JSWENERGY_minute,long,2024-04-05 15:21:00,2024-04-08 09:15:00,599.5,602.0,1,599.5,602.0,closed,2.5,0.417
541,JSWENERGY_minute,long,2024-04-08 15:21:00,2024-04-09 09:15:00,629.55,624.34,1,629.55,624.34,closed,-5.21,-0.827
619,JSWENERGY_minute,long,2024-04-18 15:21:00,2024-04-19 09:15:00,629.45,622.0,1,629.45,622.0,closed,-7.45,-1.1836
675,JSWENERGY_minute,long,2024-04-24 15:21:00,2024-04-25 09:15:00,602.3,603.0,1,602.3,603.0,closed,0.7,0.1162
727,JSWENERGY_minute,long,2024-04-30 15:21:00,2024-05-02 09:15:00,628.25,632.1,1,628.25,632.1,closed,3.85,0.6128
747,JSWENERGY_minute,long,2024-05-03 15:21:00,2024-05-06 09:15:00,644.75,638.3,1,644.75,638.3,closed,-6.45,-1.0
769,JSWENERGY_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,584.0,592.0,1,584.0,592.0,closed,8.0,1.3699
776,JSWENERGY_minute,long,2024-05-08 15:21:00,2024-05-09 09:15:00,560.0,566.0,1,560.0,566.0,closed,6.0,1.0714
796,JSWENERGY_minute,long,2024-05-10 15:21:00,2024-05-13 09:15:00,569.85,564.55,1,569.85,564.55,closed,-5.3,-0.9305
807,JSWENERGY_minute,long,2024-05-13 15:21:00,2024-05-14 15:29:00,574.9,600.15,1,574.9,600.15,closed,25.25,4.3921
818,JSWENERGY_minute,long,2024-05-14 15:21:00,2024-05-15 09:16:00,602.15,604.7,1,602.15,604.7,closed,2.55,0.4235
841,JSWENERGY_minute,long,2024-05-16 15:21:00,2024-05-17 15:29:00,598.8,592.8,1,598.8,592.8,closed,-6.0,-1.002
872,JSWENERGY_minute,long,2024-05-21 15:21:00,2024-05-22 09:16:00,603.55,604.95,1,603.55,604.95,closed,1.4,0.232
909,JSWENERGY_minute,long,2024-05-24 15:21:00,2024-05-27 09:15:00,600.6,602.46,1,600.6,602.46,closed,1.86,0.3104
915,JSWENERGY_minute,long,2024-05-27 15:21:00,2024-05-28 09:15:00,622.5,624.25,1,622.5,624.25,closed,1.75,0.2811
933,JSWENERGY_minute,long,2024-05-29 15:21:00,2024-05-30 09:15:00,604.85,606.28,1,604.85,606.28,closed,1.43,0.2358
944,JSWENERGY_minute,long,2024-05-31 15:21:00,2024-06-03 09:15:00,619.85,644.0,1,619.85,644.0,closed,24.15,3.8961
977,JSWENERGY_minute,long,2024-06-03 15:21:00,2024-06-04 09:15:00,660.0,654.39,1,660.0,654.39,closed,-5.61,-0.85
992,JSWENERGY_minute,long,2024-06-04 15:21:00,2024-06-05 09:15:00,556.25,574.2,1,556.25,574.2,closed,17.95,3.227
1000,JSWENERGY_minute,long,2024-06-05 15:21:00,2024-06-06 09:15:00,614.6,608.85,1,614.6,608.85,closed,-5.75,-0.9356
1029,JSWENERGY_minute,long,2024-06-07 15:21:00,2024-06-10 15:29:00,627.7,629.7,1,627.7,629.7,closed,2.0,0.3186
1039,JSWENERGY_minute,long,2024-06-11 15:21:00,2024-06-12 15:29:00,638.8,653.2,1,638.8,653.2,closed,14.4,2.2542
