,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
33,JYOTHYLAB_minute,long,2024-01-24 15:21:00,2024-01-25 09:16:00,535.6,538.05,1,535.6,538.05,closed,2.45,0.4574
46,JYOTHYLAB_minute,long,2024-01-25 15:21:00,2024-01-29 09:16:00,548.55,547.67,1,548.55,547.67,closed,-0.88,-0.1608
55,JYOTHYLAB_minute,long,2024-01-29 15:21:00,2024-01-30 15:29:00,535.85,534.85,1,535.85,534.85,closed,-1.0,-0.1866
66,JYOTHYLAB_minute,long,2024-01-30 15:21:00,2024-01-31 09:17:00,535.35,540.75,1,535.35,540.75,closed,5.4,1.0087
97,JYOTHYLAB_minute,long,2024-02-02 15:21:00,2024-02-05 09:15:00,510.0,509.31,1,510.0,509.31,closed,-0.69,-0.1362
108,JYOTHYLAB_minute,long,2024-02-05 15:21:00,2024-02-06 15:29:00,497.2,497.1,1,497.2,497.1,closed,-0.1,-0.0201
148,JYOTHYLAB_minute,long,2024-02-09 15:21:00,2024-02-12 09:15:00,446.05,445.1,1,446.05,445.1,closed,-0.95,-0.2121
289,JYOTHYLAB_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,460.0,455.35,1,460.0,455.35,closed,-4.65,-1.0109
300,JYOTHYLAB_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,454.95,449.1,1,454.95,449.1,closed,-5.85,-1.2859
327,JYOTHYLAB_minute,long,2024-03-06 15:21:00,2024-03-07 09:15:00,424.45,423.42,1,424.45,423.42,closed,-1.03,-0.242
419,JYOTHYLAB_minute,long,2024-03-20 15:21:00,2024-03-21 09:15:00,423.5,422.63,1,423.5,422.63,closed,-0.87,-0.2052
444,JYOTHYLAB_minute,long,2024-03-22 15:21:00,2024-03-26 09:15:00,425.0,419.25,1,425.0,419.25,closed,-5.75,-1.3529
461,JYOTHYLAB_minute,long,2024-03-26 15:21:00,2024-03-27 15:29:00,429.15,448.0,1,429.15,448.0,closed,18.85,4.3924
538,JYOTHYLAB_minute,long,2024-04-03 15:21:00,2024-04-04 15:29:00,444.1,436.85,1,444.1,436.85,closed,-7.25,-1.6325
