,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
22,KEC_minute,long,2024-01-24 15:21:00,2024-01-25 15:29:00,624.75,612.45,1,624.75,612.45,closed,-12.3,-1.9688
46,KEC_minute,long,2024-01-29 15:21:00,2024-01-30 09:15:00,623.65,637.26,1,623.65,637.26,closed,13.61,2.1828
92,KEC_minute,long,2024-02-05 15:21:00,2024-02-06 15:29:00,653.5,657.9,1,653.5,657.9,closed,4.4,0.6733
95,KEC_minute,long,2024-02-06 15:21:00,2024-02-07 15:29:00,658.05,651.0,1,658.05,651.0,closed,-7.05,-1.0713
162,KEC_minute,long,2024-02-14 15:21:00,2024-02-15 15:29:00,697.25,685.55,1,697.25,685.55,closed,-11.7,-1.678
203,KEC_minute,long,2024-02-19 15:21:00,2024-02-20 09:16:00,669.55,664.04,1,669.55,664.04,closed,-5.51,-0.8226
241,KEC_minute,long,2024-02-23 15:21:00,2024-02-26 15:29:00,675.9,670.0,1,675.9,670.0,closed,-5.9,-0.8729
252,KEC_minute,long,2024-02-27 15:21:00,2024-02-28 09:15:00,697.75,700.5,1,697.75,700.5,closed,2.75,0.3941
263,KEC_minute,long,2024-02-29 15:21:00,2024-03-01 09:15:00,729.1,721.81,1,729.1,721.81,closed,-7.29,-1.0
281,KEC_minute,long,2024-03-01 15:21:00,2024-03-02 12:29:00,715.0,722.0,1,715.0,722.0,closed,7.0,0.979
348,KEC_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,685.15,678.4,1,685.15,678.4,closed,-6.75,-0.9856
460,KEC_minute,long,2024-04-01 15:21:00,2024-04-02 09:15:00,720.7,713.49,1,720.7,713.49,closed,-7.21,-1.0
532,KEC_minute,long,2024-04-09 15:21:00,2024-04-10 09:16:00,758.7,756.26,1,758.7,756.26,closed,-2.44,-0.3215
541,KEC_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,745.0,737.55,1,745.0,737.55,closed,-7.45,-1.0
606,KEC_minute,long,2024-04-22 15:21:00,2024-04-23 09:15:00,736.2,734.53,1,736.2,734.53,closed,-1.67,-0.2268
920,KEC_minute,long,2024-06-06 15:21:00,2024-06-07 09:16:00,772.55,767.25,1,772.55,767.25,closed,-5.3,-0.686
971,KEC_minute,long,2024-06-13 15:21:00,2024-06-14 09:15:00,869.0,868.6,1,869.0,868.6,closed,-0.4,-0.046
1055,KEC_minute,long,2024-06-28 15:21:00,2024-07-01 09:15:00,889.9,889.75,1,889.9,889.75,closed,-0.15,-0.0169
1121,KEC_minute,long,2024-07-08 15:21:00,2024-07-09 15:29:00,900.7,907.1,1,900.7,907.1,closed,6.4,0.7106
1130,KEC_minute,long,2024-07-09 15:21:00,2024-07-10 09:15:00,906.65,900.85,1,906.65,900.85,closed,-5.8,-0.6397
1143,KEC_minute,long,2024-07-10 15:21:00,2024-07-11 09:15:00,874.6,874.0,1,874.6,874.0,closed,-0.6,-0.0686
1163,KEC_minute,long,2024-07-15 15:21:00,2024-07-16 15:29:00,885.2,888.25,1,885.2,888.25,closed,3.05,0.3446
1290,KEC_minute,long,2024-07-31 15:21:00,2024-08-01 09:16:00,927.85,923.67,1,927.85,923.67,closed,-4.18,-0.4505
1306,KEC_minute,long,2024-08-02 15:21:00,2024-08-05 09:15:00,882.5,865.55,1,882.5,865.55,closed,-16.95,-1.9207
1330,KEC_minute,long,2024-08-05 15:21:00,2024-08-06 09:19:00,827.6,838.78,1,827.6,838.78,closed,11.18,1.3506
1381,KEC_minute,long,2024-08-13 15:21:00,2024-08-14 09:18:00,828.0,823.93,1,828.0,823.93,closed,-4.07,-0.4918
1465,KEC_minute,long,2024-08-23 15:21:00,2024-08-26 09:15:00,838.1,888.0,1,838.1,888.0,closed,49.9,5.9539
1485,KEC_minute,long,2024-08-27 15:21:00,2024-08-28 15:29:00,866.65,868.0,1,866.65,868.0,closed,1.35,0.1558
1524,KEC_minute,long,2024-08-30 15:21:00,2024-09-02 09:15:00,949.3,950.3,1,949.3,950.3,closed,1.0,0.1054
1568,KEC_minute,long,2024-09-04 15:21:00,2024-09-05 09:18:00,933.0,938.3,1,933.0,938.3,closed,5.3,0.5681
1579,KEC_minute,long,2024-09-05 15:21:00,2024-09-06 09:15:00,993.4,1029.6,1,993.4,1029.6,closed,36.2,3.6441
1628,KEC_minute,long,2024-09-12 15:21:00,2024-09-13 09:16:00,996.2,986.24,1,996.2,986.24,closed,-9.96,-1.0
1634,KEC_minute,long,2024-09-13 15:21:00,2024-09-16 15:29:00,996.45,975.05,1,996.45,975.05,closed,-21.4,-2.1476
1710,KEC_minute,long,2024-09-23 15:21:00,2024-09-24 15:29:00,945.4,972.0,1,945.4,972.0,closed,26.6,2.8136
1728,KEC_minute,long,2024-09-24 15:21:00,2024-09-25 09:15:00,982.75,985.05,1,982.75,985.05,closed,2.3,0.234
1736,KEC_minute,long,2024-09-25 15:21:00,2024-09-26 09:15:00,1019.4,1009.21,1,1019.4,1009.21,closed,-10.19,-1.0
1742,KEC_minute,long,2024-09-26 15:21:00,2024-09-27 09:15:00,1020.8,1011.68,1,1020.8,1011.68,closed,-9.12,-0.8933
1794,KEC_minute,long,2024-10-01 15:21:00,2024-10-03 09:15:00,1051.05,1022.0,1,1051.05,1022.0,closed,-29.05,-2.7639
1811,KEC_minute,long,2024-10-04 15:21:00,2024-10-07 09:15:00,1034.95,1024.6,1,1034.95,1024.6,closed,-10.35,-1.0
