,stock,type,entryTime,exitTime,entryPrice,exitPrice,quantity,entryCost,exitCost,status,pnl,profitpct
4,KPITTECH_minute,long,2024-01-19 15:21:00,2024-01-20 15:29:00,1550.0,1525.0,1,1550.0,1525.0,closed,-25.0,-1.6129
28,KPITTECH_minute,long,2024-01-24 15:21:00,2024-01-25 09:15:00,1508.1,1493.02,1,1508.1,1493.02,closed,-15.08,-1.0
71,KPITTECH_minute,long,2024-01-31 15:21:00,2024-02-01 09:15:00,1552.75,1537.22,1,1552.75,1537.22,closed,-15.53,-1.0
105,KPITTECH_minute,long,2024-02-06 15:21:00,2024-02-07 09:15:00,1683.5,1678.05,1,1683.5,1678.05,closed,-5.45,-0.3237
122,KPITTECH_minute,long,2024-02-08 15:21:00,2024-02-09 09:15:00,1719.5,1708.64,1,1719.5,1708.64,closed,-10.86,-0.6315
140,KPITTECH_minute,long,2024-02-12 15:21:00,2024-02-13 09:17:00,1708.45,1692.85,1,1708.45,1692.85,closed,-15.6,-0.9131
243,KPITTECH_minute,long,2024-02-23 15:21:00,2024-02-26 15:29:00,1580.1,1592.75,1,1580.1,1592.75,closed,12.65,0.8006
257,KPITTECH_minute,long,2024-02-26 15:21:00,2024-02-27 15:29:00,1591.1,1581.25,1,1591.1,1581.25,closed,-9.85,-0.6191
266,KPITTECH_minute,long,2024-02-28 15:21:00,2024-02-29 09:15:00,1575.55,1559.79,1,1575.55,1559.79,closed,-15.76,-1.0
365,KPITTECH_minute,long,2024-03-14 15:21:00,2024-03-15 09:15:00,1437.95,1435.55,1,1437.95,1435.55,closed,-2.4,-0.1669
406,KPITTECH_minute,long,2024-03-20 15:21:00,2024-03-21 09:15:00,1346.3,1360.76,1,1346.3,1360.76,closed,14.45,1.0737
423,KPITTECH_minute,long,2024-03-22 15:21:00,2024-03-26 09:16:00,1387.7,1397.0,1,1387.7,1397.0,closed,9.3,0.6702
442,KPITTECH_minute,long,2024-03-27 15:21:00,2024-03-28 09:15:00,1482.1,1481.68,1,1482.1,1481.68,closed,-0.42,-0.0281
456,KPITTECH_minute,long,2024-03-28 15:21:00,2024-04-01 09:16:00,1486.05,1482.03,1,1486.05,1482.03,closed,-4.02,-0.2705
505,KPITTECH_minute,long,2024-04-04 15:21:00,2024-04-05 15:29:00,1510.15,1509.65,1,1510.15,1509.65,closed,-0.5,-0.0331
515,KPITTECH_minute,long,2024-04-05 15:21:00,2024-04-08 15:29:00,1512.95,1500.0,1,1512.95,1500.0,closed,-12.95,-0.8559
553,KPITTECH_minute,long,2024-04-12 15:21:00,2024-04-15 09:15:00,1476.0,1418.0,1,1476.0,1418.0,closed,-58.0,-3.9295
561,KPITTECH_minute,long,2024-04-15 15:21:00,2024-04-16 15:29:00,1429.75,1408.5,1,1429.75,1408.5,closed,-21.25,-1.4863
603,KPITTECH_minute,long,2024-04-19 15:21:00,2024-04-22 15:29:00,1412.75,1388.2,1,1412.75,1388.2,closed,-24.55,-1.7377
608,KPITTECH_minute,long,2024-04-22 15:21:00,2024-04-23 15:29:00,1377.45,1371.35,1,1377.45,1371.35,closed,-6.1,-0.4428
628,KPITTECH_minute,long,2024-04-24 15:21:00,2024-04-25 15:29:00,1365.0,1373.4,1,1365.0,1373.4,closed,8.4,0.6154
651,KPITTECH_minute,long,2024-04-26 15:21:00,2024-04-29 09:16:00,1416.0,1429.02,1,1416.0,1429.02,closed,13.02,0.9192
677,KPITTECH_minute,long,2024-05-02 15:21:00,2024-05-03 15:29:00,1515.05,1538.0,1,1515.05,1538.0,closed,22.95,1.5148
697,KPITTECH_minute,long,2024-05-07 15:21:00,2024-05-08 09:15:00,1507.5,1494.75,1,1507.5,1494.75,closed,-12.75,-0.8457
741,KPITTECH_minute,long,2024-05-14 15:21:00,2024-05-15 09:15:00,1509.5,1494.4,1,1509.5,1494.4,closed,-15.1,-1.0
795,KPITTECH_minute,long,2024-05-21 15:21:00,2024-05-22 09:17:00,1500.85,1485.84,1,1500.85,1485.84,closed,-15.01,-1.0
804,KPITTECH_minute,long,2024-05-22 15:21:00,2024-05-23 09:15:00,1515.0,1482.0,1,1515.0,1482.0,closed,-33.0,-2.1782
910,KPITTECH_minute,long,2024-06-06 15:21:00,2024-06-07 09:16:00,1475.75,1474.11,1,1475.75,1474.11,closed,-1.64,-0.1111
931,KPITTECH_minute,long,2024-06-10 15:21:00,2024-06-11 09:15:00,1482.25,1485.0,1,1482.25,1485.0,closed,2.75,0.1855
972,KPITTECH_minute,long,2024-06-19 15:21:00,2024-06-20 09:16:00,1516.45,1515.69,1,1516.45,1515.69,closed,-0.76,-0.0501
991,KPITTECH_minute,long,2024-06-20 15:21:00,2024-06-21 09:15:00,1554.7,1559.25,1,1554.7,1559.25,closed,4.55,0.2927
1037,KPITTECH_minute,long,2024-06-27 15:21:00,2024-06-28 09:15:00,1563.5,1576.38,1,1563.5,1576.38,closed,12.88,0.8236
1083,KPITTECH_minute,long,2024-07-03 15:21:00,2024-07-04 15:29:00,1724.1,1744.0,1,1724.1,1744.0,closed,19.9,1.1542
1114,KPITTECH_minute,long,2024-07-08 15:21:00,2024-07-09 09:15:00,1681.95,1732.0,1,1681.95,1732.0,closed,50.05,2.9757
1171,KPITTECH_minute,long,2024-07-18 15:21:00,2024-07-19 09:15:00,1863.85,1845.21,1,1863.85,1845.21,closed,-18.64,-1.0
1211,KPITTECH_minute,long,2024-07-25 15:21:00,2024-07-26 09:15:00,1769.6,1791.9,1,1769.6,1791.9,closed,22.3,1.2602
1237,KPITTECH_minute,long,2024-07-29 15:21:00,2024-07-30 15:29:00,1800.75,1835.05,1,1800.75,1835.05,closed,34.3,1.9048
1248,KPITTECH_minute,long,2024-07-30 15:21:00,2024-07-31 15:29:00,1836.05,1849.0,1,1836.05,1849.0,closed,12.95,0.7053
1300,KPITTECH_minute,long,2024-08-07 15:21:00,2024-08-08 09:15:00,1745.85,1754.28,1,1745.85,1754.28,closed,8.43,0.4829
1317,KPITTECH_minute,long,2024-08-09 15:21:00,2024-08-12 09:15:00,1761.3,1743.0,1,1761.3,1743.0,closed,-18.3,-1.039
1328,KPITTECH_minute,long,2024-08-12 15:21:00,2024-08-13 15:29:00,1809.05,1749.6,1,1809.05,1749.6,closed,-59.45,-3.2863
1343,KPITTECH_minute,long,2024-08-14 15:21:00,2024-08-16 15:29:00,1785.95,1814.4,1,1785.95,1814.4,closed,28.45,1.593
